cas operacie,index prvku,dlzka zoznamu,,,
3.60E-05,0,0,,,1.55E-01
1.08E-05,0,0,,,6571
1.75E-05,2,2,,,
1.74E-05,1,1,,,
1.60E-05,0,0,,,
1.19E-05,0,0,,,
1.95E-05,3,3,,,
1.90E-05,5,5,,,
2.68E-05,4,4,,,
1.89E-05,1,1,,,
1.10E-05,0,0,,,
1.11E-05,0,0,,,
2.84E-05,2,2,,,
1.91E-05,2,2,,,
1.87E-05,1,1,,,
1.15E-05,0,0,,,
1.81E-05,1,1,,,
1.02E-05,0,0,,,
1.01E-05,0,0,,,
1.77E-05,1,1,,,
1.04E-05,0,0,,,
1.76E-05,2,2,,,
1.77E-05,1,1,,,
1.78E-05,5,5,,,
1.76E-05,4,4,,,
1.89E-05,8,8,,,
3.12E-05,5,5,,,
1.92E-05,5,5,,,
1.88E-05,6,6,,,
1.88E-05,4,4,,,
1.76E-05,1,1,,,
1.78E-05,1,1,,,
1.75E-05,2,2,,,
1.89E-05,1,1,,,
1.02E-05,0,0,,,
1.76E-05,1,1,,,
1.01E-05,0,0,,,
1.75E-05,3,3,,,
2.50E-05,2,2,,,
1.78E-05,4,4,,,
1.77E-05,2,2,,,
1.84E-05,6,6,,,
1.78E-05,7,7,,,
1.81E-05,6,6,,,
1.80E-05,5,5,,,
1.79E-05,5,5,,,
1.79E-05,3,3,,,
1.80E-05,6,6,,,
1.78E-05,5,5,,,
2.04E-05,6,6,,,
1.79E-05,7,7,,,
1.80E-05,6,6,,,
2.36E-05,6,6,,,
1.80E-05,4,4,,,
1.81E-05,6,6,,,
1.98E-05,7,7,,,
1.86E-05,9,9,,,
1.80E-05,7,7,,,
1.79E-05,11,11,,,
2.30E-05,14,14,,,
2.18E-05,17,17,,,
1.92E-05,18,18,,,
1.81E-05,12,12,,,
1.79E-05,11,11,,,
1.79E-05,13,13,,,
1.83E-05,14,14,,,
2.34E-05,23,23,,,
1.84E-05,22,22,,,
1.85E-05,21,21,,,
1.87E-05,23,23,,,
1.83E-05,21,21,,,
1.88E-05,20,20,,,
1.84E-05,22,22,,,
1.95E-05,19,19,,,
1.84E-05,18,18,,,
1.86E-05,23,23,,,
0.000109,24,24,,,
1.87E-05,36,36,,,
1.90E-05,40,40,,,
1.91E-05,40,40,,,
1.89E-05,39,39,,,
2.05E-05,38,38,,,
1.87E-05,34,34,,,
1.99E-05,34,34,,,
1.88E-05,34,34,,,
1.85E-05,34,34,,,
1.88E-05,34,34,,,
1.93E-05,33,33,,,
1.88E-05,31,31,,,
1.87E-05,31,31,,,
1.89E-05,33,33,,,
1.87E-05,32,32,,,
1.88E-05,33,33,,,
1.90E-05,33,33,,,
1.86E-05,32,32,,,
