cas operacie,index prvku,dlzka zoznamu,,,
1.03E-05,0,0,,,8.12E-02
1.18E-05,0,2,,,6770
1.12E-05,0,2,,,
1.89E-05,0,5,,,
1.32E-05,0,3,,,
1.16E-05,0,2,,,
1.10E-05,0,2,,,
1.10E-05,0,2,,,
1.49E-05,0,2,,,
1.04E-05,0,2,,,
1.14E-05,0,7,,,
1.65E-05,0,9,,,
1.13E-05,0,7,,,
1.12E-05,0,5,,,
1.12E-05,0,5,,,
1.12E-05,0,6,,,
1.13E-05,0,5,,,
1.17E-05,0,4,,,
1.06E-05,0,1,,,
1.01E-05,0,4,,,
1.01E-05,0,5,,,
1.01E-05,0,4,,,
1.02E-05,0,1,,,
1.00E-05,0,0,,,
1.01E-05,0,3,,,
1.03E-05,0,3,,,
1.02E-05,0,5,,,
9.90E-06,0,4,,,
1.00E-05,0,4,,,
1.15E-05,0,4,,,
1.13E-05,0,3,,,
1.04E-05,0,9,,,
9.90E-06,0,7,,,
1.50E-05,0,9,,,
1.01E-05,0,11,,,
1.67E-05,0,10,,,
1.02E-05,0,8,,,
1.07E-05,0,10,,,
1.07E-05,0,10,,,
1.04E-05,0,15,,,
1.02E-05,0,15,,,
1.57E-05,0,18,,,
1.04E-05,0,17,,,
1.03E-05,0,19,,,
1.01E-05,0,16,,,
1.69E-05,0,16,,,
1.22E-05,0,19,,,
1.41E-05,0,19,,,
1.48E-05,0,21,,,
1.04E-05,0,21,,,
1.03E-05,0,20,,,
1.03E-05,0,21,,,
1.91E-05,0,18,,,
1.01E-05,0,22,,,
1.57E-05,0,23,,,
1.02E-05,0,23,,,
1.82E-05,0,33,,,
1.03E-05,0,37,,,
1.01E-05,0,41,,,
1.00E-05,0,40,,,
1.00E-05,0,39,,,
1.01E-05,0,38,,,
1.03E-05,0,37,,,
1.02E-05,0,36,,,
1.04E-05,0,34,,,
1.01E-05,0,34,,,
1.02E-05,0,32,,,
1.02E-05,0,34,,,
1.01E-05,0,37,,,
1.01E-05,0,36,,,
1.02E-05,0,35,,,
1.16E-05,0,33,,,
1.02E-05,0,32,,,
1.04E-05,0,31,,,
1.00E-05,0,31,,,
1.00E-05,0,33,,,
1.42E-05,0,32,,,
1.73E-05,0,31,,,
1.02E-05,0,32,,,
1.01E-05,0,32,,,
1.00E-05,0,32,,,
1.43E-05,0,33,,,
1.04E-05,0,35,,,
1.01E-05,0,34,,,
1.11E-05,0,32,,,
1.01E-05,0,32,,,
1.04E-05,0,31,,,
1.01E-05,0,28,,,
1.01E-05,0,26,,,
1.01E-05,0,23,,,
1.03E-05,0,23,,,
1.02E-05,0,21,,,
1.02E-05,0,22,,,
1.01E-05,0,26,,,
1.16E-05,0,33,,,
1.80E-05,0,31,,,
1.89E-05,0,29,,,
1.48E-05,0,27,,,
1.12E-05,0,26,,,
1.11E-05,0,23,,,
1.14E-05,0,22,,,
2.33E-05,0,24,,,
1.35E-05,0,25,,,
1.15E-05,0,24,,,
1.31E-05,0,23,,,
1.34E-05,0,19,,,
1.31E-05,0,18,,,
1.01E-05,0,15,,,
1.02E-05,0,16,,,
1.02E-05,0,16,,,
1.03E-05,0,15,,,
1.03E-05,0,13,,,
1.06E-05,0,14,,,
1.05E-05,0,11,,,
1.15E-05,0,8,,,
1.08E-05,0,10,,,
1.06E-05,0,12,,,
1.04E-05,0,20,,,
1.05E-05,0,24,,,
1.03E-05,0,24,,,
1.13E-05,0,31,,,
1.10E-05,0,31,,,
1.76E-05,0,33,,,
1.16E-05,0,37,,,
1.16E-05,0,34,,,
1.11E-05,0,35,,,
1.01E-05,0,37,,,
1.01E-05,0,39,,,
1.69E-05,0,40,,,
1.24E-05,0,37,,,
1.04E-05,0,37,,,
1.03E-05,0,36,,,
1.03E-05,0,34,,,
1.00E-05,0,33,,,
1.02E-05,0,37,,,
1.03E-05,0,38,,,
1.14E-05,0,36,,,
1.13E-05,0,36,,,
1.32E-05,0,38,,,
1.13E-05,0,41,,,
1.68E-05,0,39,,,
1.00E-05,0,40,,,
1.13E-05,0,41,,,
1.02E-05,0,41,,,
1.46E-05,0,39,,,
1.09E-05,0,39,,,
1.02E-05,0,36,,,
1.02E-05,0,36,,,
1.15E-05,0,34,,,
1.17E-05,0,37,,,
1.14E-05,0,34,,,
1.13E-05,0,33,,,
1.15E-05,0,36,,,
1.12E-05,0,36,,,
1.85E-05,0,38,,,
1.15E-05,0,37,,,
1.13E-05,0,37,,,
1.12E-05,0,34,,,
1.11E-05,0,33,,,
1.12E-05,0,32,,,
1.12E-05,0,33,,,
1.13E-05,0,32,,,
1.11E-05,0,31,,,
1.22E-05,0,28,,,
1.31E-05,0,32,,,
1.15E-05,0,31,,,
2.25E-05,0,31,,,
1.57E-05,0,30,,,
1.24E-05,0,29,,,
1.52E-05,0,28,,,
1.57E-05,0,27,,,
1.12E-05,0,27,,,
2.75E-05,0,31,,,
1.50E-05,0,29,,,
1.50E-05,0,28,,,
1.01E-05,0,29,,,
1.33E-05,0,35,,,
1.00E-05,0,35,,,
1.02E-05,0,35,,,
1.01E-05,0,33,,,
1.01E-05,0,33,,,
1.06E-05,0,32,,,
1.49E-05,0,33,,,
1.02E-05,0,35,,,
1.13E-05,0,37,,,
1.38E-05,0,39,,,
1.21E-05,0,39,,,
1.06E-05,0,36,,,
1.02E-05,0,34,,,
1.00E-05,0,37,,,
3.27E-05,0,38,,,
1.09E-05,0,36,,,
1.00E-05,0,36,,,
1.05E-05,0,37,,,
1.04E-05,0,37,,,
1.03E-05,0,36,,,
1.03E-05,0,42,,,
1.11E-05,0,43,,,
1.15E-05,0,43,,,
1.30E-05,0,42,,,
1.03E-05,0,40,,,
1.17E-05,0,38,,,
1.11E-05,0,38,,,
1.02E-05,0,37,,,
1.01E-05,0,37,,,
1.02E-05,0,36,,,
1.01E-05,0,35,,,
1.01E-05,0,33,,,
1.01E-05,0,31,,,
1.02E-05,0,31,,,
1.01E-05,0,30,,,
2.64E-05,0,30,,,
1.00E-05,0,36,,,
1.01E-05,0,35,,,
1.03E-05,0,34,,,
1.02E-05,0,34,,,
1.02E-05,0,34,,,
1.00E-05,0,31,,,
1.02E-05,0,32,,,
1.01E-05,0,31,,,
1.17E-05,0,30,,,
1.04E-05,0,32,,,
1.02E-05,0,33,,,
1.02E-05,0,34,,,
1.00E-05,0,33,,,
1.01E-05,0,35,,,
1.03E-05,0,33,,,
1.16E-05,0,33,,,
1.52E-05,0,32,,,
1.02E-05,0,31,,,
1.01E-05,0,33,,,
1.02E-05,0,33,,,
1.04E-05,0,35,,,
1.01E-05,0,40,,,
1.01E-05,0,39,,,
1.02E-05,0,38,,,
