cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
5.00E-07,0,0,1,,2.39E-02
5.00E-07,1,1,2,,10000
3.00E-07,0,0,1,,
5.00E-07,0,0,1,,
5.00E-07,1,1,3,,
5.00E-07,2,2,4,,
5.00E-07,2,2,5,,
3.00E-07,0,0,1,,
4.00E-07,0,0,2,,
5.00E-07,0,0,1,,
7.00E-07,3,3,8,,
6.00E-07,1,1,11,,
6.00E-07,2,2,12,,
4.00E-07,1,1,13,,
7.00E-07,4,4,13,,
9.00E-07,3,3,7,,
7.00E-07,2,2,7,,
5.00E-07,2,2,8,,
4.00E-07,0,0,5,,
4.00E-07,1,1,4,,
5.00E-07,2,2,4,,
5.00E-07,2,2,3,,
9.00E-07,3,3,5,,
7.00E-07,1,1,4,,
6.00E-07,0,0,4,,
8.00E-07,2,2,5,,
4.00E-07,0,0,3,,
5.00E-07,0,0,1,,
3.00E-07,0,0,1,,
6.00E-07,0,0,1,,
4.00E-07,0,0,1,,
5.00E-07,0,0,1,,
6.00E-07,3,3,4,,
8.00E-07,5,5,6,,
4.00E-07,0,0,8,,
9.00E-07,5,5,7,,
7.00E-07,3,3,5,,
8.00E-07,5,5,7,,
7.00E-07,4,4,7,,
4.00E-07,0,0,7,,
8.00E-07,1,1,11,,
4.00E-07,0,0,10,,
9.00E-07,7,7,10,,
7.00E-07,3,3,10,,
1.10E-06,6,6,7,,
1.00E-06,5,5,6,,
7.00E-07,4,4,6,,
6.00E-07,2,2,6,,
7.00E-07,3,3,6,,
5.00E-07,2,2,5,,
6.00E-07,1,1,6,,
4.00E-07,0,0,6,,
6.00E-07,3,3,8,,
8.00E-07,3,3,6,,
7.00E-07,4,4,7,,
1.10E-06,6,6,8,,
9.00E-07,3,3,10,,
1.20E-06,5,5,10,,
2.90E-06,20,20,22,,
2.00E-06,17,17,22,,
1.70E-06,17,17,22,,
1.10E-06,9,9,21,,
8.00E-07,1,1,16,,
8.00E-07,3,3,17,,
9.00E-07,4,4,17,,
6.00E-07,2,2,16,,
1.10E-06,7,7,10,,
6.00E-07,2,2,10,,
8.00E-07,5,5,10,,
8.00E-07,3,3,8,,
7.00E-07,2,2,11,,
6.00E-07,3,3,10,,
7.00E-07,4,4,13,,
9.00E-07,7,7,15,,
1.00E-06,5,5,14,,
9.00E-07,6,6,17,,
2.00E-06,19,19,31,,
1.10E-06,8,8,31,,
1.00E-06,2,2,30,,
1.10E-06,3,3,32,,
1.50E-06,8,8,29,,
2.40E-06,21,21,29,,
1.00E-06,8,8,28,,
6.00E-07,1,1,27,,
2.00E-06,16,16,26,,
1.60E-06,12,12,26,,
9.00E-07,2,2,28,,
2.10E-06,22,22,29,,
1.40E-06,14,14,30,,
2.00E-06,16,16,31,,
5.00E-07,0,0,31,,
2.00E-06,18,18,32,,
5.00E-07,2,2,32,,
1.00E-06,8,8,33,,
6.00E-07,3,3,34,,
7.00E-07,5,5,34,,
3.80E-06,29,29,40,,
1.60E-06,9,9,39,,
1.20E-06,10,10,41,,
1.00E-06,3,3,40,,
8.00E-07,3,3,30,,
1.30E-06,5,5,30,,
1.30E-06,8,8,28,,
7.00E-07,0,0,28,,
2.40E-06,19,19,30,,
2.30E-06,20,20,24,,
1.90E-06,13,13,23,,
2.20E-06,17,17,23,,
7.00E-07,3,3,19,,
1.30E-06,8,8,18,,
8.00E-07,4,4,17,,
1.60E-06,15,15,17,,
7.00E-07,3,3,22,,
1.70E-06,19,19,21,,
8.00E-07,6,6,23,,
8.00E-07,6,6,22,,
1.30E-06,13,13,21,,
8.00E-07,5,5,23,,
7.00E-07,2,2,26,,
5.00E-07,1,1,27,,
6.00E-07,2,2,28,,
2.00E-06,23,23,28,,
1.90E-06,16,16,26,,
8.00E-07,5,5,25,,
1.10E-06,10,10,21,,
1.30E-06,13,13,23,,
6.00E-07,2,2,21,,
1.50E-06,15,15,21,,
4.00E-07,0,0,21,,
1.60E-06,18,18,23,,
1.20E-06,11,11,20,,
1.60E-06,18,18,20,,
1.80E-06,11,11,21,,
1.20E-06,7,7,21,,
9.00E-07,7,7,22,,
4.00E-07,0,0,24,,
2.10E-06,16,16,32,,
7.00E-07,3,3,32,,
1.20E-06,7,7,34,,
7.00E-07,3,3,32,,
9.00E-07,7,7,31,,
3.50E-06,18,18,31,,
2.30E-06,26,26,31,,
5.00E-07,0,0,25,,
1.60E-06,12,12,22,,
2.20E-06,20,20,26,,
1.00E-06,7,7,25,,
2.30E-06,18,18,28,,
8.00E-07,4,4,28,,
2.20E-06,18,18,30,,
6.00E-07,2,2,32,,
2.10E-06,23,23,31,,
2.10E-06,20,20,31,,
1.30E-06,12,12,31,,
1.30E-06,13,13,32,,
2.30E-06,30,30,32,,
6.00E-07,2,2,31,,
1.20E-06,10,10,31,,
4.00E-07,0,0,31,,
1.20E-06,12,12,30,,
1.90E-06,16,16,33,,
5.00E-07,0,0,34,,
1.80E-06,17,17,35,,
2.00E-06,17,17,29,,
2.80E-06,27,27,29,,
1.70E-06,20,20,29,,
2.00E-06,25,25,29,,
8.00E-07,2,2,32,,
1.40E-06,8,8,32,,
6.00E-07,0,0,32,,
2.30E-06,20,20,31,,
6.00E-07,0,0,31,,
6.00E-07,0,0,29,,
2.00E-06,14,14,29,,
1.00E-06,6,6,31,,
1.60E-06,9,9,31,,
2.70E-06,24,24,33,,
1.90E-06,14,14,33,,
1.00E-06,6,6,29,,
2.10E-06,20,20,26,,
1.10E-06,6,6,27,,
8.00E-07,3,3,27,,
1.00E-06,5,5,33,,
4.10E-06,31,31,32,,
2.60E-06,24,24,32,,
1.00E-06,4,4,36,,
2.70E-06,26,26,38,,
9.00E-07,2,2,35,,
1.40E-06,10,10,34,,
1.50E-06,9,9,33,,
2.40E-06,21,21,35,,
8.00E-07,3,3,35,,
3.60E-06,33,33,35,,
2.20E-06,20,20,34,,
2.20E-06,19,19,33,,
1.80E-06,15,15,33,,
7.00E-07,3,3,30,,
6.00E-07,0,0,28,,
1.00E-06,3,3,31,,
1.10E-06,5,5,32,,
2.30E-06,19,19,31,,
1.20E-06,6,6,31,,
8.00E-07,3,3,31,,
1.80E-06,14,14,35,,
1.60E-06,13,13,39,,
2.20E-06,22,22,40,,
9.88E-05,20,20,40,,
1.70E-06,9,9,44,,
2.80E-06,22,22,47,,
2.30E-06,23,23,47,,
2.70E-06,23,23,47,,
1.00E-06,4,4,48,,
1.00E-06,5,5,48,,
3.00E-06,20,20,50,,
1.80E-06,14,14,47,,
4.20E-06,37,37,49,,
1.10E-06,6,6,53,,
7.99E-05,20,20,53,,
4.80E-06,42,42,53,,
2.90E-06,23,23,55,,
1.50E-06,14,14,54,,
1.80E-06,20,20,58,,
3.70E-06,35,35,55,,
1.30E-06,12,12,55,,
5.00E-07,1,1,57,,
3.90E-06,52,52,53,,
6.00E-07,3,3,50,,
1.30E-06,12,12,48,,
1.10E-06,8,8,48,,
8.00E-07,6,6,48,,
2.70E-06,26,26,45,,
5.00E-07,2,2,45,,
1.20E-06,12,12,48,,
1.20E-06,13,13,48,,
1.30E-06,12,12,46,,
1.90E-06,23,23,46,,
2.10E-06,25,25,45,,
2.70E-06,35,35,45,,
1.30E-06,11,11,44,,
7.00E-07,3,3,45,,
3.20E-06,41,41,43,,
1.50E-06,13,13,42,,
1.20E-06,9,9,44,,
2.20E-06,17,17,42,,
1.50E-06,10,10,39,,
5.10E-06,24,24,41,,
3.70E-06,22,22,41,,
1.90E-06,7,7,37,,
2.10E-06,17,17,40,,
4.00E-07,0,0,43,,
7.00E-07,3,3,45,,
6.00E-07,2,2,42,,
1.90E-06,20,20,39,,
6.00E-07,2,2,38,,
1.40E-06,11,11,39,,
2.20E-06,27,27,39,,
1.80E-06,21,21,40,,
1.50E-06,15,15,41,,
3.30E-06,38,38,45,,
7.00E-07,4,4,46,,
1.20E-06,12,12,46,,
1.90E-06,19,19,50,,
9.00E-07,6,6,53,,
2.70E-06,31,31,48,,
1.60E-06,15,15,50,,
1.70E-06,18,18,50,,
1.40E-06,14,14,50,,
2.40E-06,32,32,50,,
2.30E-06,27,27,43,,
1.10E-06,11,11,44,,
9.00E-07,8,8,44,,
2.40E-06,24,24,47,,
1.90E-06,24,24,46,,
3.10E-06,42,42,47,,
3.30E-06,42,42,45,,
2.50E-06,30,30,44,,
1.00E-06,9,9,43,,
1.10E-06,13,13,43,,
5.00E-07,2,2,41,,
5.00E-07,3,3,38,,
1.00E-06,9,9,35,,
2.10E-06,23,23,33,,
5.00E-07,1,1,32,,
3.00E-07,0,0,35,,
1.60E-06,14,14,37,,
2.40E-06,30,30,36,,
2.70E-06,32,32,38,,
1.80E-06,23,23,38,,
1.10E-06,11,11,36,,
1.20E-06,13,13,37,,
1.70E-06,22,22,38,,
1.00E-06,10,10,38,,
2.30E-06,25,25,39,,
2.00E-06,26,26,39,,
1.90E-06,17,17,43,,
7.00E-07,5,5,42,,
2.40E-06,32,32,39,,
8.00E-07,7,7,35,,
8.00E-07,7,7,33,,
4.00E-07,1,1,35,,
1.00E-06,8,8,35,,
2.90E-06,31,31,33,,
2.80E-06,28,28,34,,
1.40E-06,15,15,35,,
9.00E-07,8,8,34,,
8.00E-07,6,6,34,,
8.00E-07,3,3,33,,
3.20E-06,33,33,34,,
1.70E-06,20,20,33,,
1.20E-06,14,14,33,,
7.00E-07,5,5,34,,
2.90E-06,34,34,38,,
6.00E-07,2,2,35,,
2.40E-06,31,31,33,,
