cas operacie,cislo,index prvku,dlzka zoznamu,,
1.76E-05,75,0,2,,2.14E-01
1.75E-05,84,0,2,,9940
1.78E-05,87,0,1,,
1.73E-05,76,0,2,,
1.77E-05,89,1,4,,
1.72E-05,88,0,2,,
1.71E-05,77,0,2,,
1.71E-05,80,0,2,,
1.70E-05,87,0,2,,
1.74E-05,73,0,1,,
1.93E-05,76,0,2,,
1.73E-05,74,1,8,,
1.76E-05,79,6,8,,
1.74E-05,81,5,10,,
1.71E-05,77,7,10,,
2.38E-05,84,6,12,,
1.79E-05,74,1,4,,
1.73E-05,82,2,5,,
1.77E-05,75,2,4,,
1.83E-05,87,0,3,,
2.01E-05,72,2,6,,
2.00E-05,73,0,1,,
1.89E-05,86,1,4,,
2.74E-05,85,0,2,,
1.84E-05,79,2,5,,
1.84E-05,75,6,9,,
3.25E-05,82,1,6,,
1.97E-05,87,5,11,,
1.85E-05,73,5,11,,
1.84E-05,86,2,12,,
1.85E-05,75,6,10,,
1.86E-05,88,0,4,,
1.83E-05,86,2,5,,
1.83E-05,73,4,6,,
1.83E-05,78,3,5,,
1.82E-05,72,1,7,,
1.83E-05,76,0,7,,
3.01E-05,80,4,7,,
2.13E-05,84,0,4,,
2.06E-05,77,1,8,,
1.94E-05,80,3,8,,
1.84E-05,74,6,9,,
1.81E-05,89,3,9,,
1.83E-05,77,5,11,,
2.55E-05,77,2,9,,
2.04E-05,78,3,8,,
2.15E-05,72,3,7,,
2.47E-05,90,1,8,,
2.04E-05,90,1,7,,
2.65E-05,82,4,6,,
2.74E-05,89,2,5,,
2.16E-05,85,5,11,,
2.53E-05,90,7,19,,
1.99E-05,74,15,22,,
2.50E-05,71,14,22,,
2.26E-05,88,0,22,,
2.49E-05,77,0,17,,
2.35E-05,75,9,17,,
2.92E-05,84,4,10,,
2.13E-05,89,1,11,,
2.27E-05,84,2,11,,
2.32E-05,73,8,11,,
1.83E-05,82,0,11,,
1.85E-05,79,10,15,,
1.95E-05,89,0,15,,
1.87E-05,72,12,15,,
2.32E-05,80,5,15,,
2.31E-05,85,3,15,,
2.30E-05,78,0,15,,
2.34E-05,74,6,13,,
2.36E-05,86,15,19,,
2.17E-05,85,14,22,,
2.32E-05,75,22,27,,
2.26E-05,74,14,28,,
2.41E-05,88,21,31,,
2.73E-05,72,17,32,,
2.70E-05,90,21,32,,
2.90E-05,90,23,30,,
3.00E-05,84,25,32,,
2.58E-05,88,21,31,,
