cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
1.71E-05,84,0,2,,2.11E-01
1.68E-05,17,0,1,,10061
1.72E-05,35,0,2,,
1.73E-05,6,1,3,,
1.70E-05,1,2,5,,
1.74E-05,1,0,2,,
1.74E-05,1,0,1,,
1.68E-05,15,0,4,,
1.70E-05,89,1,4,,
1.70E-05,89,0,3,,
1.68E-05,89,0,2,,
1.67E-05,13,0,1,,
1.71E-05,7,0,2,,
2.59E-05,2,0,1,,
1.69E-05,13,1,8,,
1.71E-05,76,3,9,,
1.69E-05,81,6,10,,
2.06E-05,30,0,13,,
2.33E-05,10,7,11,,
2.12E-05,23,8,11,,
1.69E-05,15,1,3,,
1.69E-05,15,1,3,,
1.68E-05,29,0,5,,
1.83E-05,2,0,2,,
1.78E-05,2,1,3,,
1.82E-05,2,1,3,,
1.76E-05,2,1,3,,
2.29E-05,8,0,6,,
3.12E-05,8,0,5,,
1.77E-05,21,0,4,,
2.24E-05,7,0,3,,
1.78E-05,5,0,2,,
1.78E-05,4,0,1,,
1.77E-05,17,0,2,,
1.75E-05,17,0,2,,
1.78E-05,17,0,2,,
2.52E-05,32,6,8,,
2.28E-05,1,3,9,,
1.80E-05,15,4,9,,
2.27E-05,34,0,6,,
2.23E-05,6,4,7,,
2.24E-05,17,3,7,,
2.18E-05,6,6,9,,
1.78E-05,31,0,10,,
1.77E-05,25,2,4,,
1.82E-05,31,1,4,,
1.78E-05,86,2,5,,
1.81E-05,20,3,5,,
1.96E-05,86,2,6,,
2.34E-05,73,4,6,,
2.49E-05,86,1,6,,
2.14E-05,80,3,5,,
2.16E-05,80,2,4,,
1.77E-05,30,0,8,,
1.77E-05,17,2,11,,
2.28E-05,82,12,21,,
2.84E-05,89,10,20,,
2.42E-05,18,2,20,,
2.44E-05,18,1,20,,
2.55E-05,27,16,20,,
2.06E-05,30,3,16,,
2.25E-05,34,3,17,,
3.90E-05,75,9,13,,
2.47E-05,75,8,10,,
2.29E-05,75,8,11,,
2.30E-05,11,9,11,,
2.27E-05,84,2,8,,
2.29E-05,84,0,8,,
4.84E-05,14,3,10,,
1.81E-05,85,7,12,,
1.79E-05,82,2,12,,
