cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.03E-05,25,0,1,,
1.04E-05,35,0,2,,2.51E-01
1.79E-05,15,3,5,,11694
1.36E-05,11,0,1,,
9.90E-06,5,0,1,,
1.16E-05,27,0,2,,
1.77E-05,32,3,5,,
1.01E-05,7,0,3,,
1.76E-05,17,2,4,,
1.11E-05,1,0,1,,
1.84E-05,15,1,3,,
1.03E-05,28,0,2,,
1.02E-05,34,0,1,,
1.04E-05,27,0,1,,
1.77E-05,27,3,5,,
1.77E-05,21,3,7,,
1.78E-05,20,7,9,,
1.76E-05,25,3,7,,
1.00E-05,21,0,7,,
1.76E-05,23,4,8,,
2.43E-05,23,3,7,,
2.73E-05,18,5,7,,
2.30E-05,11,1,4,,
1.77E-05,16,4,6,,
1.76E-05,29,4,6,,
1.77E-05,35,1,6,,
1.76E-05,15,2,5,,
1.76E-05,6,2,4,,
1.75E-05,23,1,5,,
1.75E-05,29,3,5,,
1.73E-05,15,1,5,,
1.74E-05,7,1,3,,
1.96E-05,30,0,2,,
2.66E-05,27,1,3,,
3.30E-05,19,1,3,,
1.11E-05,2,0,1,,
1.63E-05,14,0,8,,
2.07E-05,7,3,5,,
2.44E-05,27,0,6,,
2.57E-05,28,3,5,,
3.18E-05,14,2,6,,
2.45E-05,28,1,6,,
1.31E-05,5,0,1,,
1.08E-05,1,0,4,,
1.82E-05,24,1,4,,
1.24E-05,27,0,2,,
1.89E-05,35,0,1,,
1.84E-05,4,3,6,,
1.07E-05,17,0,2,,
1.05E-05,6,0,3,,
1.86E-05,1,5,7,,
1.82E-05,15,2,6,,
2.38E-05,15,3,7,,
2.30E-05,18,1,5,,
2.33E-05,6,4,7,,
2.27E-05,25,1,7,,
2.27E-05,17,5,7,,
1.18E-05,35,0,9,,
2.52E-05,34,1,12,,
2.31E-05,24,4,12,,
1.85E-05,20,3,5,,
1.88E-05,13,2,7,,
1.87E-05,31,6,8,,
1.84E-05,2,3,6,,
2.35E-05,10,5,7,,
2.28E-05,23,3,6,,
2.20E-05,2,1,7,,
1.86E-05,19,5,9,,
1.83E-05,20,7,10,,
1.86E-05,31,8,11,,
1.84E-05,15,6,12,,
2.37E-05,34,1,9,,
2.28E-05,11,7,9,,
2.14E-05,18,2,8,,
2.20E-05,33,1,8,,
2.28E-05,23,4,9,,
2.16E-05,12,5,10,,
2.14E-05,27,9,11,,
2.11E-05,12,10,17,,
2.20E-05,27,18,21,,
2.22E-05,18,1,22,,
2.57E-05,32,17,19,,
2.57E-05,11,12,21,,
2.09E-05,15,7,15,,
2.42E-05,13,4,12,,
2.30E-05,14,1,10,,
2.42E-05,33,7,12,,
1.09E-05,9,0,12,,
1.87E-05,8,10,14,,
1.64E-05,5,0,15,,
2.06E-05,14,12,14,,
2.41E-05,35,12,15,,
1.18E-05,17,0,15,,
2.35E-05,13,11,15,,
2.42E-05,12,12,17,,
2.40E-05,12,10,22,,
2.35E-05,9,9,26,,
2.45E-05,7,13,27,,
4.21E-05,8,29,32,,
2.69E-05,25,13,34,,
2.82E-05,24,24,30,,
2.78E-05,1,22,31,,
2.80E-05,29,28,32,,
2.75E-05,14,28,31,,
9.19E-05,16,28,31,,
2.71E-05,26,16,32,,
2.42E-05,7,29,31,,
2.20E-05,2,26,33,,
2.36E-05,8,15,33,,
2.75E-05,29,21,33,,
2.42E-05,28,25,27,,
2.40E-05,12,25,27,,
1.98E-05,31,18,25,,
3.24E-05,25,23,27,,
2.75E-05,33,11,27,,
2.51E-05,11,22,29,,
2.43E-05,15,25,30,,
4.71E-05,34,25,37,,
2.21E-05,4,33,40,,
2.14E-05,18,32,41,,
2.89E-05,21,9,41,,
3.12E-05,8,9,32,,
2.11E-05,1,17,32,,
9.59E-05,4,21,31,,
8.66E-05,19,1,28,,
2.66E-05,24,4,23,,
2.71E-05,17,11,22,,
2.68E-05,15,17,23,,
2.93E-05,27,2,20,,
2.32E-05,12,10,19,,
2.31E-05,28,11,19,,
2.20E-05,16,9,17,,
2.21E-05,8,7,16,,
2.26E-05,14,1,17,,
2.26E-05,13,5,17,,
2.27E-05,3,15,18,,
3.06E-05,31,6,20,,
