cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.50E-06,17,1,2,,1.77E-02
1.50E-06,6,1,2,,11661
1.30E-06,1,2,3,,
1.20E-06,22,3,4,,
1.20E-06,6,3,4,,
4.20E-06,15,1,2,,
1.30E-06,14,0,1,,
1.40E-06,19,2,3,,
1.20E-06,23,0,1,,
1.80E-06,34,0,1,,
1.40E-06,1,0,1,,
1.40E-06,23,2,3,,
1.30E-06,4,3,4,,
1.30E-06,11,3,4,,
1.20E-06,15,4,5,,
1.20E-06,11,0,1,,
1.20E-06,28,1,2,,
1.30E-06,3,0,1,,
1.10E-06,12,0,1,,
1.10E-06,10,0,1,,
1.10E-06,10,0,1,,
1.50E-06,21,1,2,,
1.40E-06,9,2,3,,
1.30E-06,13,7,8,,
1.20E-06,27,8,9,,
1.20E-06,20,9,10,,
1.20E-06,20,8,9,,
1.20E-06,13,8,9,,
1.10E-06,6,9,10,,
1.70E-06,14,12,13,,
1.40E-06,18,12,13,,
1.60E-06,1,11,12,,
1.40E-06,33,7,8,,
2.10E-06,16,3,4,,
1.30E-06,33,4,5,,
1.20E-06,18,6,7,,
1.20E-06,19,3,4,,
1.10E-06,11,3,4,,
1.10E-06,31,2,3,,
2.00E-06,24,0,1,,
1.90E-06,20,1,2,,
1.50E-06,27,1,2,,
1.50E-06,6,3,4,,
4.30E-06,19,5,6,,
2.50E-06,5,6,7,,
1.70E-06,2,6,7,,
2.70E-06,10,4,5,,
2.10E-06,24,3,4,,
3.20E-06,8,5,6,,
2.50E-06,11,4,5,,
1.50E-06,35,4,5,,
3.10E-06,17,6,7,,
1.80E-06,10,4,5,,
1.90E-06,6,3,4,,
1.80E-06,5,1,2,,
1.50E-06,28,1,2,,
1.40E-06,27,2,3,,
1.50E-06,4,0,1,,
1.60E-06,10,0,1,,
1.40E-06,1,1,2,,
1.40E-06,7,2,3,,
1.40E-06,28,3,4,,
1.40E-06,2,4,5,,
1.40E-06,32,5,6,,
1.50E-06,22,7,8,,
1.50E-06,23,5,6,,
1.50E-06,34,4,5,,
1.50E-06,22,7,8,,
1.50E-06,32,9,10,,
1.40E-06,24,10,11,,
1.60E-06,27,4,5,,
1.90E-06,27,5,6,,
1.40E-06,25,6,7,,
1.40E-06,3,8,9,,
1.30E-06,5,8,9,,
1.60E-06,15,4,5,,
1.50E-06,16,8,9,,
2.20E-06,33,9,10,,
3.70E-06,4,8,9,,
2.00E-06,32,5,6,,
2.70E-06,22,6,7,,
1.80E-06,15,9,10,,
1.80E-06,17,13,14,,
1.80E-06,26,17,18,,
2.50E-06,7,18,19,,
2.10E-06,35,19,20,,
1.50E-06,12,21,22,,
1.50E-06,32,20,21,,
1.90E-06,35,21,22,,
2.30E-06,28,19,20,,
2.30E-06,23,17,18,,
1.70E-06,24,13,14,,
1.50E-06,1,14,15,,
1.80E-06,5,8,9,,
1.40E-06,5,10,11,,
2.80E-06,17,10,11,,
1.40E-06,11,13,14,,
