cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.83E-05,21,0,1,,1.34E-01
1.06E-05,21,0,1,,11648
1.08E-05,34,0,1,,
1.02E-05,8,0,1,,
1.01E-05,13,0,2,,
1.15E-05,15,0,4,,
1.02E-05,11,0,3,,
1.01E-05,32,0,4,,
1.00E-05,33,0,5,,
1.02E-05,10,0,4,,
1.01E-05,13,0,3,,
1.53E-05,7,0,2,,
1.50E-05,9,0,2,,
1.20E-05,2,0,1,,
1.41E-05,10,0,4,,
1.04E-05,13,0,5,,
9.90E-06,5,0,6,,
1.00E-05,26,0,6,,
1.00E-05,23,0,7,,
1.00E-05,24,0,11,,
9.90E-06,16,0,11,,
1.29E-05,26,0,12,,
1.11E-05,13,0,11,,
1.22E-05,30,0,12,,
1.10E-05,7,0,12,,
1.29E-05,28,0,13,,
1.04E-05,22,0,8,,
1.03E-05,20,0,5,,
1.09E-05,33,0,3,,
1.09E-05,21,0,4,,
1.12E-05,21,0,5,,
1.36E-05,8,0,6,,
1.52E-05,5,0,4,,
1.09E-05,16,0,3,,
1.11E-05,13,0,5,,
1.21E-05,19,0,5,,
1.06E-05,34,0,4,,
1.10E-05,26,0,7,,
1.17E-05,20,0,9,,
1.22E-05,10,0,6,,
1.21E-05,34,0,6,,
1.80E-05,31,0,8,,
1.26E-05,13,0,10,,
1.29E-05,16,0,11,,
1.09E-05,31,0,10,,
1.10E-05,7,0,6,,
1.09E-05,6,0,9,,
1.08E-05,13,0,8,,
1.09E-05,29,0,10,,
1.08E-05,26,0,7,,
1.56E-05,17,0,8,,
1.11E-05,13,0,10,,
1.10E-05,30,0,11,,
1.16E-05,19,0,8,,
1.09E-05,34,0,8,,
1.07E-05,17,0,8,,
1.28E-05,30,0,9,,
1.25E-05,13,0,7,,
1.68E-05,8,0,7,,
0.0001757,30,0,7,,
1.73E-05,34,0,8,,
1.26E-05,35,0,10,,
1.19E-05,32,0,12,,
1.31E-05,8,0,13,,
1.56E-05,2,0,15,,
1.26E-05,33,0,16,,
1.55E-05,20,0,22,,
1.85E-05,22,0,22,,
1.65E-05,27,0,23,,
1.59E-05,35,0,17,,
1.96E-05,35,0,18,,
1.35E-05,10,0,17,,
1.33E-05,10,0,16,,
1.34E-05,28,0,17,,
1.20E-05,12,0,15,,
1.36E-05,34,0,11,,
1.30E-05,5,0,11,,
1.32E-05,27,0,11,,
1.31E-05,31,0,12,,
1.33E-05,16,0,9,,
1.22E-05,26,0,10,,
1.12E-05,31,0,11,,
1.11E-05,24,0,13,,
1.09E-05,18,0,14,,
1.08E-05,20,0,13,,
1.08E-05,27,0,15,,
1.24E-05,24,0,14,,
1.36E-05,17,0,19,,
1.38E-05,23,0,23,,
1.20E-05,12,0,24,,
1.24E-05,13,0,26,,
1.34E-05,29,0,27,,
1.33E-05,2,0,28,,
1.35E-05,34,0,30,,
1.32E-05,27,0,31,,
1.76E-05,22,0,31,,
1.59E-05,23,0,33,,
1.30E-05,13,0,32,,
1.29E-05,27,0,31,,
1.23E-05,7,0,33,,
1.33E-05,1,0,32,,
1.30E-05,28,0,33,,
1.11E-05,35,0,32,,
1.40E-05,5,0,30,,
1.33E-05,2,0,28,,
1.32E-05,23,0,29,,
1.33E-05,15,0,30,,
1.52E-05,19,0,31,,
1.08E-05,12,0,31,,
1.36E-05,1,0,30,,
1.26E-05,17,0,31,,
1.30E-05,17,0,32,,
3.29E-05,17,0,36,,
1.45E-05,15,0,40,,
8.93E-05,2,0,41,,
1.21E-05,29,0,39,,
1.19E-05,34,0,39,,
1.21E-05,34,0,39,,
1.43E-05,5,0,38,,
1.27E-05,9,0,40,,
1.09E-05,17,0,31,,
1.85E-05,13,0,30,,
7.55E-05,35,0,19,,
1.27E-05,15,0,18,,
1.26E-05,29,0,19,,
1.47E-05,32,0,18,,
1.26E-05,27,0,16,,
1.27E-05,13,0,18,,
1.27E-05,29,0,18,,
1.19E-05,2,0,20,,
1.17E-05,17,0,17,,
1.24E-05,6,0,18,,
1.11E-05,24,0,21,,
1.16E-05,7,0,21,,
1.07E-05,25,0,21,,
1.07E-05,23,0,21,,
1.07E-05,33,0,22,,
1.07E-05,30,0,23,,
1.07E-05,30,0,23,,
1.13E-05,18,0,24,,
1.51E-05,8,0,26,,
1.08E-05,16,0,28,,
1.09E-05,9,0,28,,
1.10E-05,15,0,26,,
1.07E-05,8,0,27,,
1.06E-05,35,0,21,,
1.10E-05,7,0,23,,
1.07E-05,2,0,23,,
1.08E-05,25,0,20,,
1.26E-05,8,0,22,,
1.10E-05,7,0,22,,
1.10E-05,1,0,23,,
1.08E-05,13,0,22,,
1.09E-05,15,0,23,,
