cas operacie,index prvku,dlzka zoznamu,,,
1.04E-05,0,1,,,2.52E-01
1.02E-05,0,1,,,11579
2.48E-05,1,3,,,
1.87E-05,0,1,,,
1.03E-05,0,0,,,
1.04E-05,0,0,,,
1.04E-05,0,0,,,
1.02E-05,0,3,,,
1.82E-05,1,3,,,
1.78E-05,1,2,,,
1.30E-05,0,0,,,
1.83E-05,1,2,,,
1.03E-05,0,1,,,
1.04E-05,0,0,,,
1.01E-05,0,0,,,
1.79E-05,5,8,,,
1.77E-05,5,8,,,
1.81E-05,10,11,,,
1.83E-05,7,12,,,
2.04E-05,7,12,,,
1.74E-05,0,10,,,
3.78E-05,6,8,,,
1.52E-05,0,6,,,
2.84E-05,3,6,,,
1.79E-05,3,4,,,
1.80E-05,4,5,,,
1.01E-05,0,4,,,
1.74E-05,1,4,,,
1.34E-05,0,1,,,
2.61E-05,4,7,,,
2.65E-05,4,6,,,
3.18E-05,1,5,,,
2.79E-05,2,4,,,
2.36E-05,1,5,,,
1.98E-05,4,5,,,
2.49E-05,1,4,,,
0.0001182,5,6,,,
1.21E-05,0,2,,,
1.16E-05,0,1,,,
1.89E-05,2,3,,,
2.60E-05,1,4,,,
1.74E-05,0,3,,,
1.16E-05,0,0,,,
1.90E-05,3,5,,,
1.92E-05,7,8,,,
2.36E-05,3,7,,,
2.58E-05,4,6,,,
2.34E-05,1,4,,,
2.38E-05,3,7,,,
2.17E-05,5,6,,,
3.57E-05,10,11,,,
1.90E-05,4,11,,,
1.90E-05,6,10,,,
1.10E-05,0,8,,,
1.86E-05,1,7,,,
2.66E-05,2,6,,,
1.41E-05,0,5,,,
2.91E-05,3,4,,,
1.09E-05,0,8,,,
1.88E-05,3,7,,,
1.91E-05,3,5,,,
2.28E-05,5,6,,,
1.26E-05,0,5,,,
1.32E-05,0,4,,,
1.87E-05,5,9,,,
2.75E-05,10,11,,,
1.38E-05,0,9,,,
2.18E-05,3,9,,,
1.89E-05,2,8,,,
1.33E-05,0,7,,,
1.99E-05,3,7,,,
1.90E-05,5,7,,,
2.45E-05,1,8,,,
3.52E-05,4,21,,,
2.02E-05,8,21,,,
1.95E-05,13,20,,,
3.86E-05,18,21,,,
