cas operacie,index prvku,dlzka zoznamu,,,
1.09E-05,0,0,,,
1.02E-05,0,0,,,2.84E-01
1.83E-05,4,4,,,11811
1.85E-05,3,3,,,
1.81E-05,1,1,,,
1.31E-05,0,0,,,
1.05E-05,0,0,,,
1.78E-05,1,1,,,
2.03E-05,3,3,,,
2.22E-05,2,2,,,
1.76E-05,3,3,,,
1.77E-05,2,2,,,
1.75E-05,1,1,,,
2.04E-05,1,1,,,
1.75E-05,1,1,,,
1.02E-05,0,0,,,
1.83E-05,4,4,,,
1.77E-05,8,8,,,
1.77E-05,7,7,,,
1.79E-05,6,6,,,
1.78E-05,5,5,,,
1.85E-05,6,6,,,
1.79E-05,10,10,,,
2.16E-05,11,11,,,
1.90E-05,12,12,,,
1.82E-05,11,11,,,
2.15E-05,11,11,,,
4.45E-05,9,9,,,
1.82E-05,7,7,,,
1.79E-05,7,7,,,
1.78E-05,6,6,,,
1.79E-05,5,5,,,
1.75E-05,3,3,,,
2.16E-05,3,3,,,
1.79E-05,6,6,,,
1.77E-05,3,3,,,
1.76E-05,4,4,,,
1.75E-05,2,2,,,
1.95E-05,2,2,,,
4.49E-05,1,1,,,
1.13E-05,0,0,,,
9.17E-05,2,2,,,
1.13E-05,0,0,,,
1.90E-05,3,3,,,
2.63E-05,6,6,,,
2.46E-05,5,5,,,
3.11E-05,3,3,,,
2.78E-05,4,4,,,
2.56E-05,4,4,,,
2.52E-05,3,3,,,
2.37E-05,4,4,,,
2.04E-05,1,1,,,
1.89E-05,2,2,,,
2.71E-05,2,2,,,
2.50E-05,1,1,,,
1.75E-05,0,0,,,
1.91E-05,3,3,,,
1.86E-05,2,2,,,
2.38E-05,6,6,,,
2.54E-05,5,5,,,
2.22E-05,5,5,,,
2.36E-05,4,4,,,
2.32E-05,9,9,,,
1.92E-05,10,10,,,
1.92E-05,9,9,,,
1.90E-05,9,9,,,
1.88E-05,5,5,,,
1.89E-05,7,7,,,
1.88E-05,9,9,,,
2.27E-05,6,6,,,
1.91E-05,10,10,,,
1.91E-05,8,8,,,
2.40E-05,8,8,,,
2.59E-05,8,8,,,
2.26E-05,7,7,,,
3.00E-05,6,6,,,
3.30E-05,9,9,,,
2.30E-05,21,21,,,
2.92E-05,20,20,,,
2.60E-05,18,18,,,
2.63E-05,17,17,,,
2.67E-05,17,17,,,
2.46E-05,16,16,,,
2.43E-05,16,16,,,
2.41E-05,15,15,,,
2.43E-05,14,14,,,
2.41E-05,13,13,,,
3.18E-05,13,13,,,
2.55E-05,11,11,,,
2.87E-05,10,10,,,
2.37E-05,10,10,,,
1.92E-05,13,13,,,
1.91E-05,13,13,,,
2.20E-05,14,14,,,
1.94E-05,14,14,,,
1.94E-05,14,14,,,
2.39E-05,14,14,,,
2.51E-05,30,30,,,
9.70E-05,30,30,,,
2.84E-05,32,32,,,
2.86E-05,29,29,,,
3.20E-05,31,31,,,
3.40E-05,30,30,,,
2.44E-05,31,31,,,
2.49E-05,32,32,,,
2.32E-05,31,31,,,
2.01E-05,31,31,,,
2.42E-05,31,31,,,
2.71E-05,29,29,,,
0.0001599,29,29,,,
2.45E-05,28,28,,,
2.41E-05,27,27,,,
2.33E-05,24,24,,,
2.86E-05,26,26,,,
2.93E-05,26,26,,,
2.11E-05,30,30,,,
2.50E-05,33,33,,,
2.55E-05,39,39,,,
2.25E-05,38,38,,,
2.27E-05,38,38,,,
3.35E-05,38,38,,,
2.77E-05,40,40,,,
2.49E-05,37,37,,,
3.09E-05,31,31,,,
2.12E-05,31,31,,,
2.02E-05,30,30,,,
8.72E-05,29,29,,,
8.87E-05,27,27,,,
2.98E-05,29,29,,,
2.77E-05,27,27,,,
2.78E-05,24,24,,,
2.82E-05,22,22,,,
2.27E-05,19,19,,,
2.89E-05,21,21,,,
2.77E-05,22,22,,,
0.0001373,18,18,,,
2.27E-05,18,18,,,
2.33E-05,18,18,,,
2.28E-05,18,18,,,
3.33E-05,17,17,,,
2.35E-05,15,15,,,
2.34E-05,16,16,,,
2.36E-05,15,15,,,
2.16E-05,18,18,,,
2.26E-05,18,18,,,
2.22E-05,19,19,,,
2.24E-05,18,18,,,
2.66E-05,20,20,,,
3.51E-05,25,25,,,
1.94E-05,27,27,,,
1.95E-05,24,24,,,
1.95E-05,27,27,,,
1.96E-05,25,25,,,
1.96E-05,23,23,,,
1.92E-05,21,21,,,
1.93E-05,23,23,,,
1.93E-05,22,22,,,
1.92E-05,19,19,,,
3.30E-05,19,19,,,
2.01E-05,21,21,,,
2.93E-05,33,33,,,
1.99E-05,31,31,,,
1.97E-05,32,32,,,
1.96E-05,32,32,,,
1.98E-05,31,31,,,
2.03E-05,30,30,,,
1.99E-05,28,28,,,
1.97E-05,27,27,,,
2.79E-05,23,23,,,
2.38E-05,24,24,,,
2.44E-05,23,23,,,
2.43E-05,25,25,,,
2.50E-05,24,24,,,
2.42E-05,28,28,,,
2.55E-05,30,30,,,
2.07E-05,31,31,,,
1.97E-05,31,31,,,
3.61E-05,31,31,,,
3.12E-05,32,32,,,
2.38E-05,34,34,,,
2.31E-05,33,33,,,
2.37E-05,29,29,,,
2.58E-05,27,27,,,
2.05E-05,28,28,,,
0.0001279,29,29,,,
6.75E-05,32,32,,,
2.44E-05,32,32,,,
2.37E-05,31,31,,,
2.92E-05,31,31,,,
2.29E-05,34,34,,,
3.02E-05,33,33,,,
2.66E-05,34,34,,,
2.48E-05,34,34,,,
2.50E-05,32,32,,,
2.61E-05,32,32,,,
2.81E-05,30,30,,,
3.12E-05,31,31,,,
3.11E-05,30,30,,,
2.79E-05,33,33,,,
2.73E-05,31,31,,,
3.04E-05,32,32,,,
3.09E-05,30,30,,,
2.55E-05,29,29,,,
3.10E-05,30,30,,,
2.79E-05,28,28,,,
