cas operacie,index prvku,dlzka zoznamu,,,
1.04E-05,0,2,,,1.38E-01
1.08E-05,0,2,,,11613
1.00E-05,0,0,,,
1.77E-05,0,0,,,
1.30E-05,0,0,,,
1.04E-05,0,3,,,
1.03E-05,0,4,,,
1.03E-05,0,2,,,
1.01E-05,0,3,,,
1.01E-05,0,4,,,
1.01E-05,0,4,,,
1.01E-05,0,0,,,
1.07E-05,0,1,,,
1.01E-05,0,0,,,
1.01E-05,0,0,,,
1.03E-05,0,0,,,
1.02E-05,0,0,,,
1.04E-05,0,9,,,
1.00E-05,0,6,,,
1.15E-05,0,10,,,
1.89E-05,0,7,,,
1.00E-05,0,5,,,
1.02E-05,0,5,,,
1.01E-05,0,4,,,
1.02E-05,0,3,,,
1.05E-05,0,4,,,
1.01E-05,0,4,,,
1.00E-05,0,3,,,
1.01E-05,0,3,,,
1.01E-05,0,2,,,
1.24E-05,0,1,,,
1.66E-05,0,2,,,
2.56E-05,0,4,,,
1.14E-05,0,4,,,
2.17E-05,0,5,,,
1.57E-05,0,5,,,
1.57E-05,0,3,,,
1.50E-05,0,3,,,
1.79E-05,0,0,,,
1.35E-05,0,1,,,
1.19E-05,0,0,,,
1.11E-05,0,4,,,
1.10E-05,0,1,,,
1.12E-05,0,6,,,
1.12E-05,0,5,,,
1.47E-05,0,5,,,
1.33E-05,0,6,,,
1.11E-05,0,4,,,
1.11E-05,0,6,,,
1.11E-05,0,8,,,
1.12E-05,0,8,,,
1.11E-05,0,6,,,
1.95E-05,0,10,,,
1.29E-05,0,8,,,
1.27E-05,0,7,,,
1.22E-05,0,6,,,
1.21E-05,0,7,,,
1.96E-05,0,6,,,
1.72E-05,0,6,,,
2.04E-05,0,5,,,
1.44E-05,0,9,,,
1.80E-05,0,22,,,
1.49E-05,0,21,,,
1.56E-05,0,18,,,
1.67E-05,0,16,,,
1.66E-05,0,16,,,
1.35E-05,0,15,,,
1.23E-05,0,14,,,
1.41E-05,0,14,,,
1.89E-05,0,9,,,
1.88E-05,0,8,,,
1.26E-05,0,10,,,
1.43E-05,0,11,,,
1.27E-05,0,11,,,
1.11E-05,0,12,,,
1.11E-05,0,13,,,
1.38E-05,0,14,,,
1.33E-05,0,13,,,
1.32E-05,0,18,,,
1.35E-05,0,21,,,
1.36E-05,0,27,,,
1.61E-05,0,32,,,
1.69E-05,0,31,,,
1.36E-05,0,31,,,
1.34E-05,0,30,,,
1.33E-05,0,32,,,
1.21E-05,0,32,,,
0.0001619,0,32,,,
1.27E-05,0,30,,,
1.30E-05,0,29,,,
1.32E-05,0,26,,,
1.25E-05,0,29,,,
1.32E-05,0,27,,,
1.20E-05,0,25,,,
1.34E-05,0,23,,,
1.12E-05,0,30,,,
1.78E-05,0,30,,,
1.34E-05,0,31,,,
1.58E-05,0,39,,,
2.01E-05,0,40,,,
1.22E-05,0,40,,,
1.24E-05,0,39,,,
1.26E-05,0,38,,,
1.52E-05,0,37,,,
1.67E-05,0,33,,,
1.65E-05,0,32,,,
1.15E-05,0,30,,,
1.57E-05,0,29,,,
2.07E-05,0,28,,,
1.59E-05,0,26,,,
1.56E-05,0,22,,,
1.64E-05,0,20,,,
1.60E-05,0,20,,,
7.59E-05,0,19,,,
1.27E-05,0,17,,,
1.24E-05,0,16,,,
1.25E-05,0,17,,,
1.32E-05,0,20,,,
1.28E-05,0,20,,,
1.26E-05,0,19,,,
1.25E-05,0,18,,,
1.23E-05,0,17,,,
1.38E-05,0,16,,,
1.49E-05,0,19,,,
1.14E-05,0,21,,,
1.12E-05,0,21,,,
1.11E-05,0,28,,,
1.14E-05,0,26,,,
1.84E-05,0,25,,,
1.11E-05,0,20,,,
1.12E-05,0,24,,,
1.11E-05,0,22,,,
1.90E-05,0,19,,,
1.12E-05,0,22,,,
1.51E-05,0,25,,,
