cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.40E-06,10,10,14,,,1.22E-02,,0.0000004,0,0,1
2.30E-06,16,16,26,,,5000,,0.0000003,0,0,1
1.20E-06,9,9,30,,,,,0.0000005,0,0,1
7.00E-07,6,6,30,,,,,0.0000004,0,0,1
7.00E-07,4,4,33,,,,,0.0000005,0,0,1
1.10E-06,10,10,33,,,,,0.0000004,0,0,1
8.00E-07,7,7,32,,,,,0.0000004,0,0,1
6.00E-07,3,3,30,,,,,0.0000004,0,0,1
9.00E-07,9,9,27,,,,,0.0000004,0,0,1
5.00E-07,2,2,28,,,,,0.0000004,0,0,1
8.00E-07,4,4,26,,,,,0.0000003,0,0,1
6.00E-07,4,4,28,,,,,0.0000003,0,0,1
6.00E-07,1,1,31,,,,,0.0000005,0,0,1
2.30E-06,28,28,36,,,,,0.0000005,0,0,1
3.10E-06,32,32,34,,,,,0.0000006,0,0,1
1.30E-06,13,13,35,,,,,0.0000004,0,0,1
2.20E-06,28,28,35,,,,,0.0000004,0,0,1
1.20E-06,11,11,21,,,,,0.0000003,0,0,1
1.10E-06,9,9,24,,,,,0.0000004,0,0,1
7.00E-07,4,4,21,,,,,0.0000004,0,0,1
9.00E-07,7,7,16,,,,,0.0000005,0,0,1
1.40E-06,15,15,21,,,,,0.0000007,0,0,1
9.00E-07,8,8,17,,,,,0.0000005,0,0,1
5.00E-07,1,1,22,,,,,0.0000006,0,0,2
6.00E-07,4,4,20,,,,,0.0000004,0,0,2
1.10E-06,12,12,20,,,,,0.0000005,1,1,2
1.00E-06,9,9,19,,,,,0.0000004,0,0,2
1.20E-06,10,10,25,,,,,0.0000006,1,1,2
1.60E-06,17,17,19,,,,,0.0000003,0,0,2
9.00E-07,7,7,25,,,,,0.0000005,0,0,2
3.00E-07,0,0,25,,,,,0.0000004,0,0,2
6.00E-07,4,4,23,,,,,0.0000005,0,0,2
1.50E-06,10,10,27,,,,,0.0000006,1,1,2
4.00E-07,0,0,23,,,,,0.0000005,1,1,2
5.00E-07,0,0,24,,,,,0.0000004,1,1,2
1.00E-06,9,9,25,,,,,0.0000004,0,0,2
1.00E-06,9,9,23,,,,,0.0000003,0,0,2
8.00E-07,5,5,14,,,,,0.0000007,0,0,2
2.00E-06,13,13,18,,,,,0.0000005,1,1,2
8.00E-07,5,5,16,,,,,0.0000004,0,0,2
6.00E-07,4,4,16,,,,,0.0000005,1,1,2
1.00E-06,9,9,20,,,,,0.0000005,1,1,2
1.00E-06,9,9,22,,,,,0.0000005,1,1,2
1.90E-06,21,21,24,,,,,0.0000005,1,1,2
1.00E-06,5,5,19,,,,,0.0000004,1,1,2
1.20E-06,12,12,19,,,,,0.0000005,0,0,2
1.50E-06,15,15,18,,,,,0.0000004,0,0,2
1.00E-06,10,10,20,,,,,0.0000004,1,1,2
1.00E-06,7,7,17,,,,,0.0000005,1,1,2
7.00E-07,4,4,17,,,,,0.0000011,1,1,2
6.00E-07,4,4,16,,,,,0.0000003,0,0,3
9.00E-07,6,6,12,,,,,0.0000007,2,2,3
6.00E-07,4,4,9,,,,,0.0000006,2,2,3
6.00E-07,2,2,7,,,,,0.0000005,0,0,3
6.00E-07,0,0,2,,,,,0.0000005,2,2,3
4.00E-07,0,0,2,,,,,0.0000005,0,0,3
4.00E-07,0,0,1,,,,,0.0000007,1,1,3
3.00E-07,0,0,3,,,,,0.0000005,0,0,3
3.00E-07,0,0,1,,,,,0.0000005,2,2,3
6.00E-07,1,1,6,,,,,0.0000004,1,1,3
7.00E-07,5,5,11,,,,,0.0000005,1,1,3
4.00E-07,1,1,8,,,,,0.0000005,1,1,3
3.00E-07,0,0,9,,,,,0.0000006,2,2,3
5.00E-07,0,0,7,,,,,0.0000004,0,0,3
6.00E-07,2,2,12,,,,,0.0000005,2,2,3
1.00E-06,9,9,14,,,,,0.0000004,1,1,3
7.00E-07,4,4,15,,,,,0.0000008,2,2,3
1.30E-06,14,14,17,,,,,0.0000005,1,1,3
9.00E-07,5,5,16,,,,,0.0000005,1,1,3
1.60E-06,4,4,17,,,,,0.0000006,2,2,4
6.00E-07,1,1,17,,,,,0.0000005,1,1,4
6.00E-07,1,1,27,,,,,0.0000007,1,1,4
2.20E-06,28,28,29,,,,,0.0000007,3,3,4
2.00E-06,19,19,38,,,,,0.0000004,0,0,4
2.00E-06,22,22,41,,,,,0.0000005,2,2,4
1.20E-06,11,11,45,,,,,0.0000005,0,0,4
2.40E-06,29,29,49,,,,,0.0000004,0,0,4
1.30E-06,11,11,44,,,,,0.0000003,0,0,4
1.30E-06,12,12,44,,,,,0.0000005,1,1,4
1.80E-06,21,21,45,,,,,0.0000008,3,3,4
1.00E-06,8,8,42,,,,,0.0000004,0,0,4
1.10E-06,11,11,43,,,,,0.0000004,1,1,4
2.00E-06,22,22,47,,,,,0.0000006,2,2,4
2.10E-06,27,27,44,,,,,0.0000006,3,3,4
6.00E-07,3,3,40,,,,,0.0000006,2,2,4
2.60E-06,32,32,40,,,,,0.0000003,0,0,4
7.00E-07,4,4,39,,,,,0.0000005,2,2,4
9.00E-07,7,7,41,,,,,0.0000006,2,2,4
9.00E-07,8,8,48,,,,,0.0000005,2,2,4
1.70E-06,20,20,48,,,,,0.0000005,1,1,4
5.00E-07,1,1,49,,,,,0.0000007,2,2,4
1.90E-06,20,20,46,,,,,0.0000007,2,2,4
1.50E-06,17,17,48,,,,,0.0000005,3,3,4
1.80E-06,22,22,42,,,,,0.0000007,2,2,4
6.00E-07,3,3,39,,,,,0.0000006,3,3,4
2.20E-06,24,24,42,,,,,0.0000004,0,0,5
6.00E-07,4,4,47,,,,,0.0000007,3,3,5
4.40E-06,53,53,57,,,,,0.0000006,2,2,5
4.00E-07,0,0,53,,,,,0.0000003,0,0,5
1.20E-06,13,13,54,,,,,0.0000008,2,2,5
2.90E-06,33,33,59,,,,,0.0000005,3,3,5
1.40E-06,15,15,62,,,,,0.0000003,0,0,5
4.80E-06,56,56,66,,,,,0.0000007,4,4,5
4.00E-06,58,58,67,,,,,0.0000005,2,2,5
3.70E-06,47,47,64,,,,,0.0000004,0,0,5
8.00E-07,6,6,66,,,,,0.0000005,1,1,5
3.30E-06,43,43,69,,,,,0.0000007,4,4,5
1.50E-06,14,14,77,,,,,0.0000005,1,1,5
3.50E-06,46,46,77,,,,,0.0000007,3,3,5
1.00E-06,9,9,76,,,,,0.0000009,3,3,5
1.20E-06,11,11,71,,,,,0.0000006,4,4,5
3.30E-06,37,37,71,,,,,0.0000004,1,1,5
9.00E-07,8,8,69,,,,,0.0000003,0,0,5
2.10E-06,20,20,66,,,,,0.0000008,4,4,5
3.10E-06,34,34,66,,,,,0.0000005,0,0,5
1.90E-06,22,22,70,,,,,0.0000006,1,1,6
5.00E-07,0,0,72,,,,,0.0000004,0,0,6
1.10E-06,6,6,71,,,,,0.0000007,5,5,6
2.40E-06,27,27,72,,,,,0.0000008,4,4,6
2.40E-06,21,21,67,,,,,0.0000006,3,3,6
1.80E-06,22,22,72,,,,,0.0000006,2,2,6
6.40E-06,57,57,72,,,,,0.0000003,0,0,6
5.30E-06,59,59,70,,,,,0.0000009,5,5,6
7.00E-07,3,3,72,,,,,0.0000006,2,2,6
1.00E-06,5,5,71,,,,,0.0000007,5,5,6
1.60E-06,15,15,67,,,,,0.0000005,3,3,6
2.60E-06,27,27,67,,,,,0.0000006,2,2,6
2.60E-06,32,32,70,,,,,0.0000004,0,0,6
1.00E-06,1,1,61,,,,,0.0000008,5,5,6
4.00E-06,44,44,61,,,,,0.0000006,3,3,6
1.30E-06,10,10,60,,,,,0.0000004,0,0,6
3.40E-06,40,40,60,,,,,0.0000003,0,0,6
9.00E-07,3,3,50,,,,,0.0000004,1,1,6
2.70E-06,26,26,44,,,,,0.0000007,2,2,6
3.10E-06,37,37,40,,,,,0.000001,5,5,6
1.30E-06,11,11,39,,,,,0.0000006,3,3,6
1.10E-06,11,11,40,,,,,0.0000006,2,2,6
3.00E-06,35,35,42,,,,,0.0000008,4,4,6
2.20E-06,9,9,42,,,,,0.0000006,2,2,7
3.40E-06,21,21,52,,,,,0.0000005,0,0,7
2.30E-06,23,23,47,,,,,0.0000004,0,0,7
2.10E-06,26,26,46,,,,,0.0000003,0,0,7
8.00E-07,5,5,51,,,,,0.0000007,2,2,7
1.50E-06,16,16,51,,,,,0.0000009,6,6,7
2.70E-06,35,35,52,,,,,0.0000006,3,3,7
5.00E-07,0,0,53,,,,,0.0000006,2,2,7
1.00E-06,9,9,47,,,,,0.0000007,5,5,7
1.10E-06,6,6,49,,,,,0.0000008,2,2,7
9.00E-07,6,6,51,,,,,0.0000007,4,4,7
3.40E-06,42,42,50,,,,,0.0000006,4,4,7
1.10E-06,11,11,50,,,,,0.0000004,1,1,7
6.00E-07,3,3,49,,,,,0.0000003,0,0,7
1.60E-06,17,17,43,,,,,0.0000004,1,1,7
1.30E-06,15,15,43,,,,,0.0000007,3,3,7
1.50E-06,17,17,42,,,,,0.0000014,3,3,7
2.00E-06,22,22,40,,,,,0.0000009,3,3,7
1.80E-06,22,22,37,,,,,0.0000007,1,1,7
3.30E-06,39,39,43,,,,,0.0000005,1,1,7
2.00E-06,20,20,41,,,,,0.0000006,0,0,7
4.40E-06,34,34,37,,,,,0.0000004,0,0,7
1.70E-06,19,19,39,,,,,0.0000006,5,5,7
1.80E-06,19,19,35,,,,,0.0000008,6,6,7
3.00E-07,0,0,32,,,,,0.0000006,3,3,7
1.50E-06,19,19,32,,,,,0.0000459,4,4,7
1.30E-06,13,13,25,,,,,0.0000004,1,1,7
1.80E-06,18,18,33,,,,,0.0000008,5,5,7
1.90E-06,19,19,34,,,,,0.0000004,1,1,8
5.00E-07,2,2,35,,,,,0.0000005,3,3,8
1.70E-06,21,21,38,,,,,0.0000006,3,3,8
2.40E-06,28,28,45,,,,,0.0000006,4,4,8
5.00E-07,2,2,40,,,,,0.0000005,2,2,8
1.60E-06,17,17,34,,,,,0.0000004,2,2,8
2.10E-06,21,21,30,,,,,0.0000009,7,7,8
1.70E-06,19,19,29,,,,,0.0000009,5,5,8
7.00E-07,5,5,31,,,,,0.0000005,1,1,8
9.00E-07,7,7,33,,,,,0.0000008,5,5,8
1.90E-06,18,18,19,,,,,0.0000006,1,1,8
1.10E-06,10,10,17,,,,,0.0000011,6,6,8
7.00E-07,4,4,21,,,,,0.0000008,7,7,8
1.60E-06,18,18,22,,,,,0.0000007,3,3,8
1.20E-06,13,13,22,,,,,0.0000008,7,7,8
6.00E-07,2,2,23,,,,,0.0000003,0,0,8
8.00E-07,3,3,22,,,,,0.0000007,4,4,8
5.00E-07,0,0,21,,,,,0.0000008,5,5,8
1.00E-06,7,7,21,,,,,0.0000005,1,1,8
1.00E-06,7,7,25,,,,,0.0000007,3,3,8
1.40E-06,11,11,15,,,,,0.0000011,6,6,8
1.00E-06,7,7,12,,,,,0.000001,6,6,8
1.80E-06,9,9,13,,,,,0.0000005,2,2,8
9.00E-07,6,6,13,,,,,0.0000007,5,5,8
7.00E-07,2,2,16,,,,,0.0000005,1,1,8
6.00E-07,2,2,14,,,,,0.0000008,2,2,8
9.00E-07,7,7,11,,,,,0.0000006,2,2,8
4.00E-07,1,1,13,,,,,0.0000007,4,4,8
9.00E-07,8,8,15,,,,,0.0000003,0,0,8
1.00E-06,6,6,11,,,,,0.0000008,4,4,8
8.00E-07,4,4,22,,,,,0.0000009,5,5,8
8.00E-07,1,1,31,,,,,0.0000005,0,0,8
9.00E-07,5,5,30,,,,,0.0000006,4,4,9
1.70E-06,17,17,33,,,,,0.0000003,0,0,9
1.10E-06,9,9,32,,,,,0.0000008,5,5,9
1.90E-06,18,18,40,,,,,0.0000006,0,0,9
5.00E-07,2,2,40,,,,,0.0000008,7,7,9
1.10E-06,11,11,35,,,,,0.0000008,4,4,9
1.60E-06,15,15,37,,,,,0.0000024,8,8,9
6.00E-07,4,4,40,,,,,0.0000005,0,0,9
3.10E-06,33,33,48,,,,,0.0000005,2,2,9
2.80E-06,35,35,52,,,,,0.0000005,3,3,9
2.40E-06,31,31,49,,,,,0.0000009,3,3,9
8.00E-07,6,6,45,,,,,0.0000006,3,3,9
4.20E-06,53,53,58,,,,,0.0000009,8,8,9
2.40E-06,31,31,59,,,,,0.0000004,0,0,9
3.60E-06,44,44,67,,,,,0.0000008,0,0,9
1.20E-06,10,10,75,,,,,0.0000011,3,3,9
2.70E-06,35,35,75,,,,,0.0000011,8,8,9
