cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
1.87E-05,94,3,5,,,5.41E-02,,0.0000171,95,0,1
1.86E-05,93,5,11,,,2501,,0.0000172,94,0,1
1.82E-05,92,1,11,,,,,0.0000172,93,0,1
2.38E-05,94,10,21,,,,,0.000017,91,0,1
1.81E-05,93,23,28,,,,,0.0000191,94,0,1
1.84E-05,93,23,29,,,,,0.0000182,92,0,1
1.84E-05,94,11,23,,,,,0.0000173,95,0,1
1.97E-05,92,6,20,,,,,0.0000298,91,0,1
1.72E-05,94,2,19,,,,,0.0000227,93,0,1
2.21E-05,91,3,19,,,,,0.0000284,94,0,1
1.85E-05,93,23,27,,,,,0.0000246,93,0,2
1.72E-05,92,0,22,,,,,0.000017,93,0,2
1.76E-05,95,10,20,,,,,0.000017,91,0,2
1.75E-05,92,7,12,,,,,0.0000202,95,0,2
1.73E-05,93,0,4,,,,,0.0000171,94,0,2
1.71E-05,95,0,1,,,,,0.0000171,95,0,2
2.46E-05,93,0,2,,,,,0.0000171,92,0,2
1.75E-05,93,1,14,,,,,0.0000176,94,0,3
1.76E-05,94,8,14,,,,,0.0000171,94,1,3
2.29E-05,91,28,37,,,,,0.0000182,92,0,3
1.83E-05,92,24,38,,,,,0.0000286,94,0,3
1.71E-05,94,0,39,,,,,0.0000176,91,1,3
1.88E-05,91,0,38,,,,,0.0000172,94,0,3
1.78E-05,91,12,45,,,,,0.0000172,91,0,3
1.87E-05,92,27,45,,,,,0.0000176,91,1,3
1.84E-05,94,36,42,,,,,0.0000171,92,0,3
1.71E-05,94,0,43,,,,,0.0000173,93,0,4
2.29E-05,91,28,43,,,,,0.0000172,93,0,4
1.81E-05,92,22,47,,,,,0.0000173,92,1,4
1.84E-05,94,40,47,,,,,0.0000175,94,1,4
1.81E-05,94,28,46,,,,,0.0000171,93,1,4
1.76E-05,95,15,45,,,,,0.0000175,95,1,4
1.80E-05,91,3,49,,,,,0.0000176,94,2,4
0.0001182,92,39,53,,,,,0.0000211,95,0,4
2.15E-05,92,31,53,,,,,0.0000173,95,1,4
2.11E-05,94,43,54,,,,,0.0000515,95,0,4
1.87E-05,91,35,62,,,,,0.0000236,94,2,4
1.90E-05,95,47,67,,,,,0.0000187,94,3,5
2.61E-05,94,39,66,,,,,0.0000171,92,1,5
1.92E-05,93,49,77,,,,,0.000019,93,2,5
1.95E-05,94,66,76,,,,,0.0000172,91,2,5
1.98E-05,91,69,71,,,,,0.0000192,94,3,5
2.26E-05,93,2,72,,,,,0.0000178,94,3,5
2.01E-05,91,52,69,,,,,0.0000187,94,1,5
1.91E-05,94,24,68,,,,,0.0000175,94,0,5
1.85E-05,94,1,67,,,,,0.0000191,92,3,5
2.41E-05,94,36,59,,,,,0.0000199,94,1,5
1.83E-05,92,3,50,,,,,0.000018,91,0,5
1.87E-05,95,21,40,,,,,0.0000181,91,0,5
1.85E-05,93,12,42,,,,,0.0000173,92,1,5
3.65E-05,94,0,52,,,,,0.0000172,95,0,5
3.25E-05,92,16,49,,,,,0.0000172,94,1,5
1.82E-05,91,31,50,,,,,0.0000174,91,4,6
1.74E-05,95,6,50,,,,,0.0000171,92,2,6
2.04E-05,92,44,55,,,,,0.0000172,94,0,6
1.80E-05,93,19,49,,,,,0.0000172,92,4,6
1.86E-05,95,39,51,,,,,0.0000184,94,0,6
1.77E-05,92,12,46,,,,,0.0000199,92,4,6
1.83E-05,95,28,39,,,,,0.0000171,93,4,6
1.79E-05,94,3,39,,,,,0.0000248,92,1,6
1.85E-05,92,37,40,,,,,0.0000172,93,2,6
1.81E-05,92,25,38,,,,,0.0000177,91,4,6
1.75E-05,91,1,36,,,,,0.0000174,95,4,6
1.95E-05,92,21,36,,,,,0.0000205,91,1,6
1.80E-05,91,19,22,,,,,0.0000172,92,1,6
1.71E-05,91,2,21,,,,,0.0000223,94,3,6
1.75E-05,91,14,25,,,,,0.0000174,94,1,7
2.30E-05,95,8,25,,,,,0.0000257,91,1,7
1.78E-05,92,17,19,,,,,0.0000212,93,5,7
1.89E-05,92,5,37,,,,,0.0000199,91,0,7
1.90E-05,95,21,38,,,,,0.0000171,92,0,7
1.82E-05,95,34,36,,,,,0.0000183,93,3,7
2.11E-05,95,41,47,,,,,0.0000174,92,2,7
1.83E-05,91,25,36,,,,,0.0000171,92,1,7
1.82E-05,92,24,36,,,,,0.0000174,92,2,7
1.81E-05,94,24,35,,,,,0.0000192,91,2,7
1.82E-05,94,29,34,,,,,0.0000171,95,0,8
2.07E-05,93,13,31,,,,,0.0000209,92,3,8
2.21E-05,92,24,34,,,,,0.0000227,95,5,8
2.34E-05,94,18,25,,,,,0.0000198,94,2,8
1.76E-05,91,16,18,,,,,0.0000182,94,4,8
1.73E-05,93,7,19,,,,,0.0000171,95,4,8
1.76E-05,95,16,20,,,,,0.0000172,91,3,8
3.07E-05,92,13,20,,,,,0.0000173,92,4,8
1.72E-05,92,0,23,,,,,0.0000221,92,2,8
1.80E-05,95,18,31,,,,,0.0000174,91,2,8
