cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,,,,,,
2.43E-05,23,7,15,,,5.28E-02,,0.000017,9,0,1
1.80E-05,1,9,28,,,2499,,0.0000168,45,0,1
1.82E-05,16,13,26,,,,,0.0000171,13,0,1
1.72E-05,1,7,28,,,,,0.0000196,44,0,1
2.40E-05,92,14,29,,,,,0.0000169,38,0,1
3.76E-05,39,17,28,,,,,0.0000169,25,0,1
1.90E-05,16,16,34,,,,,0.0000174,19,0,1
1.76E-05,16,16,28,,,,,0.0000174,16,0,1
2.46E-05,9,13,23,,,,,0.0000167,24,0,1
1.76E-05,92,20,23,,,,,0.000018,33,0,1
4.18E-05,39,2,18,,,,,0.000019,22,0,1
1.70E-05,15,2,15,,,,,0.0000272,24,0,1
1.76E-05,16,9,15,,,,,0.0000264,2,0,1
1.78E-05,16,15,17,,,,,0.0000308,43,0,1
1.74E-05,32,6,24,,,,,0.0000169,41,0,1
1.75E-05,21,20,26,,,,,0.0000169,41,0,1
2.42E-05,26,0,21,,,,,0.0000171,24,0,1
1.73E-05,20,10,17,,,,,0.0000168,44,0,1
1.70E-05,36,1,22,,,,,0.000022,94,0,1
1.74E-05,21,8,19,,,,,0.0000172,45,0,2
1.73E-05,13,12,25,,,,,0.0000167,36,0,2
1.77E-05,37,19,23,,,,,0.0000184,43,0,2
1.69E-05,29,1,11,,,,,0.0000171,20,0,2
2.67E-05,8,15,17,,,,,0.0000173,36,0,2
6.57E-05,20,2,18,,,,,0.000017,10,0,2
1.72E-05,11,4,20,,,,,0.0000177,5,0,2
1.72E-05,22,2,19,,,,,0.0000167,15,0,2
1.72E-05,27,3,19,,,,,0.0000172,43,0,2
1.69E-05,8,1,4,,,,,0.0000171,11,0,2
1.78E-05,37,2,4,,,,,0.000017,15,0,2
1.70E-05,9,0,1,,,,,0.0000172,18,1,3
1.69E-05,10,0,6,,,,,0.0000175,17,0,3
1.72E-05,36,3,10,,,,,0.0000168,95,1,3
2.28E-05,33,22,28,,,,,0.000017,12,1,3
1.77E-05,21,28,39,,,,,0.0000174,8,0,3
1.97E-05,13,37,41,,,,,0.000017,94,0,3
1.80E-05,24,26,44,,,,,0.0000169,8,1,4
1.79E-05,39,9,42,,,,,0.0000178,37,2,4
1.80E-05,7,33,46,,,,,0.0000169,13,0,4
1.73E-05,37,11,45,,,,,0.0000181,39,2,4
1.72E-05,5,10,48,,,,,0.0000169,11,0,4
1.79E-05,31,24,47,,,,,0.000017,23,2,4
1.88E-05,44,46,49,,,,,0.0000168,32,2,4
1.88E-05,9,45,49,,,,,0.0000177,20,1,4
1.70E-05,40,4,40,,,,,0.0000172,13,0,4
1.76E-05,25,15,44,,,,,0.0000226,27,2,4
1.83E-05,91,36,55,,,,,0.0000173,18,0,4
1.88E-05,15,43,57,,,,,0.0000175,42,0,4
1.87E-05,39,49,55,,,,,0.0000171,43,3,5
1.78E-05,17,27,60,,,,,0.000017,22,2,5
1.85E-05,25,37,62,,,,,0.000017,19,1,5
1.76E-05,91,21,62,,,,,0.0000171,23,3,5
1.87E-05,39,51,58,,,,,0.000017,34,0,5
1.76E-05,36,15,61,,,,,0.0000169,41,3,5
1.76E-05,32,20,66,,,,,0.000017,29,1,5
1.81E-05,25,40,66,,,,,0.0000208,15,1,5
1.78E-05,32,22,68,,,,,0.0000224,45,2,5
1.88E-05,94,48,67,,,,,0.000017,43,1,5
1.86E-05,28,45,72,,,,,0.0000182,34,2,5
1.84E-05,92,35,72,,,,,0.0000239,18,1,5
2.33E-05,7,16,63,,,,,0.000017,17,0,5
1.92E-05,24,40,71,,,,,0.0000171,44,2,5
2.36E-05,7,60,70,,,,,0.0000178,19,2,5
2.64E-05,8,24,72,,,,,0.000017,30,3,5
2.79E-05,29,58,64,,,,,0.0000169,95,1,5
1.77E-05,5,5,40,,,,,0.0000171,42,2,5
9.78E-05,4,1,40,,,,,0.0000169,10,0,6
2.71E-05,32,21,44,,,,,0.0000169,37,1,6
1.74E-05,8,10,47,,,,,0.0000169,92,2,6
1.81E-05,7,30,47,,,,,0.0000172,40,0,6
1.70E-05,3,0,48,,,,,0.0000171,93,3,6
1.90E-05,42,45,50,,,,,0.0000172,1,0,6
1.93E-05,36,1,52,,,,,0.0000361,33,3,6
1.75E-05,6,18,52,,,,,0.0000172,34,0,6
2.33E-05,31,18,45,,,,,0.0000173,1,4,6
1.85E-05,24,39,42,,,,,0.000017,25,3,6
1.71E-05,8,5,40,,,,,0.000017,35,1,6
3.47E-05,95,23,27,,,,,0.0000169,23,3,6
2.88E-05,12,15,26,,,,,0.0000171,41,1,6
1.99E-05,11,8,38,,,,,0.0000171,22,4,6
1.76E-05,21,15,39,,,,,0.0000175,29,0,6
1.78E-05,12,26,41,,,,,0.0000181,33,0,6
1.70E-05,22,1,41,,,,,0.0000169,36,1,6
1.77E-05,2,14,38,,,,,0.0000174,19,5,7
1.70E-05,31,5,34,,,,,0.0000172,15,0,7
2.49E-05,26,2,32,,,,,0.0000252,37,1,7
1.76E-05,13,21,32,,,,,0.000017,9,1,7
1.78E-05,37,30,32,,,,,0.0000193,8,4,7
1.71E-05,11,4,21,,,,,0.0000168,95,1,7
1.71E-05,11,6,21,,,,,0.0000179,3,3,7
1.75E-05,38,11,26,,,,,0.000017,15,4,7
1.77E-05,34,21,25,,,,,0.0000172,35,4,7
1.72E-05,45,8,22,,,,,0.000017,20,5,7
2.43E-05,4,6,20,,,,,0.0000175,28,1,7
1.72E-05,20,3,32,,,,,0.0000171,95,4,7
1.75E-05,41,15,31,,,,,0.000017,19,2,7
1.81E-05,36,8,13,,,,,0.0000173,24,3,7
1.77E-05,33,0,11,,,,,0.0001052,3,1,7
1.85E-05,8,4,16,,,,,0.0000171,94,3,7
1.83E-05,25,8,14,,,,,0.0000169,24,1,7
1.72E-05,9,10,14,,,,,0.0000172,39,4,7
2.50E-05,93,16,24,,,,,0.0000169,24,0,7
1.81E-05,17,2,24,,,,,0.000017,43,5,8
1.79E-05,5,1,23,,,,,0.0000228,37,2,8
1.74E-05,3,2,33,,,,,0.00002,15,0,8
1.71E-05,7,10,33,,,,,0.0000169,95,2,8
1.81E-05,34,25,32,,,,,0.0000224,42,5,8
2.71E-05,20,19,33,,,,,0.000017,25,1,8
1.82E-05,16,3,37,,,,,0.0000187,30,2,8
