cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.17E-05,43,0,2,,,3.28E-01
1.91E-05,9,2,4,,,15095
1.88E-05,27,1,7,,,
1.90E-05,39,7,9,,,
2.07E-05,37,1,10,,,
2.07E-05,25,7,11,,,
1.87E-05,23,7,11,,,
1.88E-05,37,10,12,,,
1.87E-05,30,8,13,,,
1.87E-05,5,11,14,,,
2.74E-05,1,4,14,,,
1.88E-05,16,6,12,,,
1.85E-05,15,3,14,,,
1.90E-05,26,11,15,,,
1.90E-05,36,17,20,,,
1.89E-05,41,14,21,,,
1.98E-05,22,4,27,,,
2.10E-05,23,16,28,,,
3.32E-05,9,21,27,,,
1.86E-05,37,25,28,,,
1.78E-05,1,9,32,,,
1.89E-05,23,21,31,,,
2.29E-05,40,27,32,,,
1.81E-05,19,21,33,,,
1.81E-05,12,7,31,,,
1.85E-05,9,5,29,,,
1.78E-05,43,1,31,,,
1.76E-05,28,3,28,,,
1.81E-05,8,7,28,,,
1.82E-05,30,11,28,,,
2.37E-05,6,18,29,,,
1.75E-05,19,5,26,,,
1.74E-05,16,6,26,,,
1.85E-05,16,22,27,,,
2.38E-05,39,17,30,,,
1.85E-05,42,12,28,,,
1.79E-05,12,19,27,,,
1.77E-05,32,1,28,,,
1.75E-05,6,6,28,,,
1.95E-05,29,4,31,,,
1.97E-05,5,26,38,,,
1.87E-05,17,29,37,,,
1.83E-05,4,20,38,,,
2.20E-05,14,6,35,,,
1.85E-05,36,27,29,,,
1.81E-05,6,17,28,,,
1.77E-05,16,9,27,,,
1.79E-05,11,15,23,,,
1.91E-05,36,18,24,,,
1.90E-05,19,14,16,,,
1.79E-05,20,14,27,,,
1.81E-05,17,11,24,,,
1.77E-05,35,7,17,,,
1.80E-05,25,12,18,,,
1.81E-05,20,15,20,,,
1.75E-05,35,2,19,,,
1.82E-05,35,14,17,,,
1.76E-05,6,2,17,,,
1.79E-05,26,15,19,,,
1.80E-05,19,15,20,,,
1.77E-05,7,5,19,,,
1.84E-05,41,7,22,,,
1.80E-05,21,18,21,,,
1.81E-05,14,15,20,,,
1.47E-05,12,0,20,,,
1.89E-05,19,17,21,,,
1.82E-05,13,18,22,,,
1.80E-05,35,18,23,,,
2.13E-05,30,2,26,,,
1.74E-05,20,2,25,,,
1.85E-05,4,20,25,,,
1.12E-05,13,0,25,,,
1.93E-05,22,11,25,,,
1.88E-05,15,10,26,,,
2.23E-05,19,10,27,,,
1.81E-05,28,13,27,,,
1.86E-05,1,18,22,,,
1.79E-05,42,16,22,,,
1.82E-05,31,16,23,,,
9.90E-06,42,0,24,,,
1.85E-05,2,19,26,,,
1.82E-05,5,5,26,,,
1.79E-05,29,6,23,,,
1.76E-05,20,2,23,,,
1.78E-05,29,12,24,,,
9.90E-06,24,0,21,,,
1.77E-05,15,10,22,,,
1.90E-05,33,10,15,,,
1.76E-05,32,8,12,,,
1.77E-05,10,10,13,,,
1.78E-05,45,9,13,,,
1.75E-05,40,2,14,,,
3.92E-05,16,2,18,,,
1.92E-05,20,1,18,,,
1.85E-05,33,11,19,,,
1.79E-05,25,7,16,,,
1.83E-05,39,17,22,,,
1.77E-05,34,3,23,,,
1.78E-05,21,8,23,,,
1.00E-05,7,0,25,,,
1.77E-05,42,3,26,,,
2.48E-05,16,12,27,,,
2.26E-05,45,2,21,,,
1.80E-05,35,10,19,,,
1.76E-05,19,3,19,,,
1.80E-05,3,7,20,,,
1.78E-05,41,12,21,,,
1.83E-05,31,14,21,,,
1.79E-05,34,15,22,,,
1.78E-05,2,13,18,,,
1.00E-05,9,0,19,,,
1.00E-05,34,0,20,,,
1.76E-05,30,2,19,,,
1.80E-05,26,8,20,,,
1.83E-05,20,14,19,,,
1.78E-05,11,5,16,,,
9.80E-06,1,0,11,,,
1.75E-05,31,6,12,,,
1.91E-05,2,4,9,,,
1.15E-05,42,0,1,,,
1.01E-05,39,0,2,,,
1.01E-05,30,0,3,,,
1.76E-05,29,1,5,,,
1.74E-05,11,1,6,,,
1.77E-05,14,5,8,,,
1.74E-05,34,1,7,,,
1.75E-05,12,1,8,,,
9.90E-06,1,0,5,,,
1.93E-05,23,3,5,,,
1.78E-05,3,1,4,,,
1.74E-05,31,1,3,,,
1.76E-05,42,1,3,,,
1.76E-05,21,1,3,,,
1.75E-05,11,1,3,,,
1.00E-05,9,0,3,,,
1.75E-05,4,1,3,,,
1.75E-05,19,2,7,,,
1.76E-05,42,1,5,,,
1.89E-05,10,2,4,,,
9.90E-06,10,0,2,,,
9.90E-06,29,0,1,,,
1.02E-05,21,0,3,,,
9.80E-06,5,0,3,,,
1.02E-05,3,0,5,,,
1.01E-05,16,0,5,,,
1.00E-05,27,0,5,,,
1.01E-05,28,0,1,,,
1.15E-05,35,0,2,,,
1.01E-05,40,0,1,,,
1.02E-05,17,0,1,,,
1.04E-05,20,0,1,,,
1.01E-05,15,0,2,,,
1.00E-05,35,0,1,,,
1.01E-05,24,0,3,,,
1.00E-05,19,0,6,,,
1.75E-05,28,2,7,,,
1.92E-05,7,4,6,,,
1.78E-05,10,2,7,,,
1.76E-05,42,3,8,,,
1.80E-05,25,4,8,,,
1.76E-05,4,3,8,,,
1.77E-05,40,6,9,,,
4.94E-05,34,9,11,,,
1.76E-05,11,4,7,,,
1.73E-05,16,1,8,,,
1.91E-05,14,4,7,,,
1.00E-05,14,0,7,,,
1.76E-05,9,4,7,,,
1.78E-05,36,3,10,,,
1.79E-05,43,8,13,,,
1.78E-05,2,8,12,,,
1.00E-05,9,0,11,,,
1.79E-05,24,9,12,,,
1.75E-05,41,1,13,,,
2.15E-05,36,8,16,,,
1.76E-05,39,6,16,,,
1.83E-05,44,5,18,,,
9.90E-06,8,0,17,,,
1.77E-05,6,7,13,,,
1.76E-05,15,4,14,,,
1.81E-05,16,7,14,,,
1.79E-05,28,8,15,,,
1.80E-05,21,7,14,,,
1.82E-05,29,2,14,,,
1.79E-05,21,12,17,,,
1.77E-05,28,7,17,,,
1.92E-05,5,5,16,,,
1.84E-05,32,6,16,,,
1.81E-05,8,13,17,,,
1.83E-05,16,13,15,,,
3.26E-05,28,11,16,,,
1.90E-05,17,13,17,,,
1.89E-05,43,16,18,,,
1.85E-05,36,6,19,,,
2.50E-05,14,7,20,,,
1.79E-05,44,8,19,,,
1.86E-05,27,19,21,,,
1.80E-05,32,19,23,,,
1.78E-05,2,11,24,,,
2.32E-05,10,9,27,,,
3.09E-05,38,19,30,,,
2.00E-05,41,25,28,,,
2.73E-05,21,25,29,,,
1.80E-05,23,7,29,,,
1.80E-05,34,20,29,,,
1.75E-05,17,7,29,,,
1.95E-05,7,16,28,,,
1.88E-05,28,6,30,,,
1.86E-05,11,6,30,,,
1.09E-05,25,0,31,,,
1.85E-05,28,6,32,,,
3.02E-05,15,26,36,,,
1.92E-05,24,14,38,,,
1.91E-05,35,22,42,,,
1.86E-05,6,35,39,,,
1.84E-05,24,23,39,,,
1.82E-05,10,20,39,,,
1.78E-05,42,14,40,,,
1.86E-05,20,30,41,,,
1.87E-05,35,2,39,,,
1.99E-05,12,1,42,,,
1.77E-05,7,7,43,,,
2.50E-05,4,37,40,,,
1.79E-05,5,10,43,,,
1.75E-05,34,6,41,,,
2.00E-05,39,36,43,,,
1.92E-05,34,41,44,,,
1.86E-05,3,24,45,,,
1.86E-05,16,28,45,,,
1.89E-05,37,9,41,,,
2.04E-05,14,2,44,,,
1.79E-05,29,5,41,,,
1.00E-05,10,0,42,,,
1.78E-05,42,5,43,,,
1.83E-05,7,26,45,,,
1.84E-05,40,22,46,,,
2.18E-05,18,14,45,,,
1.97E-05,16,26,47,,,
2.52E-05,10,33,44,,,
1.85E-05,25,28,43,,,
2.08E-05,34,9,43,,,
1.80E-05,18,12,43,,,
1.84E-05,42,32,42,,,
1.77E-05,13,13,40,,,
1.88E-05,15,38,41,,,
1.99E-05,35,43,48,,,
1.90E-05,39,32,41,,,
1.85E-05,33,25,42,,,
1.79E-05,25,9,42,,,
1.80E-05,25,16,42,,,
1.82E-05,17,23,40,,,
1.84E-05,32,32,40,,,
2.36E-05,35,14,40,,,
1.80E-05,22,8,40,,,
1.82E-05,17,17,41,,,
1.80E-05,8,13,41,,,
1.85E-05,5,22,41,,,
1.89E-05,2,37,43,,,
1.86E-05,28,24,44,,,
1.84E-05,7,24,47,,,
1.80E-05,12,18,46,,,
1.87E-05,32,34,47,,,
1.80E-05,5,14,46,,,
1.82E-05,22,25,47,,,
2.61E-05,20,37,46,,,
1.84E-05,29,24,47,,,
1.83E-05,35,11,48,,,
1.79E-05,40,10,47,,,
1.86E-05,32,39,45,,,
1.83E-05,10,22,46,,,
1.75E-05,1,6,47,,,
2.41E-05,24,30,49,,,
1.84E-05,16,27,50,,,
1.80E-05,38,3,49,,,
1.90E-05,25,30,41,,,
1.87E-05,37,30,42,,,
2.09E-05,43,39,43,,,
1.87E-05,5,36,44,,,
1.89E-05,25,24,45,,,
1.77E-05,39,7,48,,,
1.85E-05,1,23,50,,,
1.86E-05,1,1,51,,,
1.83E-05,32,23,51,,,
1.99E-05,45,30,54,,,
2.01E-05,27,42,55,,,
1.99E-05,12,39,55,,,
1.97E-05,44,41,56,,,
2.98E-05,14,12,57,,,
2.22E-05,15,46,58,,,
2.62E-05,45,27,57,,,
2.61E-05,21,16,60,,,
1.88E-05,23,27,56,,,
1.89E-05,33,43,55,,,
1.94E-05,29,53,56,,,
1.78E-05,19,8,58,,,
1.80E-05,29,14,56,,,
