cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.60E-06,22,0,1,,,2.23E-02
1.40E-06,17,4,5,,,14964
1.50E-06,43,5,6,,,
1.70E-06,10,9,10,,,
1.50E-06,39,11,12,,,
1.50E-06,12,11,12,,,
2.20E-06,19,12,13,,,
1.50E-06,32,9,10,,,
1.30E-06,2,10,11,,,
3.50E-06,3,14,15,,,
1.50E-06,15,13,14,,,
1.30E-06,11,16,17,,,
1.40E-06,6,17,18,,,
1.60E-06,20,18,19,,,
1.30E-06,19,19,20,,,
2.10E-06,15,20,21,,,
2.40E-06,7,21,22,,,
1.50E-06,16,21,22,,,
3.10E-06,6,22,23,,,
1.40E-06,41,23,24,,,
1.40E-06,15,22,23,,,
1.30E-06,16,23,24,,,
1.50E-06,36,23,24,,,
1.40E-06,17,23,24,,,
1.30E-06,41,26,27,,,
1.30E-06,6,27,28,,,
2.20E-06,6,27,28,,,
1.30E-06,10,29,30,,,
1.30E-06,16,29,30,,,
1.30E-06,40,30,31,,,
1.20E-06,2,29,30,,,
1.20E-06,19,30,31,,,
1.10E-06,9,31,32,,,
1.30E-06,34,29,30,,,
1.20E-06,1,30,31,,,
1.30E-06,19,25,26,,,
1.30E-06,4,27,28,,,
1.20E-06,27,26,27,,,
1.20E-06,37,26,27,,,
1.60E-06,36,26,27,,,
1.40E-06,25,26,27,,,
1.30E-06,39,26,27,,,
1.10E-06,34,28,29,,,
1.30E-06,1,29,30,,,
1.50E-06,19,29,30,,,
2.40E-06,20,28,29,,,
1.60E-06,45,26,27,,,
1.40E-06,7,27,28,,,
1.70E-06,31,29,30,,,
1.30E-06,38,31,32,,,
1.20E-06,20,33,34,,,
1.20E-06,22,34,35,,,
1.10E-06,38,35,36,,,
2.80E-06,23,36,37,,,
1.70E-06,20,34,35,,,
1.30E-06,9,35,36,,,
1.30E-06,36,36,37,,,
1.40E-06,17,27,28,,,
1.30E-06,34,24,25,,,
1.20E-06,37,25,26,,,
1.30E-06,8,21,22,,,
1.20E-06,20,15,16,,,
1.10E-06,12,14,15,,,
1.10E-06,16,15,16,,,
1.40E-06,21,16,17,,,
1.10E-06,33,19,20,,,
1.50E-06,19,20,21,,,
1.40E-06,19,21,22,,,
1.40E-06,28,21,22,,,
1.40E-06,11,23,24,,,
1.20E-06,28,23,24,,,
1.10E-06,9,25,26,,,
1.30E-06,14,18,19,,,
1.30E-06,42,15,16,,,
1.10E-06,34,15,16,,,
1.20E-06,35,17,18,,,
1.30E-06,40,17,18,,,
1.20E-06,44,19,20,,,
1.20E-06,42,20,21,,,
1.20E-06,9,21,22,,,
1.20E-06,37,20,21,,,
1.30E-06,32,20,21,,,
1.30E-06,23,16,17,,,
1.20E-06,34,17,18,,,
1.40E-06,17,19,20,,,
1.20E-06,40,20,21,,,
1.20E-06,8,21,22,,,
1.20E-06,21,21,22,,,
1.20E-06,40,20,21,,,
1.40E-06,8,18,19,,,
2.00E-06,34,19,20,,,
1.20E-06,43,17,18,,,
1.20E-06,19,18,19,,,
1.30E-06,38,22,23,,,
1.20E-06,42,23,24,,,
1.20E-06,39,23,24,,,
1.20E-06,12,22,23,,,
1.60E-06,24,17,18,,,
1.40E-06,6,18,19,,,
1.60E-06,8,19,20,,,
1.20E-06,10,20,21,,,
2.10E-06,11,21,22,,,
1.30E-06,37,21,22,,,
1.20E-06,27,22,23,,,
1.30E-06,3,23,24,,,
1.90E-06,22,24,25,,,
1.30E-06,5,24,25,,,
1.20E-06,14,24,25,,,
1.20E-06,5,25,26,,,
1.20E-06,2,24,25,,,
1.20E-06,15,24,25,,,
1.30E-06,4,23,24,,,
1.20E-06,45,23,24,,,
1.40E-06,29,24,25,,,
1.40E-06,38,24,25,,,
1.20E-06,4,21,22,,,
1.10E-06,5,22,23,,,
1.10E-06,1,24,25,,,
1.20E-06,45,25,26,,,
1.40E-06,24,24,25,,,
1.10E-06,33,21,22,,,
1.20E-06,3,23,24,,,
1.20E-06,19,24,25,,,
1.10E-06,4,21,22,,,
1.40E-06,8,12,13,,,
2.80E-06,8,14,15,,,
1.30E-06,27,14,15,,,
1.90E-06,26,15,16,,,
1.40E-06,15,16,17,,,
1.60E-06,8,18,19,,,
1.50E-06,22,17,18,,,
1.20E-06,32,17,18,,,
1.50E-06,34,15,16,,,
1.30E-06,41,16,17,,,
1.20E-06,33,17,18,,,
1.20E-06,40,20,21,,,
1.20E-06,24,22,23,,,
1.50E-06,7,20,21,,,
1.70E-06,33,15,16,,,
1.20E-06,8,15,16,,,
1.20E-06,20,16,17,,,
1.30E-06,9,17,18,,,
1.20E-06,24,20,21,,,
1.20E-06,23,20,21,,,
1.40E-06,29,17,18,,,
1.40E-06,10,16,17,,,
1.10E-06,37,15,16,,,
1.20E-06,24,11,12,,,
1.30E-06,18,9,10,,,
1.30E-06,6,8,9,,,
1.80E-06,25,8,9,,,
1.40E-06,37,3,4,,,
1.20E-06,8,5,6,,,
