cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.99E-05,8,0,1,,1.73E-01
1.10E-05,16,0,3,,14942
1.10E-05,25,0,2,,
1.12E-05,36,0,3,,
1.09E-05,16,0,4,,
1.08E-05,31,0,4,,
1.10E-05,27,0,5,,
1.10E-05,33,0,7,,
1.12E-05,21,0,8,,
1.10E-05,25,0,13,,
1.11E-05,45,0,16,,
1.08E-05,13,0,19,,
1.10E-05,45,0,22,,
1.12E-05,6,0,25,,
1.10E-05,40,0,23,,
1.10E-05,25,0,25,,
1.08E-05,39,0,26,,
1.10E-05,15,0,28,,
1.07E-05,30,0,26,,
1.06E-05,22,0,27,,
1.01E-05,13,0,28,,
1.04E-05,28,0,28,,
1.08E-05,30,0,28,,
1.04E-05,1,0,29,,
1.01E-05,30,0,30,,
9.90E-06,31,0,31,,
1.00E-05,30,0,31,,
1.01E-05,27,0,29,,
1.00E-05,3,0,31,,
1.10E-05,11,0,29,,
1.07E-05,18,0,30,,
1.04E-05,26,0,27,,
1.00E-05,36,0,28,,
1.00E-05,17,0,27,,
1.00E-05,25,0,28,,
1.43E-05,24,0,28,,
1.01E-05,11,0,28,,
1.08E-05,4,0,28,,
9.90E-06,6,0,28,,
1.27E-05,30,0,29,,
2.16E-05,8,0,30,,
1.05E-05,17,0,27,,
1.01E-05,17,0,29,,
1.06E-05,13,0,29,,
1.02E-05,1,0,33,,
1.00E-05,15,0,33,,
1.00E-05,9,0,34,,
1.54E-05,25,0,36,,
1.11E-05,6,0,36,,
1.35E-05,39,0,37,,
1.49E-05,4,0,37,,
1.03E-05,25,0,36,,
1.03E-05,17,0,37,,
1.01E-05,30,0,37,,
1.01E-05,22,0,38,,
9.80E-06,35,0,37,,
1.01E-05,10,0,38,,
1.01E-05,43,0,36,,
1.02E-05,9,0,37,,
1.01E-05,18,0,27,,
1.01E-05,45,0,28,,
1.00E-05,32,0,22,,
9.80E-06,38,0,23,,
1.00E-05,4,0,24,,
1.00E-05,44,0,24,,
1.07E-05,37,0,22,,
1.02E-05,43,0,18,,
1.00E-05,23,0,15,,
1.50E-05,12,0,15,,
1.01E-05,43,0,17,,
1.02E-05,1,0,18,,
9.90E-06,15,0,18,,
1.00E-05,4,0,19,,
9.90E-06,26,0,19,,
1.00E-05,41,0,20,,
1.26E-05,25,0,23,,
1.01E-05,15,0,25,,
1.01E-05,7,0,25,,
9.90E-06,2,0,28,,
1.03E-05,2,0,23,,
1.00E-05,8,0,19,,
1.01E-05,20,0,15,,
1.07E-05,35,0,17,,
9.90E-06,22,0,17,,
1.01E-05,6,0,18,,
1.00E-05,13,0,20,,
1.02E-05,11,0,22,,
1.00E-05,13,0,22,,
1.00E-05,20,0,20,,
1.82E-05,38,0,19,,
1.00E-05,36,0,18,,
1.41E-05,11,0,19,,
1.02E-05,17,0,22,,
9.90E-06,20,0,21,,
1.15E-05,14,0,22,,
1.00E-05,40,0,19,,
1.12E-05,14,0,18,,
1.03E-05,6,0,19,,
1.01E-05,42,0,25,,
1.04E-05,2,0,24,,
1.00E-05,26,0,24,,
1.00E-05,26,0,23,,
9.90E-06,5,0,20,,
1.01E-05,31,0,20,,
1.00E-05,44,0,26,,
1.04E-05,45,0,27,,
1.12E-05,34,0,23,,
1.15E-05,37,0,24,,
1.03E-05,21,0,23,,
1.01E-05,7,0,24,,
1.01E-05,2,0,27,,
1.09E-05,7,0,26,,
1.10E-05,28,0,25,,
1.00E-05,2,0,27,,
1.69E-05,16,0,15,,
1.04E-05,25,0,15,,
1.00E-05,15,0,12,,
1.01E-05,17,0,14,,
1.31E-05,43,0,18,,
2.14E-05,4,0,18,,
1.20E-05,3,0,18,,
1.00E-05,8,0,18,,
1.02E-05,11,0,19,,
1.02E-05,12,0,20,,
1.04E-05,22,0,21,,
1.04E-05,31,0,22,,
1.00E-05,18,0,23,,
1.01E-05,29,0,24,,
1.03E-05,38,0,18,,
1.00E-05,27,0,19,,
1.01E-05,22,0,20,,
1.01E-05,19,0,21,,
1.01E-05,20,0,22,,
1.03E-05,41,0,20,,
1.03E-05,40,0,23,,
1.02E-05,26,0,21,,
9.90E-06,14,0,19,,
9.90E-06,27,0,20,,
1.50E-05,23,0,19,,
1.00E-05,26,0,18,,
1.01E-05,41,0,17,,
1.00E-05,12,0,15,,
1.01E-05,41,0,11,,
1.09E-05,36,0,9,,
9.90E-06,1,0,6,,
1.02E-05,4,0,3,,
1.00E-05,43,0,3,,
1.00E-05,35,0,4,,
1.01E-05,8,0,5,,
9.90E-06,39,0,6,,
1.04E-05,32,0,4,,
1.05E-05,45,0,1,,
1.00E-05,25,0,4,,
1.00E-05,16,0,4,,
1.42E-05,44,0,5,,
1.02E-05,31,0,2,,
1.57E-05,30,0,3,,
9.90E-06,20,0,1,,
1.00E-05,9,0,2,,
1.03E-05,27,0,5,,
1.03E-05,27,0,6,,
1.01E-05,21,0,8,,
1.01E-05,14,0,9,,
1.00E-05,16,0,9,,
9.90E-06,34,0,9,,
1.04E-05,36,0,7,,
1.00E-05,32,0,7,,
1.01E-05,5,0,8,,
1.00E-05,34,0,9,,
1.73E-05,36,0,6,,
1.71E-05,16,0,12,,
1.01E-05,20,0,12,,
1.02E-05,36,0,11,,
1.01E-05,4,0,14,,
1.73E-05,5,0,15,,
1.11E-05,1,0,16,,
1.56E-05,40,0,17,,
1.00E-05,9,0,15,,
1.00E-05,43,0,17,,
1.01E-05,28,0,18,,
1.00E-05,28,0,15,,
9.90E-06,30,0,15,,
1.01E-05,13,0,16,,
1.13E-05,31,0,15,,
1.03E-05,29,0,15,,
1.02E-05,39,0,15,,
1.01E-05,31,0,15,,
1.00E-05,18,0,16,,
1.00E-05,26,0,16,,
1.03E-05,44,0,13,,
9.90E-06,34,0,15,,
1.00E-05,26,0,16,,
1.00E-05,3,0,15,,
1.02E-05,8,0,17,,
1.00E-05,41,0,17,,
1.03E-05,39,0,17,,
1.13E-05,1,0,15,,
1.06E-05,16,0,17,,
1.12E-05,18,0,17,,
1.10E-05,29,0,18,,
1.06E-05,7,0,18,,
1.02E-05,38,0,21,,
1.02E-05,14,0,23,,
7.97E-05,1,0,25,,
1.10E-05,10,0,27,,
1.09E-05,7,0,28,,
1.08E-05,18,0,29,,
1.30E-05,19,0,31,,
1.13E-05,25,0,30,,
1.10E-05,31,0,29,,
1.10E-05,7,0,33,,
1.11E-05,4,0,34,,
1.08E-05,22,0,35,,
1.10E-05,5,0,40,,
1.06E-05,30,0,40,,
1.03E-05,28,0,38,,
1.00E-05,36,0,40,,
1.00E-05,26,0,40,,
1.04E-05,28,0,42,,
1.47E-05,1,0,43,,
1.00E-05,20,0,45,,
1.00E-05,24,0,46,,
1.00E-05,41,0,46,,
1.14E-05,33,0,46,,
1.21E-05,8,0,49,,
1.04E-05,26,0,46,,
9.90E-06,17,0,46,,
1.02E-05,20,0,45,,
9.90E-06,26,0,44,,
1.00E-05,14,0,44,,
1.02E-05,27,0,46,,
1.00E-05,7,0,46,,
1.02E-05,21,0,43,,
1.01E-05,17,0,42,,
1.00E-05,23,0,43,,
1.00E-05,3,0,42,,
1.00E-05,18,0,43,,
1.00E-05,18,0,44,,
1.00E-05,16,0,45,,
1.00E-05,7,0,45,,
1.01E-05,17,0,40,,
1.02E-05,42,0,42,,
9.80E-06,3,0,43,,
9.90E-06,37,0,39,,
1.00E-05,33,0,40,,
1.01E-05,26,0,44,,
1.00E-05,18,0,45,,
