cas operacie,index prvku,dlzka zoznamu,,,
1.33E-05,0,0,,,
1.88E-05,3,4,,,3.32E-01
1.90E-05,8,10,,,15049
1.89E-05,5,9,,,
1.93E-05,15,19,,,
2.36E-05,14,21,,,
2.00E-05,14,20,,,
1.91E-05,16,21,,,
1.94E-05,12,24,,,
2.74E-05,15,26,,,
1.96E-05,24,27,,,
1.94E-05,25,26,,,
2.80E-05,4,25,,,
1.85E-05,19,27,,,
1.76E-05,2,27,,,
1.91E-05,6,27,,,
1.86E-05,19,29,,,
2.15E-05,5,31,,,
1.81E-05,14,30,,,
2.27E-05,20,31,,,
1.97E-05,25,28,,,
1.81E-05,11,29,,,
1.85E-05,21,28,,,
1.81E-05,10,26,,,
1.82E-05,11,25,,,
1.83E-05,21,27,,,
1.80E-05,13,26,,,
2.90E-05,6,26,,,
2.41E-05,25,26,,,
2.60E-05,24,27,,,
1.82E-05,17,28,,,
2.16E-05,22,29,,,
3.07E-05,3,28,,,
2.14E-05,26,27,,,
2.44E-05,19,26,,,
1.80E-05,3,26,,,
1.83E-05,18,27,,,
1.93E-05,29,32,,,
2.81E-05,2,35,,,
2.12E-05,30,35,,,
1.94E-05,11,37,,,
1.95E-05,25,36,,,
2.34E-05,19,35,,,
1.86E-05,21,36,,,
1.90E-05,27,37,,,
2.27E-05,14,35,,,
1.87E-05,22,36,,,
2.11E-05,26,31,,,
1.80E-05,7,27,,,
1.77E-05,2,28,,,
1.86E-05,16,27,,,
1.81E-05,3,26,,,
1.76E-05,2,22,,,
1.82E-05,13,22,,,
1.80E-05,9,25,,,
1.81E-05,12,23,,,
1.94E-05,1,22,,,
2.34E-05,10,21,,,
1.89E-05,12,21,,,
1.79E-05,3,20,,,
1.80E-05,11,19,,,
1.85E-05,15,17,,,
1.83E-05,14,16,,,
1.80E-05,2,15,,,
1.77E-05,2,18,,,
1.81E-05,10,27,,,
1.43E-05,0,25,,,
1.86E-05,11,23,,,
1.80E-05,1,20,,,
1.79E-05,8,18,,,
1.78E-05,8,16,,,
2.30E-05,1,18,,,
2.03E-05,12,17,,,
1.97E-05,8,15,,,
1.82E-05,3,14,,,
1.78E-05,9,16,,,
