cas operacie,index prvku,dlzka zoznamu,,
1.91E-05,3,3,,3.71E-01
1.88E-05,3,3,,15045
2.31E-05,9,9,,
2.05E-05,12,12,,
2.00E-05,14,14,,
3.26E-05,12,12,,
1.89E-05,13,13,,
2.37E-05,23,23,,
1.96E-05,22,22,,
1.96E-05,27,27,,
3.45E-05,27,27,,
2.09E-05,26,26,,
1.91E-05,30,30,,
1.88E-05,30,30,,
1.86E-05,29,29,,
1.91E-05,32,32,,
2.49E-05,28,28,,
1.92E-05,30,30,,
1.88E-05,27,27,,
1.87E-05,27,27,,
2.05E-05,27,27,,
1.88E-05,28,28,,
1.85E-05,26,26,,
1.86E-05,25,25,,
1.88E-05,26,26,,
1.83E-05,25,25,,
1.90E-05,29,29,,
2.25E-05,29,29,,
1.95E-05,28,28,,
2.60E-05,27,27,,
1.86E-05,27,27,,
1.88E-05,33,33,,
3.07E-05,36,36,,
1.94E-05,34,34,,
1.92E-05,36,36,,
1.92E-05,37,37,,
1.86E-05,36,36,,
1.90E-05,36,36,,
1.90E-05,34,34,,
1.94E-05,35,35,,
2.02E-05,33,33,,
2.01E-05,32,32,,
2.28E-05,29,29,,
1.91E-05,28,28,,
1.86E-05,27,27,,
1.84E-05,25,25,,
2.50E-05,24,24,,
1.89E-05,23,23,,
1.83E-05,21,21,,
2.01E-05,23,23,,
1.85E-05,18,18,,
1.89E-05,15,15,,
2.41E-05,21,21,,
1.97E-05,23,23,,
1.93E-05,24,24,,
1.85E-05,22,22,,
1.83E-05,21,21,,
1.84E-05,19,19,,
2.06E-05,16,16,,
1.81E-05,17,17,,
1.84E-05,20,20,,
2.10E-05,20,20,,
1.83E-05,16,16,,
1.83E-05,17,17,,
1.84E-05,21,21,,
1.87E-05,21,21,,
1.81E-05,20,20,,
1.83E-05,20,20,,
1.83E-05,19,19,,
1.88E-05,18,18,,
1.96E-05,17,17,,
2.05E-05,19,19,,
1.84E-05,22,22,,
1.84E-05,20,20,,
1.87E-05,24,24,,
1.84E-05,25,25,,
1.83E-05,24,24,,
2.00E-05,24,24,,
7.84E-05,23,23,,
1.86E-05,24,24,,
1.86E-05,23,23,,
1.82E-05,22,22,,
1.83E-05,22,22,,
1.85E-05,22,22,,
1.85E-05,23,23,,
2.02E-05,25,25,,
2.33E-05,24,24,,
1.85E-05,25,25,,
1.86E-05,24,24,,
1.85E-05,23,23,,
1.82E-05,22,22,,
1.85E-05,23,23,,
1.83E-05,22,22,,
1.82E-05,20,20,,
1.81E-05,16,16,,
1.83E-05,15,15,,
1.80E-05,12,12,,
3.16E-05,17,17,,
2.49E-05,17,17,,
