cas operacie,index prvku,dlzka zoznamu,,,
1.15E-05,0,2,,,1.76E-01
1.13E-05,0,1,,,14909
1.16E-05,0,6,,,
1.31E-05,0,11,,,
1.14E-05,0,11,,,
1.13E-05,0,10,,,
2.14E-05,0,13,,,
1.12E-05,0,13,,,
1.13E-05,0,11,,,
1.09E-05,0,18,,,
1.14E-05,0,23,,,
1.11E-05,0,23,,,
1.14E-05,0,22,,,
1.43E-05,0,27,,,
1.02E-05,0,29,,,
1.04E-05,0,30,,,
1.02E-05,0,30,,,
1.01E-05,0,28,,,
1.01E-05,0,31,,,
1.04E-05,0,30,,,
1.40E-05,0,30,,,
1.34E-05,0,29,,,
1.02E-05,0,30,,,
1.01E-05,0,29,,,
1.04E-05,0,27,,,
1.06E-05,0,27,,,
1.02E-05,0,27,,,
1.04E-05,0,26,,,
1.00E-05,0,26,,,
1.01E-05,0,27,,,
1.50E-05,0,27,,,
1.40E-05,0,29,,,
1.24E-05,0,26,,,
1.04E-05,0,28,,,
1.95E-05,0,36,,,
1.05E-05,0,36,,,
1.09E-05,0,37,,,
1.02E-05,0,35,,,
1.13E-05,0,34,,,
1.62E-05,0,30,,,
1.05E-05,0,27,,,
1.04E-05,0,26,,,
1.02E-05,0,26,,,
1.02E-05,0,23,,,
1.02E-05,0,24,,,
1.28E-05,0,21,,,
1.03E-05,0,17,,,
1.01E-05,0,15,,,
1.03E-05,0,14,,,
3.54E-05,0,14,,,
1.02E-05,0,14,,,
1.01E-05,0,16,,,
1.00E-05,0,17,,,
1.00E-05,0,19,,,
1.02E-05,0,24,,,
1.08E-05,0,26,,,
1.02E-05,0,23,,,
1.02E-05,0,22,,,
1.03E-05,0,19,,,
1.02E-05,0,17,,,
1.01E-05,0,18,,,
1.02E-05,0,18,,,
1.50E-05,0,16,,,
1.02E-05,0,15,,,
1.01E-05,0,19,,,
1.02E-05,0,19,,,
1.00E-05,0,19,,,
1.12E-05,0,19,,,
1.10E-05,0,18,,,
1.03E-05,0,17,,,
1.03E-05,0,21,,,
1.00E-05,0,20,,,
1.01E-05,0,21,,,
1.02E-05,0,21,,,
1.00E-05,0,20,,,
1.03E-05,0,19,,,
1.01E-05,0,18,,,
1.02E-05,0,18,,,
1.03E-05,0,17,,,
1.01E-05,0,23,,,
1.01E-05,0,23,,,
1.01E-05,0,23,,,
1.00E-05,0,22,,,
1.01E-05,0,21,,,
1.01E-05,0,19,,,
1.00E-05,0,19,,,
1.01E-05,0,17,,,
1.05E-05,0,25,,,
1.02E-05,0,24,,,
1.00E-05,0,24,,,
1.02E-05,0,23,,,
