cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
7.00E-07,2,2,4,,3.47E-02
4.00E-07,0,0,4,,10000
4.00E-07,0,0,3,,
9.00E-07,8,8,10,,
6.00E-07,4,4,10,,
6.00E-07,3,3,8,,
6.00E-07,3,3,9,,
5.00E-07,3,3,9,,
4.00E-07,0,0,10,,
7.00E-07,3,3,8,,
6.00E-07,3,3,6,,
5.00E-07,3,3,7,,
6.00E-07,1,1,7,,
6.00E-07,3,3,7,,
5.00E-07,0,0,3,,
4.00E-07,0,0,3,,
5.00E-07,0,0,4,,
5.00E-07,0,0,4,,
9.00E-07,5,5,9,,
3.00E-07,0,0,9,,
6.00E-07,1,1,9,,
1.20E-06,5,5,8,,
7.00E-07,2,2,8,,
1.50E-06,7,7,8,,
1.00E-06,5,5,7,,
1.10E-06,5,5,7,,
6.00E-07,1,1,7,,
6.00E-07,1,1,3,,
4.00E-07,0,0,3,,
9.00E-07,3,3,7,,
5.00E-07,0,0,3,,
6.00E-07,0,0,2,,
4.00E-07,0,0,3,,
7.00E-07,2,2,3,,
7.00E-07,0,0,1,,
6.00E-07,1,1,3,,
4.00E-07,0,0,4,,
4.00E-07,0,0,3,,
4.00E-07,0,0,2,,
4.00E-07,0,0,3,,
4.00E-07,0,0,3,,
4.00E-07,0,0,2,,
4.00E-07,0,0,1,,
4.00E-07,0,0,1,,
6.00E-07,2,2,4,,
1.20E-06,5,5,6,,
8.00E-07,1,1,6,,
9.00E-07,4,4,7,,
6.00E-07,2,2,6,,
6.00E-07,2,2,6,,
5.00E-07,3,3,4,,
4.00E-07,0,0,2,,
3.00E-07,0,0,2,,
4.00E-07,0,0,1,,
5.00E-07,1,1,2,,
4.00E-07,0,0,2,,
4.00E-07,0,0,1,,
3.00E-07,0,0,1,,
3.00E-07,0,0,3,,
3.00E-07,0,0,3,,
4.00E-07,0,0,1,,
4.00E-07,0,0,1,,
4.00E-07,0,0,1,,
4.00E-07,0,0,1,,
1.90E-06,1,1,2,,
4.00E-07,0,0,1,,
4.00E-07,0,0,1,,
3.00E-07,0,0,2,,
5.00E-07,0,0,2,,
6.00E-07,1,1,3,,
4.00E-07,0,0,1,,
4.00E-07,0,0,1,,
4.00E-07,1,1,3,,
3.00E-07,0,0,1,,
4.00E-07,1,1,2,,
4.00E-07,1,1,2,,
6.00E-07,4,4,5,,
5.00E-07,2,2,5,,
7.00E-07,4,4,5,,
5.00E-07,1,1,3,,
4.00E-07,1,1,3,,
3.00E-07,0,0,2,,
3.00E-07,0,0,1,,
4.00E-07,0,0,2,,
5.00E-07,1,1,2,,
3.00E-07,0,0,4,,
5.00E-07,2,2,4,,
5.00E-07,2,2,3,,
5.00E-07,1,1,6,,
6.00E-07,4,4,9,,
4.00E-07,2,2,8,,
7.00E-07,5,5,9,,
7.00E-07,6,6,11,,
8.00E-07,4,4,13,,
1.20E-06,12,12,14,,
3.00E-07,0,0,15,,
4.00E-07,1,1,13,,
6.00E-07,4,4,13,,
3.00E-07,0,0,15,,
4.00E-07,1,1,16,,
1.50E-06,13,13,16,,
1.10E-06,10,10,17,,
1.10E-06,10,10,18,,
1.30E-06,14,14,20,,
1.70E-06,14,14,22,,
1.10E-06,13,13,22,,
9.00E-07,6,6,22,,
7.00E-07,6,6,22,,
7.00E-07,6,6,21,,
1.40E-06,12,12,25,,
1.90E-06,20,20,25,,
2.30E-06,15,15,27,,
1.30E-06,13,13,28,,
6.00E-07,2,2,28,,
2.10E-06,26,26,28,,
1.00E-06,11,11,29,,
1.30E-06,14,14,25,,
1.10E-06,12,12,26,,
2.70E-06,22,22,26,,
7.00E-07,4,4,33,,
6.00E-07,3,3,34,,
1.50E-06,15,15,36,,
1.70E-06,21,21,35,,
1.80E-06,23,23,38,,
7.00E-07,3,3,40,,
3.00E-07,0,0,40,,
1.50E-06,17,17,41,,
8.00E-07,4,4,43,,
2.50E-06,31,31,45,,
2.40E-06,32,32,45,,
1.80E-06,22,22,45,,
1.20E-06,14,14,46,,
1.00E-06,8,8,44,,
1.70E-06,20,20,46,,
1.90E-06,23,23,46,,
1.70E-06,18,18,48,,
3.20E-06,40,40,47,,
4.00E-07,0,0,48,,
5.00E-07,1,1,50,,
7.00E-07,4,4,54,,
8.00E-07,6,6,53,,
2.80E-06,35,35,54,,
3.10E-06,45,45,53,,
9.00E-07,7,7,55,,
4.00E-07,0,0,51,,
2.00E-06,23,23,51,,
3.80E-06,41,41,51,,
7.00E-07,3,3,45,,
1.70E-06,17,17,44,,
5.00E-07,1,1,44,,
3.20E-06,29,29,45,,
5.00E-07,3,3,45,,
6.00E-07,2,2,46,,
9.00E-07,7,7,47,,
1.70E-06,20,20,48,,
2.70E-06,36,36,47,,
1.60E-06,18,18,44,,
2.20E-06,29,29,43,,
4.00E-06,33,33,46,,
4.70E-06,39,39,44,,
