cas operacie,cislo,index prvku,dlzka zoznamu,,
1.75E-05,76,1,4,,5.53E-01
1.97E-05,73,0,5,,25162
1.81E-05,80,0,5,,
1.81E-05,61,0,5,,
1.80E-05,45,0,5,,
1.72E-05,47,1,3,,
1.72E-05,80,1,3,,
1.71E-05,86,0,4,,
1.73E-05,73,3,5,,
1.73E-05,55,5,10,,
1.72E-05,56,2,10,,
1.74E-05,50,3,10,,
1.72E-05,52,0,10,,
1.73E-05,89,2,7,,
1.73E-05,57,3,8,,
1.73E-05,85,4,8,,
1.72E-05,58,4,9,,
1.93E-05,72,6,8,,
3.02E-05,59,6,8,,
0.0003558,75,0,7,,
1.79E-05,49,4,6,,
1.74E-05,72,2,6,,
1.71E-05,64,0,6,,
1.71E-05,82,2,6,,
1.74E-05,79,2,6,,
1.75E-05,53,3,7,,
2.86E-05,89,0,7,,
1.75E-05,59,3,7,,
1.71E-05,62,4,6,,
1.71E-05,86,0,6,,
1.83E-05,72,4,7,,
1.82E-05,59,4,7,,
1.82E-05,74,0,7,,
1.84E-05,58,2,7,,
1.93E-05,77,0,7,,
1.96E-05,74,0,6,,
1.82E-05,67,0,6,,
1.83E-05,64,0,6,,
1.86E-05,56,0,5,,
1.87E-05,67,0,4,,
2.40E-05,90,1,3,,
2.44E-05,70,1,3,,
2.50E-05,80,2,4,,
2.64E-05,49,2,4,,
2.40E-05,79,1,3,,
2.35E-05,76,0,3,,
2.75E-05,76,2,4,,
1.87E-05,43,1,4,,
1.83E-05,89,3,6,,
1.84E-05,82,1,6,,
1.80E-05,68,2,6,,
1.82E-05,69,0,9,,
1.88E-05,84,2,9,,
2.53E-05,61,5,9,,
2.54E-05,51,0,8,,
2.42E-05,68,1,8,,
2.48E-05,58,4,9,,
2.59E-05,50,0,8,,
2.51E-05,68,1,8,,
2.59E-05,84,0,8,,
2.51E-05,52,1,8,,
2.83E-05,56,1,8,,
2.50E-05,54,1,8,,
2.30E-05,73,3,6,,
2.34E-05,45,0,7,,
3.22E-05,68,2,7,,
3.47E-05,57,2,8,,
2.29E-05,57,3,6,,
2.23E-05,62,0,3,,
2.28E-05,70,1,3,,
2.25E-05,49,4,7,,
2.25E-05,80,2,7,,
2.19E-05,58,3,6,,
2.24E-05,51,0,5,,
2.53E-05,71,2,5,,
2.28E-05,87,1,5,,
2.23E-05,68,0,3,,
2.84E-05,50,0,2,,
2.71E-05,85,0,2,,
2.53E-05,79,0,2,,
2.69E-05,77,0,2,,
2.60E-05,71,0,2,,
2.59E-05,82,0,2,,
2.78E-05,70,0,2,,
2.46E-05,43,0,3,,
2.38E-05,45,1,6,,
2.22E-05,49,2,7,,
2.72E-05,82,5,7,,
2.27E-05,61,3,7,,
2.70E-05,64,2,6,,
2.60E-05,90,2,7,,
3.40E-05,65,3,7,,
2.45E-05,48,3,6,,
2.28E-05,60,1,5,,
2.44E-05,69,0,5,,
2.43E-05,74,0,4,,
2.24E-05,86,0,2,,
2.21E-05,50,0,1,,
2.29E-05,61,0,1,,
2.30E-05,44,0,1,,
2.32E-05,41,1,3,,
2.07E-05,79,0,3,,
1.84E-05,69,1,4,,
1.80E-05,77,1,3,,
1.81E-05,45,1,3,,
1.84E-05,45,0,3,,
1.81E-05,65,0,4,,
1.83E-05,81,1,3,,
2.01E-05,43,0,1,,
1.92E-05,42,2,4,,
1.83E-05,79,0,4,,
2.37E-05,82,0,4,,
1.85E-05,65,1,3,,
1.80E-05,41,0,3,,
1.81E-05,54,0,3,,
1.81E-05,68,1,3,,
1.85E-05,64,1,3,,
1.80E-05,52,0,1,,
1.83E-05,54,0,1,,
2.17E-05,51,0,1,,
1.83E-05,64,0,2,,
1.82E-05,53,0,2,,
1.86E-05,83,0,3,,
2.68E-05,90,3,5,,
2.58E-05,74,0,5,,
8.94E-05,68,0,5,,
1.83E-05,88,1,5,,
3.03E-05,66,3,5,,
2.85E-05,54,0,7,,
2.78E-05,42,1,7,,
2.10E-05,68,3,7,,
1.88E-05,60,5,10,,
1.79E-05,87,1,10,,
2.13E-05,84,2,11,,
1.79E-05,78,4,10,,
1.74E-05,71,1,10,,
1.74E-05,72,4,9,,
1.74E-05,87,3,9,,
1.87E-05,42,5,8,,
1.95E-05,50,1,9,,
1.75E-05,46,7,9,,
1.74E-05,81,6,9,,
1.71E-05,70,4,6,,
1.73E-05,48,2,6,,
1.73E-05,81,0,3,,
1.71E-05,45,0,2,,
1.76E-05,50,0,2,,
1.72E-05,56,0,2,,
1.72E-05,82,0,2,,
1.72E-05,67,0,2,,
1.75E-05,56,0,1,,
1.73E-05,41,0,2,,
1.72E-05,42,0,2,,
2.13E-05,68,0,1,,
1.90E-05,68,0,1,,
0.0001135,66,0,1,,
2.13E-05,72,0,1,,
1.71E-05,41,0,3,,
1.72E-05,49,0,3,,
1.72E-05,90,0,3,,
1.72E-05,55,1,3,,
1.71E-05,68,0,2,,
2.73E-05,54,0,1,,
1.99E-05,87,0,2,,
1.78E-05,42,0,1,,
1.86E-05,74,1,3,,
1.94E-05,48,1,3,,
1.82E-05,49,0,2,,
1.72E-05,66,0,1,,
1.72E-05,60,0,3,,
1.76E-05,60,0,1,,
1.73E-05,49,0,1,,
2.51E-05,55,0,1,,
1.72E-05,57,0,1,,
1.71E-05,43,0,1,,
1.72E-05,72,0,1,,
1.74E-05,71,0,1,,
2.73E-05,67,0,1,,
2.47E-05,88,0,1,,
1.74E-05,65,0,1,,
2.07E-05,90,0,1,,
1.72E-05,88,0,1,,
1.72E-05,81,0,1,,
1.77E-05,80,0,1,,
1.71E-05,53,0,1,,
1.74E-05,42,0,1,,
1.73E-05,61,0,2,,
2.90E-05,78,0,2,,
1.72E-05,88,0,1,,
1.88E-05,43,0,1,,
2.45E-05,62,0,2,,
1.73E-05,74,0,1,,
1.73E-05,65,0,1,,
1.73E-05,74,0,2,,
1.71E-05,45,0,3,,
1.73E-05,72,1,3,,
1.72E-05,42,0,5,,
1.70E-05,43,0,5,,
1.71E-05,69,0,5,,
1.72E-05,73,1,4,,
1.73E-05,90,1,4,,
1.74E-05,78,0,4,,
1.74E-05,68,0,6,,
1.72E-05,66,1,5,,
1.86E-05,47,1,4,,
2.28E-05,89,2,5,,
1.79E-05,66,1,3,,
1.72E-05,47,0,3,,
1.74E-05,86,0,3,,
1.71E-05,43,3,5,,
1.72E-05,43,1,5,,
1.73E-05,53,0,3,,
1.71E-05,66,0,2,,
1.71E-05,87,0,1,,
1.71E-05,72,0,3,,
1.71E-05,46,0,4,,
1.70E-05,53,0,4,,
1.71E-05,77,1,4,,
1.72E-05,49,0,4,,
1.72E-05,44,0,4,,
1.93E-05,58,0,1,,
1.73E-05,50,0,1,,
1.73E-05,62,0,2,,
1.73E-05,50,0,2,,
2.28E-05,75,0,2,,
1.72E-05,53,0,2,,
1.70E-05,76,0,2,,
1.73E-05,82,0,3,,
1.73E-05,57,0,1,,
1.72E-05,85,0,1,,
1.74E-05,89,0,1,,
1.73E-05,49,0,2,,
1.71E-05,80,0,2,,
1.70E-05,75,1,3,,
1.75E-05,83,0,3,,
1.72E-05,81,0,3,,
2.38E-05,52,0,4,,
1.71E-05,56,1,7,,
1.73E-05,79,4,7,,
1.71E-05,87,0,9,,
1.72E-05,46,4,7,,
1.74E-05,81,6,9,,
1.73E-05,46,6,9,,
1.73E-05,57,5,9,,
1.72E-05,53,4,9,,
1.72E-05,42,8,12,,
1.74E-05,59,6,13,,
1.71E-05,77,0,13,,
2.65E-05,46,3,13,,
1.75E-05,72,6,13,,
1.76E-05,70,11,14,,
1.74E-05,81,7,14,,
1.76E-05,52,9,15,,
1.75E-05,89,7,15,,
1.73E-05,73,12,14,,
1.74E-05,58,10,14,,
1.75E-05,56,6,16,,
1.71E-05,62,1,15,,
1.73E-05,90,10,15,,
1.76E-05,49,7,15,,
1.73E-05,44,9,15,,
2.20E-05,71,2,16,,
2.44E-05,85,11,16,,
1.87E-05,46,2,16,,
1.83E-05,80,6,17,,
1.79E-05,54,6,18,,
1.77E-05,84,7,18,,
1.75E-05,81,8,20,,
1.76E-05,49,10,20,,
1.74E-05,75,4,20,,
1.73E-05,81,1,20,,
1.74E-05,86,16,20,,
1.76E-05,54,11,21,,
2.16E-05,53,4,18,,
1.80E-05,72,3,18,,
1.88E-05,64,13,18,,
1.96E-05,81,11,18,,
1.74E-05,58,11,20,,
1.74E-05,89,3,19,,
1.73E-05,42,14,19,,
1.74E-05,76,13,20,,
1.77E-05,51,20,22,,
1.78E-05,82,13,22,,
1.72E-05,81,1,22,,
1.74E-05,54,1,22,,
1.74E-05,82,3,22,,
1.74E-05,61,20,22,,
1.77E-05,56,7,22,,
1.89E-05,75,2,22,,
1.79E-05,70,9,22,,
1.76E-05,79,3,22,,
1.77E-05,72,15,22,,
1.84E-05,82,18,22,,
1.70E-05,59,21,23,,
1.74E-05,69,15,23,,
1.74E-05,53,7,21,,
1.73E-05,56,18,22,,
1.73E-05,53,15,23,,
2.10E-05,57,17,24,,
1.79E-05,65,8,23,,
1.72E-05,62,2,23,,
1.98E-05,51,7,25,,
2.34E-05,83,22,25,,
2.02E-05,73,20,25,,
2.70E-05,76,20,27,,
2.98E-05,45,26,28,,
2.50E-05,88,13,28,,
1.91E-05,58,22,28,,
2.57E-05,85,13,28,,
1.77E-05,68,22,27,,
1.80E-05,87,7,28,,
1.78E-05,62,17,28,,
1.79E-05,44,13,28,,
1.76E-05,61,20,28,,
1.74E-05,89,20,29,,
1.78E-05,78,19,28,,
1.73E-05,44,5,27,,
1.72E-05,56,0,28,,
1.84E-05,65,21,28,,
1.76E-05,55,23,25,,
1.74E-05,61,10,27,,
1.73E-05,90,24,26,,
1.73E-05,66,8,28,,
1.76E-05,74,14,25,,
1.71E-05,89,0,25,,
3.55E-05,62,12,26,,
2.83E-05,55,20,25,,
2.18E-05,78,19,25,,
2.75E-05,85,24,26,,
1.78E-05,56,1,33,,
1.77E-05,61,13,34,,
1.79E-05,62,11,35,,
1.75E-05,54,11,35,,
1.74E-05,63,3,34,,
1.91E-05,68,4,35,,
1.90E-05,44,7,35,,
1.89E-05,46,24,35,,
1.86E-05,61,6,35,,
1.86E-05,50,23,35,,
2.00E-05,53,22,35,,
1.79E-05,78,8,35,,
2.17E-05,46,16,35,,
1.76E-05,61,8,35,,
1.72E-05,43,0,35,,
1.83E-05,82,6,38,,
1.82E-05,44,18,36,,
1.78E-05,72,21,38,,
1.76E-05,55,26,38,,
1.75E-05,70,5,37,,
2.23E-05,89,30,37,,
2.01E-05,89,19,39,,
1.74E-05,61,3,40,,
1.73E-05,43,46,48,,
1.80E-05,65,19,48,,
1.74E-05,62,5,48,,
1.84E-05,53,23,47,,
1.81E-05,65,20,46,,
1.70E-05,87,0,43,,
1.78E-05,73,24,43,,
2.58E-05,61,28,44,,
1.97E-05,44,7,44,,
3.74E-05,57,21,44,,
1.84E-05,52,4,44,,
2.06E-05,72,10,44,,
1.75E-05,89,30,45,,
1.74E-05,65,43,46,,
2.17E-05,90,8,44,,
1.72E-05,76,43,45,,
1.76E-05,82,35,45,,
1.73E-05,51,4,45,,
1.78E-05,49,15,45,,
1.76E-05,42,35,45,,
1.76E-05,72,33,46,,
1.77E-05,64,23,44,,
1.78E-05,80,14,44,,
1.81E-05,48,21,44,,
1.87E-05,61,5,46,,
1.76E-05,73,9,46,,
1.79E-05,43,16,46,,
1.77E-05,68,40,46,,
2.08E-05,64,0,48,,
1.80E-05,42,18,48,,
1.76E-05,47,38,48,,
1.77E-05,43,8,51,,
1.80E-05,66,23,51,,
1.73E-05,55,44,51,,
1.74E-05,59,45,49,,
1.95E-05,54,23,50,,
1.76E-05,89,10,50,,
1.78E-05,73,14,49,,
2.29E-05,89,35,50,,
1.81E-05,80,19,50,,
1.79E-05,51,10,52,,
1.79E-05,59,34,53,,
1.71E-05,69,51,53,,
1.74E-05,61,6,54,,
1.77E-05,63,15,53,,
1.75E-05,86,7,53,,
1.74E-05,48,6,51,,
1.93E-05,46,35,51,,
1.95E-05,75,39,53,,
2.08E-05,79,36,53,,
1.78E-05,69,39,53,,
1.92E-05,67,12,55,,
1.81E-05,85,41,55,,
1.75E-05,54,43,53,,
1.72E-05,42,49,51,,
1.91E-05,78,46,52,,
1.76E-05,84,39,52,,
1.72E-05,51,1,54,,
1.80E-05,64,33,54,,
1.80E-05,90,29,54,,
2.19E-05,86,18,52,,
2.28E-05,57,12,53,,
2.05E-05,90,4,53,,
1.82E-05,51,30,52,,
2.22E-05,88,41,51,,
