cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
3.40E-06,11,0,1,,,1.43E-01
1.08E-05,5,0,2,,,6605
1.80E-05,13,1,3,,,
1.77E-05,2,1,4,,,
1.00E-05,6,0,6,,,
1.02E-05,3,0,7,,,
1.75E-05,15,2,8,,,
1.75E-05,12,6,8,,,
1.74E-05,5,2,9,,,
1.76E-05,3,4,10,,,
3.62E-05,19,3,5,,,
1.84E-05,17,5,8,,,
1.84E-05,7,1,9,,,
2.80E-06,6,0,1,,,
2.62E-05,12,3,7,,,
2.54E-05,15,5,8,,,
1.56E-05,1,0,8,,,
4.00E-05,1,1,3,,,
2.26E-05,5,3,5,,,
1.22E-05,14,0,6,,,
2.43E-05,19,1,8,,,
2.57E-05,14,1,8,,,
2.47E-05,10,3,8,,,
1.80E-06,10,0,1,,,
0.0001201,6,0,2,,,
1.61E-05,6,0,3,,,
1.63E-05,8,0,2,,,
2.33E-05,18,1,4,,,
1.83E-05,19,1,4,,,
1.50E-06,13,0,1,,,
2.60E-06,13,0,1,,,
1.19E-05,1,0,2,,,
1.36E-05,11,0,3,,,
8.12E-05,9,4,6,,,
2.79E-05,20,2,7,,,
1.18E-05,10,0,8,,,
2.47E-05,16,5,10,,,
1.79E-05,14,1,10,,,
2.10E-05,7,5,8,,,
1.40E-06,19,0,1,,,
1.30E-06,8,0,1,,,
1.75E-05,2,2,4,,,
9.90E-06,8,0,3,,,
1.30E-06,5,0,1,,,
1.40E-06,18,0,1,,,
1.05E-05,12,0,2,,,
1.76E-05,9,1,3,,,
1.40E-06,20,0,1,,,
2.30E-06,15,0,1,,,
3.15E-05,18,0,2,,,
1.60E-06,4,0,1,,,
1.01E-05,9,0,2,,,
1.86E-05,11,1,3,,,
1.26E-05,18,0,2,,,
1.02E-05,7,0,5,,,
1.75E-05,14,1,5,,,
1.09E-05,4,0,5,,,
1.02E-05,16,0,4,,,
1.03E-05,16,0,4,,,
1.76E-05,19,1,5,,,
1.30E-06,19,0,1,,,
1.75E-05,16,3,5,,,
9.90E-06,14,0,3,,,
1.70E-06,16,0,1,,,
1.30E-06,7,0,1,,,
1.30E-06,1,0,1,,,
1.76E-05,5,1,3,,,
1.00E-05,15,0,2,,,
1.85E-05,7,2,5,,,
1.14E-05,4,0,8,,,
1.75E-05,2,6,9,,,
1.77E-05,2,3,8,,,
1.77E-05,3,2,9,,,
1.78E-05,18,4,12,,,
1.78E-05,19,4,13,,,
1.78E-05,1,5,15,,,
1.76E-05,1,4,14,,,
1.76E-05,20,3,15,,,
1.85E-05,6,17,19,,,
1.81E-05,4,10,21,,,
1.76E-05,9,19,22,,,
1.24E-05,6,0,19,,,
1.79E-05,19,5,19,,,
2.38E-05,11,16,20,,,
1.93E-05,20,8,22,,,
1.77E-05,6,19,22,,,
1.78E-05,8,9,23,,,
1.77E-05,6,19,21,,,
2.14E-05,11,14,25,,,
3.16E-05,18,5,27,,,
1.80E-05,20,21,29,,,
2.20E-05,17,19,27,,,
1.81E-05,11,8,33,,,
1.81E-05,6,17,33,,,
1.79E-05,4,19,33,,,
1.85E-05,4,1,33,,,
1.78E-05,13,5,34,,,
1.75E-05,3,3,35,,,
2.41E-05,6,33,35,,,
2.94E-05,11,10,37,,,
1.82E-05,15,18,36,,,
1.81E-05,2,11,37,,,
2.04E-05,1,32,38,,,
2.79E-05,16,25,39,,,
2.10E-05,12,8,40,,,
1.80E-05,8,27,41,,,
1.80E-05,14,15,40,,,
1.78E-05,2,2,41,,,
1.81E-05,10,3,45,,,
1.89E-05,2,24,45,,,
1.81E-05,5,11,45,,,
1.79E-05,5,39,48,,,
9.90E-06,4,0,50,,,
1.81E-05,1,12,50,,,
1.91E-05,9,47,50,,,
1.79E-05,17,38,50,,,
1.77E-05,19,44,54,,,
1.73E-05,20,49,52,,,
1.91E-05,3,20,56,,,
1.81E-05,7,46,54,,,
1.80E-05,11,39,52,,,
1.00E-05,1,0,55,,,
1.82E-05,12,15,55,,,
5.53E-05,15,30,53,,,
1.88E-05,16,33,45,,,
1.87E-05,11,11,39,,,
1.87E-05,16,30,41,,,
1.86E-05,2,30,42,,,
1.86E-05,5,23,43,,,
1.86E-05,5,12,44,,,
1.90E-05,6,26,44,,,
2.67E-05,5,33,46,,,
8.92E-05,17,28,47,,,
1.93E-05,11,10,44,,,
1.84E-05,3,23,52,,,
2.08E-05,20,35,54,,,
1.87E-05,9,44,55,,,
1.83E-05,19,35,52,,,
2.40E-05,11,11,53,,,
1.88E-05,1,6,53,,,
1.79E-05,14,52,55,,,
1.86E-05,11,54,56,,,
1.81E-05,15,46,57,,,
1.80E-05,18,7,58,,,
1.91E-05,11,27,59,,,
1.92E-05,15,43,59,,,
1.76E-05,2,3,58,,,
1.87E-05,17,39,57,,,
1.84E-05,11,37,56,,,
1.81E-05,1,43,54,,,
1.75E-05,12,2,54,,,
1.86E-05,5,18,55,,,
1.77E-05,6,7,56,,,
1.83E-05,3,29,53,,,
1.82E-05,11,31,53,,,
1.78E-05,5,41,54,,,
1.83E-05,11,18,57,,,
1.91E-05,12,49,58,,,
1.79E-05,5,48,58,,,
1.81E-05,6,47,62,,,
1.81E-05,18,48,63,,,
1.87E-05,16,19,63,,,
1.80E-05,5,43,63,,,
1.81E-05,9,10,64,,,
1.84E-05,1,16,66,,,
1.76E-05,17,1,62,,,
1.84E-05,17,54,61,,,
1.97E-05,8,30,62,,,
2.75E-05,17,21,66,,,
2.33E-05,9,37,65,,,
2.16E-05,16,6,66,,,
2.00E-05,7,16,67,,,
1.11E-05,12,0,63,,,
1.91E-05,2,44,64,,,
1.94E-05,15,49,63,,,
2.68E-05,8,46,63,,,
1.91E-05,20,42,64,,,
1.93E-05,13,21,65,,,
2.00E-05,8,21,68,,,
1.91E-05,13,44,68,,,
1.09E-05,1,0,73,,,
1.92E-05,5,62,75,,,
3.11E-05,19,63,78,,,
1.98E-05,19,43,79,,,
1.91E-05,12,23,78,,,
1.84E-05,5,49,79,,,
1.83E-05,18,18,79,,,
1.91E-05,12,33,80,,,
1.95E-05,9,71,80,,,
1.81E-05,13,18,79,,,
1.97E-05,16,35,80,,,
2.51E-05,6,17,80,,,
1.85E-05,13,42,77,,,
1.79E-05,2,63,76,,,
1.78E-05,5,67,76,,,
1.85E-05,8,64,69,,,
1.84E-05,12,7,70,,,
1.98E-05,10,33,72,,,
1.80E-05,9,6,70,,,
2.47E-05,9,66,70,,,
1.76E-05,8,68,72,,,
3.33E-05,10,48,71,,,
1.94E-05,19,18,73,,,
1.74E-05,6,1,72,,,
2.79E-05,5,10,72,,,
3.92E-05,14,47,73,,,
2.90E-05,5,26,74,,,
2.42E-05,12,45,73,,,
1.96E-05,6,36,67,,,
1.92E-05,9,20,68,,,
1.97E-05,8,51,69,,,
1.88E-05,13,12,74,,,
2.07E-05,7,17,75,,,
2.17E-05,10,29,76,,,
2.03E-05,10,23,77,,,
2.01E-05,4,29,79,,,
1.98E-05,10,38,80,,,
1.96E-05,20,22,82,,,
2.59E-05,7,51,82,,,
1.78E-05,4,78,82,,,
1.82E-05,20,15,83,,,
1.82E-05,13,73,86,,,
1.89E-05,2,43,87,,,
1.80E-05,8,65,88,,,
1.80E-05,2,83,86,,,
1.86E-05,14,13,86,,,
1.90E-05,18,22,87,,,
1.85E-05,17,56,86,,,
2.00E-05,4,37,88,,,
3.68E-05,18,42,95,,,
2.28E-05,1,46,96,,,
1.77E-05,17,93,96,,,
1.77E-05,1,95,98,,,
1.88E-05,4,62,97,,,
1.76E-05,3,7,100,,,
1.93E-05,7,48,101,,,
1.80E-05,12,92,97,,,
1.86E-05,19,27,94,,,
1.96E-05,8,44,95,,,
1.83E-05,2,69,97,,,
1.95E-05,16,49,100,,,
1.86E-05,20,27,100,,,
2.00E-05,8,8,100,,,
1.82E-05,19,79,99,,,
4.49E-05,10,90,97,,,
2.63E-05,12,26,98,,,
1.93E-05,5,86,100,,,
1.90E-05,1,21,100,,,
1.76E-05,3,4,99,,,
1.88E-05,8,35,101,,,
3.21E-05,15,69,102,,,
1.93E-05,8,29,104,,,
1.80E-05,17,95,104,,,
1.90E-05,20,31,102,,,
1.86E-05,3,31,103,,,
1.87E-05,6,32,103,,,
1.94E-05,13,72,103,,,
1.91E-05,16,55,104,,,
1.95E-05,6,56,104,,,
2.12E-05,19,86,105,,,
1.81E-05,10,97,105,,,
1.89E-05,6,32,100,,,
1.75E-05,20,94,99,,,
2.42E-05,8,17,103,,,
2.27E-05,14,97,104,,,
1.04E-05,20,0,97,,,
1.91E-05,10,32,97,,,
1.91E-05,16,34,99,,,
1.93E-05,20,43,97,,,
1.88E-05,19,84,98,,,
2.01E-05,14,56,94,,,
2.95E-05,3,27,95,,,
1.87E-05,12,22,96,,,
1.79E-05,7,8,91,,,
1.95E-05,11,21,90,,,
3.30E-05,8,73,89,,,
4.05E-05,3,29,95,,,
3.20E-05,20,76,96,,,
1.85E-05,3,4,95,,,
2.55E-05,15,6,95,,,
4.12E-05,9,55,91,,,
1.87E-05,12,55,89,,,
1.81E-05,4,76,88,,,
2.22E-05,15,58,87,,,
1.89E-05,2,26,87,,,
1.79E-05,9,74,87,,,
1.87E-05,3,67,84,,,
2.28E-05,20,80,84,,,
1.78E-05,15,69,85,,,
1.93E-05,3,31,85,,,
1.82E-05,9,19,88,,,
1.90E-05,16,71,90,,,
1.88E-05,2,51,86,,,
1.98E-05,12,47,85,,,
1.80E-05,1,9,85,,,
1.76E-05,16,80,86,,,
1.87E-05,17,25,84,,,
2.18E-05,18,8,84,,,
2.24E-05,20,30,85,,,
1.81E-05,19,2,85,,,
1.78E-05,3,10,85,,,
1.99E-05,16,36,83,,,
2.33E-05,16,47,84,,,
1.87E-05,9,26,90,,,
1.77E-05,15,7,91,,,
1.92E-05,3,47,93,,,
1.87E-05,16,53,93,,,
1.82E-05,20,12,95,,,
2.08E-05,11,45,96,,,
1.79E-05,4,7,91,,,
1.93E-05,19,39,91,,,
1.80E-05,16,76,92,,,
1.93E-05,20,41,93,,,
1.78E-05,13,7,94,,,
1.78E-05,2,3,95,,,
1.92E-05,16,44,94,,,
1.90E-05,6,41,95,,,
1.92E-05,7,66,100,,,
2.04E-05,10,72,102,,,
1.76E-05,8,99,101,,,
1.85E-05,11,78,101,,,
1.92E-05,1,53,101,,,
1.74E-05,9,1,101,,,
1.84E-05,7,13,101,,,
1.85E-05,9,64,90,,,
1.87E-05,9,55,91,,,
2.10E-05,16,37,92,,,
1.89E-05,16,37,93,,,
