cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.40E-06,18,3,4,,1.11E-02
1.60E-06,14,6,7,,6777
1.30E-06,8,6,7,,
1.30E-06,2,6,7,,
1.90E-06,14,6,7,,
2.20E-06,11,3,4,,
2.10E-06,17,3,4,,
2.60E-06,18,4,5,,
2.00E-06,15,8,9,,
1.70E-06,2,8,9,,
2.00E-06,3,8,9,,
2.40E-06,14,7,8,,
3.30E-06,15,6,7,,
2.80E-06,13,7,8,,
2.40E-06,18,1,2,,
2.80E-06,16,2,3,,
2.70E-06,8,4,5,,
1.90E-06,17,4,5,,
2.10E-06,7,3,4,,
2.00E-06,7,3,4,,
1.60E-06,7,3,4,,
2.00E-06,6,3,4,,
1.60E-06,6,2,3,,
1.40E-06,18,0,1,,
1.40E-06,1,0,1,,
1.70E-06,11,3,4,,
1.70E-06,12,5,6,,
1.80E-06,17,9,10,,
2.20E-06,4,8,9,,
1.40E-06,5,6,7,,
1.40E-06,13,5,6,,
1.50E-06,6,1,2,,
1.40E-06,8,0,1,,
1.30E-06,5,0,1,,
1.70E-06,11,1,2,,
1.30E-06,7,2,3,,
1.40E-06,4,2,3,,
1.70E-06,8,1,2,,
1.40E-06,18,1,2,,
1.60E-06,13,0,1,,
1.40E-06,1,1,2,,
1.30E-06,12,2,3,,
1.40E-06,18,2,3,,
1.20E-06,8,0,1,,
2.30E-06,11,0,1,,
1.20E-06,1,0,1,,
1.80E-06,13,0,1,,
2.70E-06,6,1,2,,
1.30E-06,15,0,1,,
1.30E-06,2,0,1,,
1.10E-06,8,0,1,,
3.70E-06,4,0,1,,
1.40E-06,8,1,2,,
2.30E-06,3,0,1,,
1.40E-06,11,3,4,,
1.30E-06,20,5,6,,
1.40E-06,14,1,2,,
1.40E-06,9,3,4,,
1.30E-06,18,4,5,,
1.40E-06,16,0,1,,
1.20E-06,18,0,1,,
1.50E-06,8,2,3,,
1.20E-06,12,0,1,,
1.30E-06,16,0,1,,
1.40E-06,15,1,2,,
1.30E-06,12,1,2,,
1.30E-06,6,2,3,,
1.30E-06,18,1,2,,
1.30E-06,14,3,4,,
1.40E-06,9,2,3,,
1.30E-06,1,3,4,,
1.50E-06,18,9,10,,
1.50E-06,17,14,15,,
1.40E-06,9,13,14,,
1.30E-06,17,13,14,,
1.30E-06,9,15,16,,
2.00E-06,20,16,17,,
1.60E-06,6,17,18,,
1.50E-06,9,18,19,,
1.30E-06,17,19,20,,
1.40E-06,10,18,19,,
1.40E-06,1,19,20,,
1.20E-06,11,20,21,,
1.30E-06,17,21,22,,
1.70E-06,20,21,22,,
1.40E-06,18,22,23,,
1.40E-06,18,19,20,,
1.20E-06,6,21,22,,
1.30E-06,20,22,23,,
2.80E-06,16,23,24,,
2.70E-06,8,25,26,,
2.10E-06,20,27,28,,
1.70E-06,6,27,28,,
1.30E-06,11,27,28,,
1.50E-06,17,27,28,,
1.40E-06,6,25,26,,
3.00E-06,8,29,30,,
2.40E-06,15,30,31,,
1.60E-06,4,31,32,,
1.60E-06,3,34,35,,
1.40E-06,13,42,43,,
1.40E-06,3,45,46,,
1.20E-06,20,46,47,,
1.30E-06,17,43,44,,
1.40E-06,19,45,46,,
1.40E-06,13,46,47,,
1.20E-06,11,46,47,,
2.90E-06,18,47,48,,
1.30E-06,16,48,49,,
1.20E-06,8,50,51,,
1.40E-06,13,51,52,,
1.30E-06,9,52,53,,
1.30E-06,13,53,54,,
1.40E-06,5,53,54,,
1.90E-06,14,51,52,,
2.70E-06,3,52,53,,
2.00E-06,19,43,44,,
1.60E-06,10,40,41,,
1.60E-06,6,44,45,,
1.90E-06,4,45,46,,
1.60E-06,7,46,47,,
4.00E-06,13,46,47,,
2.10E-06,4,44,45,,
3.30E-06,3,44,45,,
1.70E-06,16,46,47,,
1.40E-06,11,47,48,,
1.30E-06,9,48,49,,
1.20E-06,12,50,51,,
1.30E-06,5,50,51,,
1.30E-06,1,52,53,,
1.70E-06,16,51,52,,
1.90E-06,17,52,53,,
1.40E-06,17,55,56,,
1.30E-06,4,55,56,,
1.60E-06,9,52,53,,
2.20E-06,1,53,54,,
1.30E-06,20,56,57,,
1.60E-06,14,58,59,,
1.30E-06,12,56,57,,
1.30E-06,16,55,56,,
1.80E-06,9,55,56,,
1.70E-06,10,53,54,,
1.60E-06,6,52,53,,
1.40E-06,4,52,53,,
1.30E-06,15,55,56,,
2.60E-06,16,58,59,,
1.40E-06,14,59,60,,
1.60E-06,6,61,62,,
1.30E-06,11,60,61,,
1.60E-06,13,65,66,,
1.30E-06,3,65,66,,
1.40E-06,5,60,61,,
1.30E-06,16,61,62,,
2.00E-06,13,61,62,,
1.40E-06,13,62,63,,
2.50E-06,9,61,62,,
1.50E-06,8,62,63,,
1.20E-06,4,64,65,,
1.80E-06,16,65,66,,
2.70E-06,6,65,66,,
2.00E-06,7,64,65,,
1.60E-06,12,62,63,,
1.50E-06,4,65,66,,
1.50E-06,5,66,67,,
1.70E-06,11,67,68,,
1.70E-06,11,67,68,,
2.50E-06,10,68,69,,
1.50E-06,17,69,70,,
1.50E-06,6,69,70,,
1.40E-06,16,70,71,,
1.40E-06,15,71,72,,
1.50E-06,9,72,73,,
1.50E-06,19,73,74,,
1.50E-06,10,74,75,,
1.40E-06,7,73,74,,
1.60E-06,13,73,74,,
1.50E-06,8,75,76,,
1.40E-06,7,76,77,,
1.40E-06,13,79,80,,
1.20E-06,1,80,81,,
1.30E-06,14,82,83,,
1.60E-06,3,80,81,,
1.40E-06,8,79,80,,
1.30E-06,19,78,79,,
2.10E-06,5,76,77,,
1.80E-06,5,77,78,,
1.50E-06,15,74,75,,
1.20E-06,4,74,75,,
1.30E-06,14,75,76,,
1.20E-06,15,72,73,,
1.70E-06,17,70,71,,
1.40E-06,11,70,71,,
1.30E-06,11,70,71,,
1.80E-06,8,72,73,,
1.90E-06,20,67,68,,
1.40E-06,14,68,69,,
1.60E-06,6,71,72,,
1.50E-06,11,73,74,,
3.60E-06,1,72,73,,
1.60E-06,3,70,71,,
1.70E-06,19,65,66,,
2.00E-06,20,70,71,,
1.50E-06,1,71,72,,
1.40E-06,4,72,73,,
1.50E-06,1,73,74,,
2.10E-06,15,73,74,,
1.50E-06,2,74,75,,
1.50E-06,12,77,78,,
2.30E-06,8,80,81,,
1.50E-06,16,82,83,,
1.60E-06,10,81,82,,
1.30E-06,8,83,84,,
1.40E-06,8,84,85,,
1.40E-06,20,84,85,,
1.30E-06,2,86,87,,
1.20E-06,11,88,89,,
1.60E-06,7,86,87,,
1.30E-06,6,86,87,,
1.60E-06,9,85,86,,
1.30E-06,16,84,85,,
1.20E-06,20,85,86,,
1.40E-06,4,89,90,,
2.50E-06,8,90,91,,
1.40E-06,19,92,93,,
1.20E-06,8,96,97,,
1.90E-06,19,97,98,,
3.10E-06,17,98,99,,
1.40E-06,10,98,99,,
1.30E-06,16,95,96,,
1.70E-06,20,96,97,,
1.60E-06,15,95,96,,
1.40E-06,10,98,99,,
1.80E-06,15,100,101,,
1.70E-06,3,99,100,,
1.30E-06,1,99,100,,
1.40E-06,14,99,100,,
1.30E-06,3,99,100,,
3.00E-06,6,97,98,,
2.10E-06,7,98,99,,
2.50E-06,3,99,100,,
1.40E-06,16,100,101,,
1.30E-06,17,98,99,,
1.30E-06,9,99,100,,
1.90E-06,6,102,103,,
1.60E-06,20,103,104,,
1.40E-06,6,103,104,,
2.10E-06,19,102,103,,
