cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.30E-06,11,0,1,,7.76E-02
1.00E-05,14,0,5,,6618
1.04E-05,18,0,5,,
1.03E-05,6,0,9,,
9.90E-06,14,0,10,,
1.02E-05,13,0,9,,
1.43E-05,6,0,4,,
1.11E-05,16,0,5,,
1.52E-05,1,0,6,,
1.07E-05,6,0,7,,
1.08E-05,4,0,9,,
1.36E-05,8,0,7,,
1.57E-05,19,0,8,,
1.85E-05,1,0,8,,
1.93E-05,10,0,4,,
2.00E-05,17,0,6,,
1.30E-05,15,0,3,,
1.26E-05,4,0,4,,
1.51E-05,10,0,7,,
1.30E-05,12,0,7,,
1.94E-05,5,0,9,,
1.70E-06,1,0,1,,
3.70E-06,16,0,1,,
1.09E-05,12,0,4,,
1.18E-05,17,0,2,,
3.63E-05,1,0,3,,
1.09E-05,20,0,5,,
1.13E-05,11,0,5,,
1.94E-05,8,0,7,,
1.12E-05,3,0,9,,
1.10E-05,14,0,10,,
7.79E-05,16,0,11,,
1.06E-05,13,0,2,,
1.01E-05,3,0,4,,
1.40E-06,1,0,1,,
1.02E-05,14,0,2,,
1.29E-05,18,0,3,,
2.00E-06,12,0,1,,
2.10E-06,13,0,1,,
1.60E-06,1,0,1,,
1.01E-05,7,0,2,,
1.80E-06,7,0,1,,
1.41E-05,12,0,2,,
1.11E-05,1,0,2,,
1.56E-05,6,0,2,,
1.02E-05,8,0,3,,
1.60E-06,4,0,1,,
1.04E-05,10,0,2,,
1.00E-05,5,0,3,,
1.01E-05,10,0,4,,
1.00E-05,16,0,5,,
1.01E-05,6,0,3,,
1.01E-05,12,0,2,,
1.00E-05,17,0,2,,
1.60E-06,7,0,1,,
1.02E-05,3,0,2,,
1.59E-05,6,0,2,,
1.03E-05,3,0,2,,
1.40E-06,15,0,1,,
1.20E-06,15,0,1,,
1.30E-06,13,0,1,,
1.00E-05,17,0,2,,
1.01E-05,11,0,6,,
1.01E-05,1,0,7,,
1.02E-05,13,0,10,,
1.01E-05,13,0,11,,
1.04E-05,10,0,14,,
1.00E-05,11,0,16,,
1.04E-05,1,0,20,,
1.00E-05,3,0,20,,
1.00E-05,19,0,21,,
1.01E-05,10,0,23,,
1.01E-05,4,0,24,,
1.01E-05,11,0,29,,
1.01E-05,1,0,28,,
1.06E-05,7,0,26,,
1.03E-05,11,0,27,,
1.00E-05,10,0,27,,
9.90E-06,6,0,28,,
9.90E-06,11,0,26,,
1.26E-05,19,0,26,,
1.14E-05,12,0,28,,
1.81E-05,16,0,29,,
1.02E-05,16,0,35,,
1.05E-05,11,0,36,,
1.46E-05,20,0,38,,
1.00E-05,4,0,37,,
1.01E-05,5,0,38,,
9.90E-06,16,0,41,,
9.90E-06,13,0,42,,
1.06E-05,9,0,44,,
1.02E-05,6,0,45,,
1.03E-05,14,0,48,,
1.02E-05,19,0,46,,
9.80E-06,19,0,46,,
1.00E-05,19,0,47,,
9.90E-06,5,0,45,,
1.00E-05,5,0,46,,
2.23E-05,17,0,47,,
1.03E-05,4,0,49,,
1.01E-05,1,0,49,,
1.17E-05,2,0,49,,
1.10E-05,15,0,50,,
1.05E-05,16,0,51,,
1.01E-05,8,0,51,,
1.00E-05,3,0,54,,
9.80E-06,8,0,52,,
1.17E-05,20,0,53,,
1.02E-05,1,0,54,,
1.46E-05,15,0,55,,
9.90E-06,16,0,53,,
1.00E-05,14,0,54,,
1.02E-05,19,0,55,,
1.57E-05,9,0,52,,
1.10E-05,7,0,40,,
1.11E-05,5,0,48,,
1.10E-05,19,0,48,,
1.09E-05,5,0,45,,
1.06E-05,11,0,44,,
1.48E-05,7,0,46,,
1.36E-05,9,0,47,,
1.01E-05,1,0,47,,
9.80E-06,18,0,50,,
9.90E-06,11,0,50,,
9.80E-06,13,0,52,,
1.10E-05,15,0,53,,
1.02E-05,3,0,54,,
9.90E-06,11,0,54,,
9.90E-06,9,0,52,,
1.00E-05,3,0,59,,
1.01E-05,12,0,57,,
1.01E-05,11,0,59,,
1.02E-05,17,0,60,,
1.07E-05,12,0,57,,
1.23E-05,11,0,58,,
1.00E-05,1,0,57,,
1.11E-05,11,0,55,,
1.17E-05,15,0,54,,
1.11E-05,17,0,55,,
1.08E-05,7,0,56,,
1.11E-05,3,0,57,,
1.08E-05,3,0,58,,
1.09E-05,10,0,59,,
1.10E-05,17,0,57,,
1.11E-05,15,0,58,,
1.15E-05,4,0,59,,
1.10E-05,12,0,54,,
1.10E-05,5,0,54,,
1.02E-05,17,0,56,,
1.00E-05,15,0,56,,
1.00E-05,6,0,57,,
1.06E-05,18,0,52,,
1.04E-05,15,0,52,,
1.06E-05,6,0,54,,
1.00E-05,11,0,55,,
1.06E-05,18,0,57,,
1.02E-05,17,0,61,,
1.00E-05,13,0,62,,
1.11E-05,16,0,62,,
1.01E-05,6,0,63,,
1.02E-05,13,0,65,,
1.00E-05,12,0,63,,
1.04E-05,9,0,61,,
9.90E-06,11,0,61,,
1.03E-05,3,0,62,,
1.00E-05,10,0,62,,
1.00E-05,12,0,62,,
1.02E-05,10,0,64,,
1.01E-05,12,0,66,,
1.50E-05,10,0,65,,
1.24E-05,20,0,67,,
1.23E-05,1,0,68,,
1.29E-05,9,0,66,,
1.09E-05,7,0,66,,
1.18E-05,17,0,77,,
1.09E-05,8,0,76,,
1.13E-05,3,0,77,,
1.07E-05,19,0,80,,
1.02E-05,2,0,78,,
1.03E-05,14,0,77,,
1.01E-05,16,0,79,,
1.01E-05,18,0,81,,
9.90E-06,18,0,82,,
9.90E-06,20,0,82,,
9.90E-06,6,0,79,,
1.01E-05,5,0,78,,
1.01E-05,18,0,80,,
1.02E-05,20,0,81,,
1.00E-05,5,0,80,,
1.01E-05,11,0,80,,
1.01E-05,3,0,79,,
1.01E-05,10,0,80,,
1.02E-05,10,0,80,,
1.04E-05,5,0,78,,
1.00E-05,1,0,77,,
9.90E-06,14,0,73,,
1.00E-05,7,0,74,,
1.00E-05,17,0,75,,
1.00E-05,15,0,76,,
2.07E-05,2,0,78,,
1.02E-05,4,0,75,,
1.01E-05,9,0,74,,
1.01E-05,4,0,75,,
1.23E-05,14,0,74,,
1.11E-05,13,0,69,,
1.08E-05,1,0,73,,
1.11E-05,8,0,70,,
1.00E-05,19,0,73,,
1.10E-05,12,0,74,,
2.17E-05,7,0,74,,
1.10E-05,12,0,74,,
1.10E-05,19,0,69,,
1.57E-05,19,0,70,,
1.28E-05,19,0,72,,
1.10E-05,19,0,71,,
1.11E-05,8,0,67,,
1.09E-05,18,0,68,,
1.10E-05,4,0,70,,
1.11E-05,3,0,76,,
1.08E-05,8,0,76,,
1.09E-05,3,0,80,,
1.11E-05,10,0,83,,
1.11E-05,12,0,84,,
1.09E-05,13,0,81,,
1.10E-05,16,0,81,,
1.02E-05,13,0,85,,
1.02E-05,11,0,86,,
1.01E-05,15,0,86,,
1.02E-05,14,0,87,,
1.09E-05,3,0,87,,
1.00E-05,1,0,89,,
1.00E-05,18,0,89,,
1.00E-05,8,0,92,,
1.21E-05,14,0,94,,
1.02E-05,3,0,95,,
9.90E-06,18,0,96,,
1.03E-05,6,0,97,,
9.90E-06,2,0,98,,
1.01E-05,13,0,98,,
1.01E-05,8,0,99,,
1.16E-05,3,0,99,,
1.05E-05,9,0,100,,
1.02E-05,7,0,97,,
9.90E-06,11,0,93,,
1.00E-05,18,0,96,,
1.07E-05,5,0,97,,
1.01E-05,14,0,98,,
1.01E-05,4,0,99,,
1.01E-05,10,0,102,,
1.06E-05,15,0,100,,
1.01E-05,1,0,101,,
1.00E-05,16,0,101,,
1.00E-05,11,0,100,,
1.00E-05,13,0,99,,
1.00E-05,13,0,105,,
1.12E-05,17,0,103,,
1.03E-05,16,0,101,,
1.50E-05,19,0,99,,
1.03E-05,14,0,99,,
1.50E-05,12,0,97,,
1.03E-05,13,0,99,,
1.00E-05,3,0,96,,
9.90E-06,9,0,97,,
1.02E-05,3,0,96,,
1.03E-05,5,0,94,,
1.08E-05,9,0,93,,
1.13E-05,19,0,95,,
1.03E-05,15,0,90,,
4.05E-05,20,0,90,,
1.25E-05,19,0,90,,
1.01E-05,17,0,94,,
9.90E-06,13,0,95,,
1.00E-05,11,0,96,,
1.03E-05,15,0,93,,
1.01E-05,17,0,94,,
1.77E-05,18,0,94,,
1.76E-05,7,0,95,,
1.12E-05,13,0,94,,
1.59E-05,3,0,90,,
2.03E-05,20,0,90,,
1.02E-05,10,0,89,,
9.90E-06,1,0,88,,
9.90E-06,1,0,90,,
1.12E-05,8,0,88,,
2.60E-05,17,0,90,,
1.03E-05,2,0,86,,
1.02E-05,17,0,87,,
1.01E-05,7,0,87,,
1.17E-05,16,0,82,,
1.10E-05,11,0,83,,
1.01E-05,13,0,86,,
1.01E-05,19,0,87,,
1.45E-05,1,0,89,,
1.47E-05,15,0,93,,
1.00E-05,17,0,85,,
1.01E-05,14,0,86,,
1.00E-05,19,0,87,,
1.00E-05,1,0,88,,
1.01E-05,15,0,84,,
1.00E-05,12,0,85,,
1.01E-05,14,0,85,,
1.00E-05,3,0,87,,
1.00E-05,1,0,88,,
1.01E-05,3,0,97,,
1.05E-05,5,0,98,,
9.90E-06,8,0,90,,
1.03E-05,1,0,90,,
1.01E-05,19,0,95,,
1.09E-05,16,0,98,,
1.01E-05,11,0,99,,
1.01E-05,12,0,101,,
1.00E-05,3,0,100,,
1.00E-05,4,0,100,,
9.90E-06,13,0,92,,
1.11E-05,15,0,97,,
1.10E-05,1,0,96,,
9.90E-06,11,0,97,,
1.06E-05,18,0,95,,
1.01E-05,1,0,96,,
1.03E-05,20,0,93,,
1.05E-05,8,0,86,,
1.00E-05,7,0,88,,
1.00E-05,8,0,88,,
1.00E-05,19,0,89,,
1.03E-05,1,0,91,,
1.01E-05,8,0,96,,
1.01E-05,14,0,97,,
1.16E-05,5,0,98,,
1.02E-05,8,0,95,,
1.01E-05,15,0,92,,
1.03E-05,14,0,91,,
1.01E-05,7,0,81,,
7.81E-05,19,0,83,,
1.00E-05,14,0,85,,
1.03E-05,12,0,83,,
1.10E-05,8,0,86,,
1.00E-05,17,0,83,,
1.68E-05,14,0,85,,
1.73E-05,6,0,87,,
1.40E-05,17,0,87,,
1.10E-05,13,0,89,,
1.05E-05,17,0,88,,
9.90E-06,3,0,89,,
1.38E-05,17,0,89,,
2.93E-05,2,0,89,,
1.34E-05,4,0,90,,
1.10E-05,12,0,90,,
1.04E-05,6,0,91,,
1.17E-05,7,0,94,,
1.05E-05,19,0,92,,
1.01E-05,6,0,92,,
1.11E-05,3,0,93,,
1.06E-05,5,0,94,,
1.02E-05,20,0,90,,
1.02E-05,3,0,92,,
1.04E-05,20,0,93,,
1.60E-05,3,0,93,,
1.01E-05,13,0,89,,
1.04E-05,9,0,82,,
1.00E-05,14,0,83,,
1.05E-05,9,0,74,,
1.00E-05,6,0,72,,
1.03E-05,19,0,71,,
1.00E-05,7,0,74,,
1.00E-05,2,0,80,,
1.00E-05,20,0,80,,
1.06E-05,5,0,81,,
1.78E-05,8,0,86,,
1.28E-05,8,0,86,,
1.25E-05,17,0,87,,
1.10E-05,11,0,89,,
1.10E-05,7,0,89,,
1.10E-05,12,0,86,,
1.09E-05,1,0,87,,
1.56E-05,20,0,87,,
1.02E-05,14,0,88,,
1.02E-05,18,0,88,,
1.81E-05,16,0,91,,
1.01E-05,13,0,83,,
1.10E-05,8,0,84,,
1.07E-05,8,0,86,,
1.01E-05,7,0,83,,
9.90E-06,13,0,84,,
2.14E-05,15,0,82,,
