cas operacie,index prvku,dlzka zoznamu,,
1.79E-05,2,9,,1.47E-01
1.80E-05,5,7,,6619
2.90E-05,7,9,,
3.52E-05,4,8,,
2.04E-05,5,7,,
1.78E-05,4,6,,
2.44E-05,2,3,,
2.81E-05,2,3,,
3.31E-05,1,4,,
2.69E-05,1,4,,
1.87E-05,6,8,,
2.47E-05,3,8,,
2.65E-05,7,8,,
1.70E-05,0,7,,
3.49E-05,2,7,,
3.41E-05,0,7,,
1.42E-05,0,6,,
1.33E-05,0,3,,
2.35E-05,1,2,,
1.32E-05,0,0,,
2.77E-05,5,7,,
1.32E-05,0,6,,
1.32E-05,0,6,,
2.53E-05,0,8,,
2.39E-05,1,3,,
2.37E-05,1,3,,
2.32E-05,1,2,,
1.38E-05,0,0,,
1.54E-05,0,0,,
1.79E-05,0,3,,
2.02E-05,2,3,,
1.88E-05,1,3,,
1.71E-05,0,6,,
1.05E-05,0,9,,
1.79E-05,3,5,,
1.79E-05,2,5,,
1.78E-05,1,2,,
1.41E-05,0,1,,
1.02E-05,0,1,,
1.12E-05,0,0,,
1.18E-05,0,0,,
1.03E-05,0,0,,
1.42E-05,0,3,,
1.03E-05,0,3,,
1.05E-05,0,2,,
1.03E-05,0,1,,
1.04E-05,0,1,,
1.33E-05,0,0,,
1.50E-05,0,2,,
2.22E-05,1,2,,
1.01E-05,0,0,,
1.05E-05,0,0,,
1.23E-05,0,0,,
1.60E-05,0,1,,
1.05E-05,0,0,,
1.49E-05,0,0,,
1.37E-05,0,0,,
1.00E-05,0,0,,
1.60E-05,0,0,,
1.22E-05,0,1,,
1.79E-05,3,4,,
1.01E-05,0,3,,
1.77E-05,1,5,,
2.67E-05,2,4,,
1.77E-05,2,3,,
1.43E-05,0,0,,
1.07E-05,0,1,,
1.02E-05,0,0,,
1.70E-05,0,1,,
1.79E-05,1,2,,
1.06E-05,0,0,,
1.02E-05,0,0,,
1.03E-05,0,0,,
1.01E-05,0,0,,
1.01E-05,0,1,,
1.01E-05,0,1,,
1.76E-05,2,8,,
1.80E-05,4,13,,
1.79E-05,6,15,,
1.81E-05,4,19,,
1.78E-05,2,21,,
1.77E-05,6,19,,
1.80E-05,14,18,,
1.98E-05,17,21,,
1.83E-05,12,21,,
1.77E-05,19,20,,
1.80E-05,6,19,,
2.37E-05,2,27,,
1.02E-05,0,27,,
1.79E-05,6,28,,
1.83E-05,21,27,,
2.40E-05,8,28,,
2.58E-05,10,26,,
1.01E-05,0,25,,
1.88E-05,12,36,,
1.81E-05,8,37,,
1.80E-05,2,36,,
1.80E-05,26,40,,
1.85E-05,38,45,,
1.84E-05,32,44,,
1.85E-05,17,44,,
1.91E-05,17,46,,
1.84E-05,35,49,,
1.85E-05,14,53,,
1.84E-05,49,53,,
1.89E-05,22,53,,
1.02E-05,0,52,,
1.78E-05,6,51,,
1.87E-05,26,54,,
1.81E-05,6,53,,
2.71E-05,18,44,,
2.02E-05,26,43,,
1.87E-05,2,44,,
1.87E-05,3,42,,
1.94E-05,22,45,,
1.88E-05,41,43,,
3.27E-05,3,46,,
0.0009244,19,46,,
4.25E-05,5,45,,
3.20E-05,1,44,,
1.87E-05,22,49,,
2.07E-05,16,51,,
1.82E-05,12,54,,
1.83E-05,10,51,,
1.85E-05,22,51,,
1.83E-05,5,56,,
1.93E-05,24,58,,
1.81E-05,47,55,,
1.84E-05,16,58,,
1.86E-05,47,56,,
1.83E-05,3,53,,
1.92E-05,46,54,,
2.05E-05,28,58,,
1.95E-05,7,58,,
3.84E-05,39,55,,
1.96E-05,29,53,,
