cas operacie,index prvku,dlzka zoznamu,,
1.05E-05,3,3,,8.12E-02
1.04E-05,8,8,,6710
1.04E-05,6,6,,
1.77E-05,5,5,,
1.82E-05,3,3,,
1.56E-05,8,8,,
1.74E-05,7,7,,
1.34E-05,5,5,,
1.39E-05,1,1,,
1.32E-05,3,3,,
2.27E-05,2,2,,
1.47E-05,7,7,,
2.05E-05,7,7,,
2.77E-05,6,6,,
1.34E-05,5,5,,
1.34E-05,0,0,,
1.13E-05,3,3,,
1.12E-05,3,3,,
1.12E-05,2,2,,
1.14E-05,2,2,,
1.13E-05,1,1,,
1.12E-05,0,0,,
1.14E-05,0,0,,
1.37E-05,4,4,,
1.16E-05,9,9,,
2.15E-05,9,9,,
1.79E-05,8,8,,
1.09E-05,8,8,,
1.02E-05,6,6,,
1.04E-05,6,6,,
1.06E-05,3,3,,
1.13E-05,0,0,,
1.06E-05,2,2,,
1.06E-05,1,1,,
1.01E-05,0,0,,
1.07E-05,0,0,,
1.02E-05,0,0,,
1.53E-05,0,0,,
1.17E-05,1,1,,
1.02E-05,0,0,,
1.02E-05,0,0,,
1.11E-05,1,1,,
1.03E-05,1,1,,
1.31E-05,0,0,,
1.03E-05,4,4,,
1.15E-05,4,4,,
1.04E-05,3,3,,
1.02E-05,4,4,,
1.02E-05,4,4,,
1.56E-05,3,3,,
1.17E-05,2,2,,
1.01E-05,0,0,,
1.05E-05,1,1,,
1.01E-05,0,0,,
1.04E-05,1,1,,
1.02E-05,2,2,,
1.03E-05,3,3,,
1.03E-05,7,7,,
1.08E-05,18,18,,
1.04E-05,20,20,,
1.01E-05,18,18,,
1.17E-05,18,18,,
1.06E-05,22,22,,
1.04E-05,22,22,,
1.03E-05,25,25,,
1.04E-05,26,26,,
1.02E-05,27,27,,
1.03E-05,26,26,,
1.81E-05,25,25,,
1.02E-05,32,32,,
1.69E-05,32,32,,
1.28E-05,34,34,,
1.04E-05,35,35,,
1.04E-05,47,47,,
1.00E-05,46,46,,
1.03E-05,45,45,,
1.02E-05,46,46,,
1.03E-05,50,50,,
1.03E-05,48,48,,
1.09E-05,49,49,,
1.02E-05,53,53,,
1.02E-05,53,53,,
1.02E-05,52,52,,
1.00E-05,51,51,,
1.03E-05,53,53,,
1.14E-05,54,54,,
1.06E-05,54,54,,
1.07E-05,52,52,,
1.49E-05,50,50,,
1.55E-05,49,49,,
1.97E-05,47,47,,
1.77E-05,46,46,,
1.12E-05,43,43,,
1.14E-05,40,40,,
1.12E-05,39,39,,
1.12E-05,38,38,,
1.13E-05,47,47,,
1.13E-05,46,46,,
1.12E-05,44,44,,
1.09E-05,43,43,,
1.06E-05,46,46,,
1.46E-05,52,52,,
1.14E-05,52,52,,
1.77E-05,58,58,,
1.03E-05,59,59,,
1.12E-05,57,57,,
1.11E-05,56,56,,
1.13E-05,53,53,,
1.14E-05,56,56,,
1.13E-05,56,56,,
1.19E-05,53,53,,
1.02E-05,55,55,,
1.04E-05,55,55,,
1.14E-05,51,51,,
1.06E-05,53,53,,
1.02E-05,61,61,,
1.09E-05,65,65,,
1.03E-05,65,65,,
1.02E-05,61,61,,
1.07E-05,60,60,,
1.02E-05,61,61,,
1.19E-05,65,65,,
2.10E-05,64,64,,
1.25E-05,66,66,,
1.35E-05,65,65,,
1.19E-05,66,66,,
1.19E-05,64,64,,
1.14E-05,62,62,,
1.15E-05,62,62,,
1.13E-05,62,62,,
1.12E-05,69,69,,
1.18E-05,72,72,,
1.14E-05,76,76,,
1.14E-05,79,79,,
1.10E-05,78,78,,
1.02E-05,78,78,,
1.07E-05,78,78,,
1.04E-05,77,77,,
1.03E-05,79,79,,
1.03E-05,79,79,,
1.11E-05,79,79,,
1.04E-05,78,78,,
1.03E-05,78,78,,
1.01E-05,76,76,,
1.04E-05,75,75,,
1.62E-05,77,77,,
1.05E-05,76,76,,
1.05E-05,75,75,,
1.03E-05,75,75,,
1.06E-05,74,74,,
1.03E-05,74,74,,
1.06E-05,73,73,,
1.02E-05,70,70,,
1.56E-05,72,72,,
2.32E-05,73,73,,
1.15E-05,73,73,,
1.13E-05,71,71,,
1.16E-05,70,70,,
1.93E-05,73,73,,
1.99E-05,72,72,,
1.16E-05,72,72,,
1.16E-05,72,72,,
1.14E-05,70,70,,
1.11E-05,69,69,,
1.12E-05,67,67,,
1.13E-05,66,66,,
1.15E-05,75,75,,
1.14E-05,79,79,,
1.14E-05,82,82,,
1.11E-05,81,81,,
1.33E-05,81,81,,
1.04E-05,84,84,,
1.08E-05,85,85,,
1.04E-05,85,85,,
1.03E-05,94,94,,
1.37E-05,100,100,,
1.07E-05,99,99,,
1.04E-05,98,98,,
1.86E-05,96,96,,
1.06E-05,96,96,,
1.04E-05,96,96,,
1.04E-05,93,93,,
1.06E-05,95,95,,
1.05E-05,99,99,,
1.02E-05,99,99,,
1.02E-05,100,100,,
1.63E-05,99,99,,
1.17E-05,97,97,,
1.75E-05,97,97,,
1.08E-05,99,99,,
1.59E-05,102,102,,
1.04E-05,102,102,,
1.02E-05,101,101,,
1.02E-05,102,102,,
1.13E-05,101,101,,
1.18E-05,102,102,,
1.02E-05,100,100,,
1.01E-05,99,99,,
1.06E-05,101,101,,
1.03E-05,99,99,,
1.63E-05,98,98,,
1.06E-05,98,98,,
1.09E-05,96,96,,
1.07E-05,96,96,,
1.04E-05,98,98,,
1.04E-05,97,97,,
1.04E-05,96,96,,
1.22E-05,97,97,,
1.06E-05,93,93,,
2.49E-05,92,92,,
1.04E-05,92,92,,
1.04E-05,93,93,,
1.03E-05,92,92,,
1.03E-05,91,91,,
1.02E-05,90,90,,
1.03E-05,91,91,,
1.03E-05,90,90,,
1.08E-05,90,90,,
