cas operacie,index prvku,dlzka zoznamu,,,
2.09E-05,0,0,,,8.05E-02
1.16E-05,0,4,,,6671
1.04E-05,0,8,,,
1.49E-05,0,6,,,
1.16E-05,0,6,,,
1.14E-05,0,6,,,
1.51E-05,0,4,,,
1.50E-05,0,8,,,
1.53E-05,0,7,,,
1.49E-05,0,6,,,
1.71E-05,0,6,,,
1.38E-05,0,4,,,
1.64E-05,0,7,,,
1.33E-05,0,5,,,
1.46E-05,0,4,,,
1.36E-05,0,4,,,
1.46E-05,0,2,,,
1.28E-05,0,7,,,
2.06E-05,0,4,,,
1.40E-05,0,1,,,
1.16E-05,0,3,,,
1.69E-05,0,1,,,
1.39E-05,0,1,,,
1.13E-05,0,2,,,
1.11E-05,0,0,,,
1.15E-05,0,0,,,
2.21E-05,0,5,,,
2.04E-05,0,10,,,
1.05E-05,0,9,,,
1.17E-05,0,7,,,
1.05E-05,0,7,,,
1.02E-05,0,4,,,
1.04E-05,0,1,,,
1.02E-05,0,2,,,
1.07E-05,0,1,,,
1.03E-05,0,0,,,
1.07E-05,0,2,,,
1.01E-05,0,0,,,
1.04E-05,0,1,,,
1.01E-05,0,2,,,
1.03E-05,0,1,,,
2.62E-05,0,0,,,
1.06E-05,0,0,,,
1.02E-05,0,1,,,
1.03E-05,0,1,,,
1.12E-05,0,2,,,
1.08E-05,0,1,,,
1.03E-05,0,2,,,
1.00E-05,0,0,,,
1.07E-05,0,1,,,
1.64E-05,0,3,,,
1.03E-05,0,4,,,
1.04E-05,0,2,,,
1.04E-05,0,1,,,
1.01E-05,0,0,,,
2.23E-05,0,1,,,
1.02E-05,0,1,,,
1.02E-05,0,2,,,
1.02E-05,0,1,,,
1.34E-05,0,0,,,
1.04E-05,0,1,,,
1.00E-05,0,0,,,
1.00E-05,0,0,,,
1.40E-05,0,2,,,
1.05E-05,0,9,,,
1.10E-05,0,14,,,
1.02E-05,0,13,,,
1.03E-05,0,14,,,
1.03E-05,0,13,,,
1.03E-05,0,19,,,
1.02E-05,0,20,,,
1.04E-05,0,19,,,
1.54E-05,0,21,,,
1.04E-05,0,22,,,
1.20E-05,0,21,,,
1.07E-05,0,23,,,
1.09E-05,0,27,,,
7.80E-05,0,27,,,
1.03E-05,0,25,,,
1.08E-05,0,32,,,
1.03E-05,0,34,,,
1.02E-05,0,34,,,
1.06E-05,0,37,,,
1.04E-05,0,40,,,
1.03E-05,0,39,,,
1.01E-05,0,44,,,
1.00E-05,0,43,,,
1.06E-05,0,44,,,
1.05E-05,0,45,,,
1.01E-05,0,45,,,
1.03E-05,0,46,,,
1.07E-05,0,47,,,
1.02E-05,0,49,,,
1.00E-05,0,48,,,
1.03E-05,0,48,,,
1.20E-05,0,49,,,
1.03E-05,0,50,,,
1.02E-05,0,51,,,
1.05E-05,0,55,,,
1.10E-05,0,54,,,
1.04E-05,0,52,,,
1.10E-05,0,51,,,
2.17E-05,0,52,,,
1.16E-05,0,51,,,
1.43E-05,0,51,,,
1.56E-05,0,48,,,
2.04E-05,0,45,,,
1.13E-05,0,41,,,
1.11E-05,0,40,,,
1.15E-05,0,47,,,
2.58E-05,0,44,,,
1.28E-05,0,43,,,
1.21E-05,0,46,,,
1.03E-05,0,51,,,
1.02E-05,0,50,,,
1.02E-05,0,52,,,
1.41E-05,0,52,,,
1.04E-05,0,53,,,
1.02E-05,0,53,,,
1.07E-05,0,55,,,
1.04E-05,0,55,,,
1.05E-05,0,53,,,
1.05E-05,0,52,,,
1.01E-05,0,58,,,
1.05E-05,0,58,,,
1.06E-05,0,57,,,
1.03E-05,0,56,,,
1.04E-05,0,56,,,
1.01E-05,0,57,,,
1.02E-05,0,56,,,
1.02E-05,0,55,,,
1.05E-05,0,55,,,
1.02E-05,0,56,,,
1.02E-05,0,55,,,
1.09E-05,0,54,,,
1.03E-05,0,53,,,
1.71E-05,0,53,,,
1.13E-05,0,57,,,
1.14E-05,0,57,,,
1.54E-05,0,54,,,
1.62E-05,0,56,,,
1.04E-05,0,53,,,
1.15E-05,0,52,,,
1.03E-05,0,52,,,
1.83E-05,0,56,,,
1.08E-05,0,61,,,
1.04E-05,0,62,,,
1.02E-05,0,60,,,
1.03E-05,0,64,,,
1.04E-05,0,62,,,
1.01E-05,0,60,,,
1.02E-05,0,61,,,
1.28E-05,0,67,,,
1.78E-05,0,65,,,
1.61E-05,0,64,,,
1.16E-05,0,63,,,
1.15E-05,0,63,,,
1.12E-05,0,65,,,
1.14E-05,0,67,,,
1.12E-05,0,74,,,
1.13E-05,0,73,,,
1.13E-05,0,76,,,
1.06E-05,0,76,,,
1.05E-05,0,78,,,
1.05E-05,0,82,,,
1.09E-05,0,80,,,
1.02E-05,0,80,,,
1.07E-05,0,80,,,
1.01E-05,0,79,,,
1.04E-05,0,79,,,
1.02E-05,0,79,,,
1.02E-05,0,79,,,
1.07E-05,0,78,,,
1.14E-05,0,77,,,
1.03E-05,0,77,,,
1.03E-05,0,76,,,
1.00E-05,0,73,,,
1.74E-05,0,72,,,
1.02E-05,0,74,,,
1.02E-05,0,74,,,
1.20E-05,0,68,,,
1.16E-05,0,71,,,
1.12E-05,0,69,,,
1.40E-05,0,73,,,
1.13E-05,0,68,,,
1.15E-05,0,67,,,
1.29E-05,0,71,,,
1.95E-05,0,70,,,
1.10E-05,0,73,,,
1.01E-05,0,72,,,
1.04E-05,0,71,,,
7.41E-05,0,71,,,
1.17E-05,0,68,,,
1.11E-05,0,65,,,
1.48E-05,0,66,,,
1.16E-05,0,73,,,
1.16E-05,0,74,,,
1.14E-05,0,75,,,
1.13E-05,0,82,,,
1.13E-05,0,83,,,
2.02E-05,0,80,,,
1.05E-05,0,86,,,
1.03E-05,0,85,,,
1.21E-05,0,87,,,
