cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
5.00E-07,0,0,2,,,2.79E-02
4.00E-07,0,0,3,,,10000
4.00E-07,0,0,1,,,
4.00E-07,0,0,1,,,
9.00E-07,0,0,1,,,
9.00E-07,2,2,3,,,
6.00E-07,1,1,3,,,
4.00E-07,0,0,3,,,
5.00E-07,0,0,2,,,
5.00E-07,1,1,4,,,
3.00E-07,0,0,4,,,
4.00E-07,1,1,6,,,
5.00E-07,1,1,4,,,
3.00E-07,0,0,4,,,
1.00E-06,2,2,3,,,
6.00E-07,1,1,3,,,
5.00E-07,1,1,3,,,
4.00E-07,0,0,3,,,
6.00E-07,1,1,3,,,
7.00E-07,1,1,4,,,
1.10E-06,5,5,7,,,
8.00E-07,3,3,7,,,
6.00E-07,2,2,6,,,
5.00E-07,0,0,12,,,
1.00E-06,7,7,9,,,
5.00E-07,0,0,14,,,
1.50E-06,10,10,14,,,
2.30E-06,16,16,17,,,
1.30E-06,11,11,16,,,
1.20E-06,11,11,15,,,
1.10E-06,7,7,14,,,
1.10E-06,5,5,15,,,
1.30E-06,10,10,14,,,
6.00E-07,2,2,12,,,
1.60E-06,10,10,13,,,
8.00E-07,5,5,15,,,
7.00E-07,2,2,17,,,
1.30E-06,8,8,19,,,
7.00E-07,3,3,20,,,
1.40E-06,12,12,20,,,
7.00E-07,4,4,20,,,
1.90E-06,16,16,20,,,
1.80E-06,18,18,20,,,
1.00E-06,8,8,19,,,
1.00E-06,2,2,25,,,
2.90E-06,17,17,25,,,
2.60E-06,19,19,23,,,
6.00E-07,1,1,23,,,
1.00E-06,5,5,25,,,
4.00E-07,0,0,25,,,
2.70E-06,23,23,31,,,
6.00E-07,1,1,32,,,
8.00E-07,4,4,27,,,
1.30E-06,13,13,26,,,
1.00E-06,9,9,26,,,
1.00E-06,7,7,23,,,
6.00E-07,2,2,25,,,
1.20E-06,10,10,21,,,
1.70E-06,19,19,25,,,
1.10E-06,9,9,29,,,
6.00E-07,2,2,29,,,
1.10E-06,10,10,31,,,
2.00E-06,22,22,31,,,
6.00E-07,3,3,28,,,
1.00E-06,9,9,33,,,
1.40E-06,15,15,34,,,
2.00E-06,25,25,34,,,
1.00E-06,9,9,35,,,
1.40E-06,15,15,32,,,
7.00E-07,5,5,28,,,
1.70E-06,15,15,29,,,
8.00E-07,6,6,29,,,
1.90E-06,18,18,26,,,
5.00E-07,0,0,34,,,
1.40E-06,12,12,33,,,
2.70E-06,27,27,33,,,
1.00E-06,7,7,34,,,
1.70E-06,9,9,36,,,
1.40E-06,10,10,39,,,
7.00E-07,3,3,39,,,
3.60E-06,34,34,48,,,
2.10E-06,25,25,47,,,
1.40E-06,15,15,48,,,
2.10E-06,21,21,54,,,
1.90E-06,20,20,54,,,
2.60E-06,33,33,54,,,
1.90E-06,16,16,53,,,
8.00E-07,6,6,53,,,
1.10E-06,10,10,52,,,
3.50E-06,27,27,51,,,
2.10E-06,26,26,52,,,
9.00E-07,8,8,52,,,
1.90E-06,23,23,57,,,
1.80E-06,19,19,52,,,
1.50E-06,17,17,48,,,
1.30E-06,13,13,48,,,
1.50E-06,15,15,48,,,
1.90E-06,22,22,48,,,
2.30E-06,30,30,48,,,
1.90E-06,23,23,44,,,
1.50E-06,18,18,46,,,
1.70E-06,15,15,48,,,
9.00E-07,5,5,52,,,
9.00E-07,6,6,47,,,
5.00E-07,2,2,46,,,
1.20E-06,12,12,48,,,
3.50E-06,28,28,49,,,
1.50E-06,17,17,50,,,
5.00E-07,1,1,50,,,
2.70E-06,22,22,46,,,
3.70E-06,47,47,48,,,
8.00E-07,5,5,49,,,
1.60E-06,16,16,52,,,
3.70E-06,49,49,52,,,
9.00E-07,6,6,49,,,
3.50E-06,44,44,49,,,
9.00E-07,7,7,48,,,
3.00E-06,39,39,47,,,
2.10E-06,16,16,49,,,
4.80E-06,38,38,49,,,
5.00E-07,2,2,48,,,
7.00E-07,4,4,51,,,
2.10E-06,25,25,54,,,
4.60E-06,45,45,49,,,
2.80E-06,38,38,50,,,
1.50E-06,17,17,51,,,
2.80E-06,36,36,48,,,
3.40E-06,36,36,47,,,
1.80E-06,15,15,48,,,
6.00E-07,1,1,47,,,
9.00E-07,6,6,49,,,
7.00E-07,2,2,52,,,
8.00E-07,4,4,53,,,
3.30E-06,31,31,54,,,
1.20E-06,9,9,53,,,
2.10E-06,21,21,57,,,
1.30E-06,5,5,58,,,
4.90E-06,26,26,58,,,
4.50E-06,31,31,55,,,
3.40E-06,27,27,61,,,
1.30E-06,13,13,61,,,
3.60E-06,45,45,61,,,
3.50E-06,48,48,61,,,
2.80E-06,22,22,57,,,
1.60E-06,10,10,59,,,
4.70E-06,43,43,58,,,
1.60E-06,12,12,57,,,
1.10E-06,7,7,53,,,
1.20E-06,8,8,53,,,
6.00E-07,3,3,53,,,
9.00E-07,6,6,52,,,
4.00E-07,0,0,50,,,
6.00E-07,2,2,49,,,
1.50E-06,15,15,49,,,
1.00E-06,2,2,49,,,
2.10E-06,23,23,50,,,
1.00E-06,8,8,52,,,
4.00E-07,1,1,53,,,
1.60E-06,13,13,51,,,
1.60E-06,19,19,50,,,
1.30E-06,12,12,48,,,
1.90E-06,24,24,49,,,
9.00E-07,8,8,46,,,
5.00E-07,3,3,46,,,
5.00E-07,1,1,45,,,
2.30E-06,28,28,45,,,
7.00E-07,5,5,45,,,
7.00E-07,4,4,44,,,
4.00E-07,0,0,43,,,
1.10E-06,10,10,44,,,
2.20E-06,23,23,39,,,
5.00E-07,2,2,38,,,
1.10E-06,11,11,38,,,
2.40E-06,31,31,38,,,
2.80E-06,38,38,39,,,
1.40E-06,17,17,40,,,
9.00E-07,5,5,38,,,
1.70E-06,19,19,32,,,
5.00E-07,0,0,31,,,
1.60E-06,16,16,30,,,
2.10E-06,25,25,30,,,
6.00E-07,3,3,23,,,
5.00E-07,2,2,21,,,
4.00E-07,2,2,20,,,
1.30E-06,12,12,20,,,
7.00E-07,4,4,17,,,
1.70E-06,12,12,18,,,
1.80E-06,11,11,14,,,
1.40E-06,15,15,16,,,
4.00E-07,0,0,16,,,
1.40E-06,8,8,14,,,
5.00E-07,1,1,16,,,
6.00E-07,3,3,14,,,
1.30E-06,8,8,10,,,
4.00E-07,1,1,8,,,
1.20E-06,7,7,9,,,
9.00E-07,7,7,9,,,
3.00E-07,0,0,8,,,
5.00E-07,2,2,8,,,
7.00E-07,5,5,6,,,
4.00E-07,1,1,6,,,
4.00E-07,0,0,8,,,
7.00E-07,4,4,7,,,
5.00E-07,3,3,7,,,
9.00E-07,9,9,11,,,
9.00E-07,9,9,11,,,
3.00E-07,0,0,10,,,
5.00E-07,0,0,12,,,
5.00E-07,1,1,13,,,
3.00E-07,0,0,13,,,
4.00E-07,1,1,16,,,
1.00E-06,10,10,16,,,
8.00E-07,6,6,13,,,
6.00E-07,2,2,11,,,
5.00E-07,1,1,6,,,
7.00E-07,4,4,5,,,
6.00E-07,3,3,5,,,
5.00E-07,3,3,4,,,
1.00E-06,7,7,11,,,
4.00E-07,1,1,11,,,
5.00E-07,3,3,11,,,
5.00E-07,1,1,13,,,
4.00E-07,2,2,12,,,
8.00E-07,7,7,12,,,
7.00E-07,5,5,9,,,
3.00E-07,0,0,9,,,
3.00E-07,0,0,7,,,
4.00E-07,2,2,6,,,
3.00E-07,0,0,5,,,
4.00E-07,0,0,1,,,
3.00E-07,0,0,1,,,
4.00E-07,1,1,3,,,
5.00E-07,2,2,3,,,
4.00E-07,0,0,2,,,
5.00E-07,1,1,3,,,
8.00E-07,6,6,7,,,
1.00E-06,6,6,7,,,
7.00E-07,2,2,8,,,
1.00E-06,6,6,8,,,
3.00E-07,0,0,7,,,
6.00E-07,4,4,8,,,
1.20E-06,7,7,8,,,
8.00E-07,4,4,7,,,
5.00E-07,1,1,8,,,
9.00E-07,3,3,8,,,
7.00E-07,2,2,7,,,
1.10E-06,4,4,6,,,
7.00E-07,5,5,6,,,
1.00E-06,7,7,12,,,
6.00E-07,2,2,12,,,
1.20E-06,8,8,12,,,
2.60E-06,8,8,12,,,
8.00E-07,2,2,12,,,
7.00E-07,4,4,16,,,
1.30E-06,12,12,15,,,
1.00E-06,10,10,18,,,
1.40E-06,14,14,18,,,
1.10E-06,11,11,20,,,
8.00E-07,4,4,24,,,
2.20E-06,16,16,23,,,
1.60E-06,16,16,24,,,
6.00E-07,1,1,24,,,
6.00E-07,3,3,21,,,
1.10E-06,8,8,21,,,
8.00E-07,5,5,21,,,
1.40E-06,13,13,17,,,
1.30E-06,13,13,18,,,
9.00E-07,6,6,13,,,
7.00E-07,5,5,11,,,
8.00E-07,5,5,12,,,
8.00E-07,5,5,12,,,
7.00E-07,4,4,12,,,
6.00E-07,3,3,11,,,
4.00E-07,0,0,10,,,
1.90E-06,5,5,10,,,
5.00E-07,1,1,8,,,
1.10E-06,6,6,9,,,
7.00E-07,1,1,9,,,
6.00E-07,3,3,8,,,
1.50E-06,1,1,2,,,
6.00E-07,1,1,2,,,
5.00E-07,0,0,1,,,
4.00E-07,0,0,1,,,
3.00E-07,0,0,1,,,
5.00E-07,1,1,3,,,
4.00E-07,0,0,3,,,
7.00E-07,4,4,6,,,
7.00E-07,4,4,9,,,
5.00E-07,1,1,7,,,
3.00E-07,0,0,7,,,
5.00E-07,1,1,4,,,
4.00E-07,0,0,1,,,
6.00E-07,2,2,3,,,
7.00E-07,3,3,6,,,
5.00E-07,2,2,3,,,
5.00E-07,0,0,1,,,
7.00E-07,1,1,2,,,
5.00E-07,0,0,1,,,
4.00E-07,0,0,1,,,
1.20E-06,5,5,7,,,
1.20E-06,4,4,8,,,
6.00E-07,2,2,10,,,
7.00E-07,3,3,7,,,
6.00E-07,3,3,5,,,
4.00E-07,0,0,1,,,
4.00E-07,0,0,2,,,
4.00E-07,0,0,4,,,
5.00E-07,0,0,5,,,
9.00E-07,2,2,5,,,
7.00E-07,4,4,6,,,
1.00E-06,9,9,10,,,
4.00E-07,1,1,11,,,
5.00E-07,1,1,11,,,
8.00E-07,4,4,11,,,
7.00E-07,4,4,10,,,
8.00E-07,5,5,10,,,
6.00E-07,1,1,10,,,
5.00E-07,2,2,10,,,
9.00E-07,6,6,10,,,
9.00E-07,6,6,11,,,
9.00E-07,7,7,11,,,
8.00E-07,5,5,8,,,
9.00E-07,6,6,11,,,
7.00E-07,3,3,11,,,
4.00E-07,0,0,14,,,
2.10E-06,15,15,16,,,
1.00E-06,6,6,16,,,
9.00E-07,6,6,18,,,
9.00E-07,7,7,17,,,
9.00E-07,7,7,15,,,
1.20E-06,12,12,15,,,
7.00E-07,3,3,13,,,
1.70E-06,9,9,13,,,
8.00E-07,5,5,10,,,
4.00E-07,0,0,15,,,
1.20E-06,12,12,17,,,
7.00E-07,4,4,18,,,
1.30E-06,11,11,15,,,
4.00E-07,0,0,15,,,
5.00E-07,1,1,17,,,
1.40E-06,15,15,16,,,
4.00E-07,0,0,16,,,
9.00E-07,5,5,16,,,
6.00E-07,2,2,11,,,
1.10E-06,9,9,11,,,
4.00E-07,1,1,10,,,
7.00E-07,3,3,4,,,
7.00E-07,3,3,4,,,
5.00E-07,1,1,2,,,
5.00E-07,0,0,1,,,
6.00E-07,2,2,3,,,
4.00E-07,0,0,3,,,
3.00E-07,0,0,9,,,
7.00E-07,3,3,6,,,
5.00E-07,0,0,7,,,
7.00E-07,3,3,7,,,
7.00E-07,4,4,6,,,
4.00E-07,0,0,2,,,
5.00E-07,1,1,2,,,
6.00E-07,0,0,1,,,
6.00E-07,0,0,2,,,
6.00E-07,2,2,5,,,
4.00E-07,0,0,6,,,
