cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.82E-05,85,0,4,,,2.12E-01
1.80E-05,78,1,3,,,10008
1.80E-05,79,0,3,,,
3.39E-05,80,0,2,,,
2.47E-05,76,1,3,,,
2.92E-05,85,0,1,,,
2.31E-05,73,0,1,,,
2.16E-05,73,0,4,,,
2.18E-05,90,1,3,,,
2.30E-05,74,1,3,,,
2.37E-05,78,3,5,,,
2.28E-05,77,1,6,,,
2.79E-05,75,0,4,,,
2.24E-05,81,1,4,,,
9.57E-05,73,1,7,,,
1.83E-05,73,3,5,,,
1.84E-05,84,3,10,,,
2.68E-05,74,5,15,,,
2.88E-05,84,9,16,,,
2.81E-05,72,11,18,,,
2.63E-05,72,10,17,,,
2.31E-05,78,14,18,,,
2.31E-05,78,17,21,,,
1.86E-05,81,14,18,,,
1.89E-05,73,7,15,,,
1.82E-05,72,8,12,,,
1.84E-05,73,10,15,,,
1.83E-05,88,1,16,,,
1.81E-05,75,4,15,,,
2.25E-05,80,5,14,,,
2.36E-05,82,1,15,,,
2.32E-05,73,5,15,,,
2.29E-05,75,0,14,,,
2.36E-05,78,4,14,,,
4.07E-05,79,8,16,,,
3.98E-05,80,2,17,,,
3.84E-05,75,0,19,,,
3.89E-05,72,16,19,,,
3.80E-05,85,16,18,,,
3.77E-05,86,0,19,,,
2.45E-05,82,15,19,,,
2.32E-05,80,10,19,,,
2.33E-05,74,8,20,,,
2.35E-05,81,9,20,,,
2.43E-05,87,15,21,,,
2.53E-05,86,3,24,,,
2.42E-05,80,18,22,,,
2.42E-05,79,3,22,,,
2.53E-05,76,2,24,,,
3.03E-05,82,8,26,,,
3.35E-05,76,29,31,,,
3.45E-05,76,13,30,,,
2.41E-05,89,11,29,,,
1.95E-05,84,14,29,,,
1.88E-05,77,9,30,,,
1.85E-05,71,24,30,,,
1.82E-05,76,4,26,,,
2.02E-05,83,7,27,,,
1.85E-05,71,6,29,,,
3.17E-05,86,7,28,,,
1.86E-05,79,6,31,,,
1.90E-05,81,13,31,,,
1.90E-05,81,15,25,,,
1.85E-05,83,12,25,,,
1.81E-05,72,5,26,,,
1.81E-05,82,2,26,,,
1.86E-05,82,22,24,,,
1.89E-05,79,13,24,,,
1.83E-05,78,7,23,,,
1.85E-05,83,5,30,,,
1.84E-05,82,19,29,,,
1.85E-05,79,13,29,,,
1.92E-05,71,10,32,,,
1.94E-05,71,3,31,,,
1.83E-05,73,7,31,,,
1.82E-05,82,3,29,,,
1.86E-05,85,9,30,,,
1.87E-05,80,3,33,,,
1.83E-05,83,10,34,,,
1.84E-05,89,12,34,,,
1.88E-05,71,25,36,,,
1.81E-05,82,27,35,,,
1.85E-05,87,10,34,,,
1.84E-05,77,7,32,,,
1.83E-05,75,7,30,,,
1.83E-05,88,21,29,,,
1.86E-05,90,14,28,,,
1.91E-05,88,10,26,,,
1.87E-05,88,9,28,,,
2.84E-05,82,18,33,,,
2.35E-05,76,25,35,,,
1.83E-05,85,0,33,,,
1.84E-05,82,26,32,,,
1.87E-05,90,9,31,,,
1.85E-05,71,17,31,,,
1.86E-05,78,22,31,,,
1.83E-05,72,30,32,,,
1.86E-05,79,10,39,,,
2.88E-05,71,31,41,,,
1.89E-05,88,21,39,,,
1.86E-05,79,10,39,,,
1.89E-05,89,16,38,,,
2.78E-05,76,20,43,,,
2.14E-05,89,5,53,,,
1.93E-05,74,25,54,,,
1.90E-05,73,19,58,,,
2.64E-05,89,4,57,,,
1.89E-05,88,34,52,,,
1.83E-05,85,3,52,,,
1.91E-05,77,18,54,,,
1.91E-05,89,35,56,,,
1.98E-05,71,22,49,,,
1.83E-05,77,7,47,,,
1.85E-05,89,30,44,,,
1.89E-05,87,17,52,,,
2.18E-05,77,48,52,,,
1.89E-05,74,20,46,,,
3.38E-05,73,17,47,,,
1.82E-05,89,0,52,,,
1.79E-05,85,0,48,,,
1.87E-05,74,31,46,,,
2.21E-05,90,10,47,,,
1.84E-05,71,38,46,,,
1.89E-05,89,24,49,,,
1.88E-05,79,22,50,,,
1.89E-05,82,19,50,,,
1.88E-05,77,23,50,,,
1.91E-05,73,22,52,,,
1.87E-05,86,10,52,,,
1.90E-05,73,10,51,,,
1.87E-05,90,12,48,,,
1.84E-05,82,40,46,,,
2.62E-05,71,12,48,,,
2.60E-05,86,13,48,,,
1.88E-05,73,33,49,,,
1.82E-05,84,41,49,,,
1.85E-05,76,12,52,,,
1.82E-05,78,7,54,,,
1.87E-05,85,34,53,,,
1.83E-05,89,43,49,,,
1.80E-05,84,45,48,,,
1.91E-05,90,24,51,,,
2.06E-05,80,30,50,,,
1.84E-05,80,10,50,,,
1.91E-05,88,32,52,,,
1.85E-05,75,32,51,,,
2.14E-05,77,12,48,,,
2.11E-05,74,16,49,,,
2.79E-05,88,4,51,,,
8.71E-05,88,6,51,,,
3.23E-05,78,20,52,,,
2.11E-05,86,5,54,,,
2.16E-05,74,20,53,,,
2.89E-05,78,22,58,,,
2.79E-05,75,29,58,,,
2.12E-05,84,27,59,,,
2.62E-05,77,1,61,,,
3.12E-05,86,20,56,,,
2.64E-05,86,37,56,,,
2.85E-05,81,26,57,,,
1.89E-05,71,19,58,,,
1.99E-05,75,4,53,,,
1.91E-05,88,40,53,,,
1.88E-05,81,10,50,,,
1.80E-05,89,36,54,,,
1.82E-05,87,32,48,,,
1.78E-05,87,34,51,,,
3.12E-05,80,29,45,,,
1.77E-05,85,27,45,,,
3.55E-05,84,31,41,,,
1.74E-05,72,0,38,,,
1.81E-05,78,22,39,,,
1.79E-05,73,23,39,,,
1.72E-05,72,35,39,,,
1.96E-05,86,14,39,,,
1.72E-05,88,3,37,,,
1.79E-05,79,16,36,,,
1.76E-05,90,11,34,,,
1.77E-05,80,13,34,,,
1.78E-05,84,15,30,,,
1.95E-05,79,8,32,,,
1.79E-05,85,11,31,,,
1.89E-05,72,22,28,,,
1.79E-05,85,11,27,,,
1.72E-05,76,1,24,,,
1.74E-05,80,7,24,,,
1.89E-05,84,13,23,,,
2.42E-05,83,6,20,,,
1.73E-05,86,2,20,,,
2.01E-05,80,17,19,,,
2.09E-05,83,9,17,,,
1.87E-05,88,2,17,,,
1.81E-05,87,2,15,,,
2.52E-05,75,10,14,,,
1.87E-05,74,12,14,,,
1.84E-05,76,8,14,,,
1.83E-05,86,14,16,,,
1.83E-05,80,12,16,,,
1.72E-05,71,1,13,,,
1.71E-05,85,1,10,,,
1.72E-05,71,8,10,,,
1.82E-05,74,3,7,,,
2.13E-05,78,2,10,,,
1.80E-05,77,1,10,,,
1.72E-05,77,0,6,,,
1.78E-05,74,1,6,,,
2.67E-05,78,4,6,,,
1.76E-05,81,4,9,,,
1.75E-05,73,4,9,,,
1.74E-05,82,6,8,,,
1.74E-05,83,1,8,,,
1.71E-05,84,0,5,,,
1.72E-05,81,2,5,,,
1.71E-05,75,0,6,,,
1.75E-05,82,2,8,,,
1.72E-05,80,0,7,,,
1.75E-05,73,0,9,,,
1.73E-05,79,2,10,,,
1.74E-05,87,2,11,,,
1.72E-05,78,2,13,,,
1.74E-05,72,8,12,,,
1.75E-05,82,7,14,,,
1.73E-05,71,8,15,,,
1.75E-05,86,7,12,,,
1.81E-05,80,4,13,,,
2.20E-05,86,8,12,,,
2.45E-05,74,2,4,,,
1.73E-05,89,1,5,,,
2.13E-05,90,10,12,,,
1.72E-05,82,2,8,,,
1.79E-05,85,2,5,,,
1.80E-05,89,1,3,,,
1.72E-05,89,0,1,,,
1.73E-05,73,1,8,,,
1.73E-05,73,2,7,,,
1.76E-05,82,0,9,,,
7.47E-05,73,3,7,,,
1.77E-05,76,0,8,,,
1.74E-05,72,4,7,,,
1.85E-05,71,2,8,,,
1.72E-05,88,4,8,,,
1.68E-05,74,0,8,,,
2.07E-05,71,2,9,,,
1.72E-05,76,1,4,,,
1.76E-05,74,3,7,,,
3.17E-05,80,8,12,,,
3.64E-05,82,8,12,,,
1.84E-05,88,5,12,,,
1.81E-05,83,4,12,,,
1.85E-05,85,9,12,,,
2.61E-05,85,1,11,,,
2.30E-05,83,1,16,,,
1.77E-05,77,8,18,,,
1.75E-05,81,12,18,,,
1.74E-05,79,1,21,,,
1.92E-05,87,3,20,,,
2.23E-05,71,18,20,,,
1.84E-05,79,2,21,,,
1.86E-05,86,14,24,,,
1.88E-05,86,10,24,,,
1.89E-05,80,11,23,,,
1.94E-05,75,5,21,,,
1.84E-05,79,11,18,,,
1.90E-05,89,2,17,,,
1.83E-05,77,0,14,,,
1.87E-05,84,3,14,,,
1.83E-05,82,7,12,,,
1.82E-05,71,5,12,,,
2.20E-05,89,4,10,,,
1.84E-05,79,4,10,,,
1.81E-05,76,2,11,,,
1.80E-05,81,2,11,,,
1.82E-05,89,8,11,,,
1.86E-05,81,4,10,,,
