cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
3.13E-05,13,0,2,,,2.13E-01
2.66E-05,23,0,1,,,9992
3.81E-05,28,0,2,,,
2.42E-05,80,0,2,,,
2.87E-05,23,0,2,,,
2.76E-05,33,0,1,,,
2.23E-05,73,1,4,,,
1.81E-05,90,1,3,,,
1.80E-05,21,0,1,,,
2.06E-05,34,4,6,,,
2.23E-05,1,0,6,,,
2.27E-05,77,1,4,,,
2.18E-05,6,2,4,,,
2.68E-05,7,0,4,,,
1.77E-05,34,3,9,,,
2.47E-05,18,3,14,,,
2.54E-05,84,9,18,,,
2.57E-05,4,0,18,,,
2.90E-05,72,11,17,,,
2.26E-05,14,12,21,,,
2.33E-05,11,1,21,,,
3.03E-05,18,3,18,,,
2.65E-05,13,4,16,,,
1.80E-05,72,8,15,,,
1.78E-05,14,13,15,,,
1.78E-05,14,13,15,,,
1.77E-05,88,0,15,,,
1.83E-05,26,7,14,,,
2.14E-05,75,7,14,,,
2.21E-05,88,0,13,,,
2.16E-05,73,3,13,,,
2.25E-05,13,7,16,,,
1.79E-05,81,10,15,,,
1.81E-05,75,10,16,,,
2.77E-05,80,3,20,,,
2.25E-05,12,7,20,,,
2.31E-05,88,2,20,,,
2.26E-05,19,0,20,,,
3.31E-05,31,16,23,,,
2.26E-05,8,1,26,,,
3.88E-05,23,27,31,,,
3.21E-05,28,7,31,,,
1.88E-05,76,12,29,,,
1.83E-05,84,12,27,,,
1.81E-05,14,3,25,,,
1.80E-05,18,22,30,,,
1.82E-05,83,10,30,,,
1.79E-05,22,24,30,,,
1.84E-05,77,11,26,,,
1.86E-05,83,12,25,,,
1.77E-05,32,1,26,,,
2.33E-05,31,14,28,,,
1.82E-05,12,25,30,,,
1.84E-05,77,11,29,,,
1.85E-05,8,18,30,,,
2.20E-05,9,5,30,,,
1.81E-05,9,6,28,,,
1.82E-05,27,28,36,,,
1.78E-05,73,4,35,,,
1.79E-05,77,4,30,,,
2.24E-05,7,23,29,,,
2.22E-05,82,20,31,,,
2.64E-05,34,0,31,,,
1.86E-05,71,16,29,,,
1.82E-05,12,17,28,,,
2.22E-05,82,19,33,,,
1.81E-05,16,30,33,,,
1.82E-05,32,28,33,,,
1.94E-05,6,23,34,,,
8.70E-05,78,21,34,,,
2.53E-05,31,17,34,,,
2.31E-05,82,15,34,,,
1.88E-05,17,12,34,,,
1.86E-05,71,18,41,,,
1.80E-05,32,30,40,,,
8.85E-05,12,12,39,,,
2.89E-05,7,24,39,,,
1.81E-05,16,2,39,,,
1.85E-05,18,16,39,,,
4.62E-05,29,18,43,,,
2.63E-05,12,7,45,,,
2.51E-05,4,0,46,,,
1.98E-05,16,39,47,,,
1.96E-05,89,25,54,,,
1.88E-05,82,33,54,,,
2.05E-05,6,35,56,,,
2.01E-05,89,3,56,,,
2.25E-05,12,26,54,,,
1.82E-05,28,34,53,,,
1.89E-05,29,21,51,,,
1.83E-05,24,10,51,,,
1.84E-05,88,15,52,,,
1.77E-05,17,0,52,,,
2.80E-05,12,27,55,,,
1.84E-05,28,35,57,,,
1.82E-05,71,35,50,,,
1.89E-05,88,25,50,,,
1.84E-05,18,20,48,,,
1.80E-05,25,49,52,,,
1.84E-05,74,20,47,,,
1.80E-05,3,38,44,,,
2.49E-05,24,8,48,,,
1.99E-05,12,5,48,,,
1.83E-05,71,30,46,,,
1.81E-05,73,3,47,,,
1.81E-05,27,39,50,,,
1.88E-05,7,24,51,,,
1.83E-05,73,15,47,,,
1.79E-05,3,35,46,,,
1.81E-05,72,33,45,,,
1.77E-05,10,42,46,,,
2.26E-05,74,12,46,,,
1.81E-05,79,1,46,,,
1.83E-05,74,17,46,,,
1.81E-05,7,8,46,,,
1.85E-05,34,32,51,,,
1.85E-05,6,28,51,,,
1.81E-05,20,38,49,,,
1.79E-05,17,40,47,,,
1.87E-05,87,8,48,,,
1.85E-05,25,25,49,,,
1.76E-05,77,0,54,,,
1.86E-05,11,23,49,,,
1.80E-05,25,34,49,,,
2.97E-05,32,45,52,,,
3.16E-05,4,37,51,,,
8.55E-05,84,39,51,,,
2.98E-05,80,31,51,,,
8.63E-05,28,22,51,,,
3.59E-05,1,50,52,,,
2.10E-05,88,5,52,,,
2.12E-05,84,43,56,,,
2.11E-05,4,41,58,,,
2.44E-05,77,18,54,,,
2.45E-05,20,41,55,,,
2.16E-05,28,54,56,,,
2.28E-05,11,30,55,,,
2.02E-05,71,27,56,,,
1.83E-05,17,9,56,,,
2.90E-05,77,20,58,,,
3.27E-05,28,27,58,,,
1.80E-05,89,53,60,,,
2.23E-05,26,55,61,,,
3.14E-05,14,19,58,,,
2.52E-05,23,4,57,,,
2.62E-05,81,28,60,,,
2.55E-05,20,15,59,,,
2.54E-05,81,27,58,,,
1.83E-05,89,51,58,,,
1.77E-05,7,0,54,,,
2.87E-05,30,1,55,,,
1.81E-05,71,6,54,,,
1.86E-05,21,37,54,,,
1.87E-05,28,23,50,,,
2.55E-05,13,30,49,,,
2.48E-05,13,30,49,,,
1.98E-05,11,32,50,,,
1.71E-05,35,41,52,,,
1.75E-05,19,9,50,,,
1.77E-05,32,29,47,,,
1.70E-05,4,43,47,,,
1.73E-05,81,11,46,,,
2.04E-05,14,16,45,,,
1.74E-05,11,29,46,,,
1.76E-05,25,7,44,,,
1.75E-05,35,37,44,,,
1.72E-05,86,33,41,,,
1.78E-05,16,21,41,,,
2.30E-05,18,15,42,,,
2.19E-05,80,34,39,,,
1.73E-05,11,33,39,,,
1.74E-05,10,26,39,,,
1.77E-05,32,23,39,,,
1.70E-05,71,3,39,,,
1.72E-05,11,31,37,,,
2.72E-05,16,19,39,,,
1.72E-05,11,1,38,,,
1.75E-05,84,17,39,,,
1.71E-05,11,30,38,,,
1.73E-05,6,7,37,,,
1.78E-05,28,18,39,,,
3.56E-05,78,20,38,,,
1.70E-05,33,26,37,,,
1.78E-05,10,27,35,,,
1.69E-05,35,29,35,,,
1.71E-05,80,25,33,,,
1.73E-05,18,30,33,,,
1.75E-05,9,30,33,,,
1.71E-05,81,6,29,,,
1.74E-05,35,26,31,,,
1.77E-05,90,18,30,,,
1.71E-05,72,17,20,,,
1.72E-05,10,7,18,,,
1.84E-05,80,13,15,,,
1.82E-05,10,4,15,,,
1.84E-05,84,8,16,,,
1.83E-05,33,2,15,,,
1.80E-05,76,9,16,,,
2.59E-05,76,10,14,,,
2.50E-05,88,2,15,,,
1.69E-05,80,11,14,,,
1.88E-05,84,3,8,,,
1.82E-05,23,5,9,,,
7.47E-05,5,2,9,,,
4.35E-05,6,0,9,,,
1.88E-05,84,4,8,,,
1.80E-05,17,6,8,,,
1.77E-05,23,4,7,,,
1.81E-05,6,2,7,,,
1.76E-05,21,1,7,,,
1.79E-05,4,1,9,,,
2.10E-05,2,0,9,,,
1.71E-05,81,4,9,,,
1.72E-05,73,4,8,,,
1.67E-05,33,4,6,,,
1.69E-05,81,2,5,,,
1.71E-05,33,5,7,,,
1.68E-05,81,3,5,,,
1.72E-05,32,1,11,,,
1.71E-05,11,6,17,,,
1.71E-05,72,10,16,,,
1.70E-05,72,8,13,,,
1.71E-05,16,10,12,,,
1.71E-05,71,7,14,,,
1.67E-05,9,0,11,,,
1.70E-05,17,2,4,,,
1.69E-05,25,0,2,,,
1.70E-05,2,1,5,,,
1.68E-05,3,0,5,,,
1.70E-05,1,3,7,,,
1.71E-05,29,8,11,,,
1.71E-05,29,7,12,,,
1.73E-05,29,7,12,,,
1.71E-05,29,7,12,,,
1.71E-05,29,3,8,,,
1.80E-05,85,1,3,,,
1.74E-05,85,0,1,,,
1.72E-05,85,1,3,,,
1.71E-05,6,0,1,,,
1.72E-05,7,0,1,,,
1.71E-05,1,3,5,,,
1.69E-05,73,1,7,,,
1.72E-05,73,4,9,,,
1.92E-05,1,7,9,,,
1.69E-05,82,1,8,,,
1.69E-05,73,4,8,,,
1.72E-05,24,2,8,,,
1.91E-05,88,4,9,,,
1.82E-05,8,7,9,,,
3.41E-05,26,3,8,,,
1.72E-05,18,1,5,,,
1.75E-05,8,5,12,,,
1.70E-05,14,6,11,,,
1.70E-05,19,7,12,,,
1.70E-05,24,10,13,,,
1.70E-05,3,10,12,,,
1.68E-05,9,0,12,,,
1.81E-05,9,0,12,,,
1.74E-05,33,0,11,,,
1.90E-05,6,5,14,,,
2.02E-05,6,6,16,,,
1.83E-05,17,8,15,,,
1.79E-05,29,13,15,,,
1.77E-05,1,0,18,,,
1.73E-05,3,12,17,,,
1.72E-05,85,9,18,,,
1.75E-05,77,8,18,,,
1.70E-05,74,6,17,,,
1.72E-05,29,11,17,,,
1.71E-05,6,6,20,,,
1.81E-05,7,11,20,,,
1.85E-05,74,8,22,,,
1.80E-05,28,19,24,,,
2.81E-05,5,19,24,,,
1.79E-05,4,4,13,,,
1.80E-05,80,5,12,,,
1.82E-05,89,2,13,,,
1.80E-05,89,5,12,,,
1.80E-05,77,2,11,,,
1.77E-05,71,3,9,,,
1.78E-05,77,3,10,,,
1.83E-05,77,0,8,,,
2.29E-05,20,6,9,,,
1.83E-05,34,0,2,,,
1.79E-05,34,1,3,,,
1.82E-05,28,0,1,,,
1.78E-05,72,0,1,,,
1.77E-05,72,0,1,,,
1.80E-05,11,0,1,,,
1.76E-05,83,0,3,,,
1.79E-05,17,3,7,,,
1.77E-05,35,2,7,,,
1.76E-05,34,0,7,,,
1.82E-05,19,0,1,,,
1.78E-05,35,0,3,,,
1.78E-05,19,0,1,,,
1.79E-05,21,2,4,,,
1.89E-05,21,2,4,,,
1.79E-05,22,3,5,,,
1.75E-05,29,0,1,,,
1.77E-05,22,0,1,,,
1.77E-05,13,0,2,,,
1.78E-05,81,0,1,,,
1.77E-05,4,0,1,,,
1.76E-05,4,0,1,,,
1.78E-05,4,0,1,,,
1.82E-05,84,0,1,,,
5.52E-05,10,0,1,,,
1.79E-05,18,0,1,,,
1.80E-05,24,0,2,,,
1.76E-05,24,0,2,,,
1.80E-05,26,3,6,,,
2.36E-05,5,4,7,,,
1.78E-05,1,7,11,,,
2.19E-05,4,7,10,,,
