cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
4.20E-06,15,0,1,,,2.47E-01
1.80E-05,27,0,2,,,11617
1.07E-05,32,0,3,,,
1.07E-05,9,0,2,,,
1.50E-06,14,0,1,,,
1.40E-06,23,0,1,,,
1.75E-05,13,0,2,,,
1.40E-05,28,0,2,,,
1.50E-06,12,0,1,,,
3.70E-06,22,0,1,,,
2.30E-06,30,0,1,,,
1.59E-05,6,0,2,,,
2.32E-05,1,1,4,,,
1.20E-05,25,0,5,,,
1.90E-06,10,0,1,,,
1.35E-05,11,0,2,,,
1.53E-05,28,0,3,,,
2.40E-05,28,1,4,,,
1.37E-05,30,0,4,,,
2.51E-05,29,1,4,,,
2.14E-05,2,2,6,,,
0.0002348,1,3,7,,,
3.34E-05,31,4,8,,,
3.69E-05,34,3,7,,,
1.89E-05,30,1,6,,,
3.21E-05,28,5,10,,,
1.87E-05,5,2,10,,,
1.84E-05,1,7,11,,,
2.55E-05,23,4,15,,,
2.32E-05,13,17,20,,,
2.05E-05,34,14,16,,,
1.43E-05,19,0,17,,,
1.86E-05,23,5,18,,,
2.26E-05,17,9,19,,,
1.83E-05,3,12,15,,,
3.59E-05,10,2,14,,,
2.38E-05,28,1,15,,,
2.38E-05,30,6,15,,,
2.92E-05,18,2,15,,,
2.28E-05,33,10,13,,,
2.32E-05,34,10,14,,,
1.26E-05,19,0,17,,,
1.83E-05,28,13,15,,,
5.77E-05,12,5,17,,,
2.60E-05,19,3,17,,,
1.11E-05,27,0,16,,,
1.87E-05,31,10,17,,,
4.19E-05,18,9,17,,,
4.17E-05,2,4,18,,,
3.97E-05,19,9,19,,,
1.88E-05,18,12,20,,,
2.37E-05,3,4,21,,,
1.86E-05,7,2,20,,,
2.72E-05,11,13,22,,,
2.49E-05,12,11,23,,,
2.53E-05,30,12,25,,,
2.51E-05,25,13,26,,,
2.76E-05,22,17,26,,,
2.83E-05,23,24,27,,,
2.81E-05,10,15,23,,,
2.72E-05,7,6,26,,,
2.50E-05,29,23,32,,,
3.75E-05,15,26,30,,,
1.89E-05,15,23,30,,,
1.84E-05,14,2,27,,,
2.78E-05,27,7,27,,,
1.86E-05,22,19,30,,,
1.96E-05,21,20,24,,,
1.84E-05,9,6,25,,,
1.84E-05,12,18,26,,,
1.88E-05,31,9,22,,,
1.86E-05,24,11,22,,,
1.09E-05,13,0,23,,,
1.89E-05,17,14,25,,,
1.87E-05,6,14,25,,,
1.86E-05,27,12,27,,,
1.83E-05,16,1,28,,,
2.10E-05,8,17,29,,,
1.84E-05,29,5,29,,,
1.89E-05,22,15,30,,,
1.87E-05,11,9,31,,,
1.87E-05,18,9,30,,,
2.26E-05,25,20,32,,,
1.13E-05,1,0,32,,,
1.85E-05,5,29,31,,,
1.88E-05,15,15,29,,,
1.86E-05,22,14,30,,,
1.84E-05,27,28,30,,,
1.85E-05,5,27,31,,,
1.83E-05,31,2,35,,,
1.88E-05,4,15,36,,,
2.11E-05,28,28,38,,,
1.88E-05,28,25,36,,,
1.06E-05,31,0,36,,,
1.96E-05,33,5,30,,,
1.82E-05,34,24,28,,,
1.86E-05,8,7,29,,,
1.90E-05,31,20,32,,,
1.95E-05,4,3,34,,,
1.88E-05,22,10,33,,,
2.30E-05,34,5,35,,,
1.91E-05,27,17,33,,,
1.85E-05,18,26,32,,,
1.89E-05,17,14,32,,,
1.82E-05,16,1,31,,,
1.88E-05,18,16,31,,,
1.88E-05,21,18,33,,,
2.81E-05,12,29,35,,,
4.55E-05,29,14,37,,,
2.01E-05,4,19,39,,,
1.89E-05,27,34,38,,,
1.91E-05,26,10,39,,,
1.88E-05,10,27,40,,,
1.85E-05,12,1,41,,,
1.89E-05,13,30,38,,,
1.07E-05,29,0,39,,,
2.26E-05,25,31,44,,,
2.45E-05,28,6,45,,,
2.03E-05,1,5,47,,,
1.84E-05,4,4,48,,,
1.92E-05,2,20,52,,,
1.84E-05,8,7,55,,,
1.88E-05,24,7,58,,,
1.90E-05,27,31,57,,,
2.04E-05,35,11,57,,,
2.02E-05,7,24,57,,,
1.91E-05,28,36,57,,,
1.85E-05,26,47,52,,,
1.93E-05,1,20,53,,,
1.92E-05,25,20,54,,,
1.90E-05,27,38,57,,,
1.85E-05,32,4,58,,,
1.99E-05,23,42,56,,,
1.82E-05,1,2,48,,,
1.90E-05,3,16,49,,,
1.85E-05,11,3,51,,,
1.97E-05,15,30,47,,,
1.95E-05,18,24,49,,,
1.89E-05,35,22,45,,,
1.83E-05,10,44,47,,,
2.52E-05,25,36,49,,,
2.05E-05,5,18,50,,,
1.99E-05,19,27,51,,,
1.87E-05,17,47,52,,,
1.90E-05,33,30,47,,,
1.85E-05,33,38,45,,,
1.86E-05,34,4,46,,,
1.85E-05,10,46,48,,,
1.86E-05,19,10,47,,,
2.10E-05,6,42,48,,,
1.87E-05,28,37,49,,,
1.91E-05,30,12,50,,,
1.89E-05,20,41,52,,,
1.89E-05,29,33,46,,,
2.99E-05,19,15,47,,,
1.92E-05,21,16,47,,,
1.82E-05,12,46,48,,,
1.89E-05,3,15,50,,,
1.96E-05,25,21,51,,,
1.85E-05,10,40,51,,,
1.91E-05,11,31,49,,,
1.85E-05,3,45,48,,,
1.87E-05,11,36,49,,,
1.85E-05,2,41,47,,,
1.93E-05,23,23,48,,,
1.87E-05,5,34,48,,,
1.87E-05,9,11,49,,,
1.88E-05,25,36,50,,,
1.87E-05,15,36,50,,,
1.82E-05,2,1,50,,,
1.90E-05,32,29,52,,,
1.94E-05,28,26,55,,,
1.91E-05,19,12,54,,,
1.88E-05,22,35,55,,,
1.88E-05,13,10,49,,,
1.88E-05,35,33,50,,,
2.29E-05,30,12,51,,,
1.84E-05,1,48,50,,,
1.84E-05,9,43,51,,,
2.27E-05,25,6,50,,,
2.40E-05,16,18,51,,,
2.30E-05,25,49,52,,,
3.78E-05,8,30,47,,,
1.93E-05,9,33,50,,,
2.56E-05,28,47,52,,,
3.19E-05,17,8,50,,,
2.82E-05,2,24,52,,,
2.23E-05,12,15,53,,,
2.14E-05,4,41,53,,,
2.40E-05,9,49,56,,,
2.23E-05,14,20,58,,,
2.23E-05,32,31,59,,,
2.29E-05,20,14,56,,,
2.37E-05,5,52,58,,,
2.25E-05,13,46,59,,,
2.81E-05,22,35,56,,,
1.91E-05,35,45,62,,,
2.24E-05,16,2,57,,,
2.70E-05,15,22,60,,,
2.52E-05,23,54,60,,,
2.05E-05,26,13,53,,,
1.91E-05,21,37,54,,,
2.29E-05,6,12,50,,,
2.01E-05,11,29,50,,,
1.88E-05,23,31,50,,,
1.09E-05,34,0,50,,,
1.90E-05,10,25,49,,,
1.85E-05,17,5,50,,,
1.89E-05,30,24,48,,,
1.86E-05,25,19,50,,,
2.39E-05,23,20,43,,,
1.81E-05,14,30,45,,,
1.01E-05,5,0,42,,,
1.79E-05,11,4,41,,,
1.81E-05,32,23,42,,,
1.78E-05,32,28,38,,,
1.87E-05,33,30,39,,,
2.44E-05,10,27,35,,,
1.91E-05,8,11,31,,,
1.80E-05,15,4,31,,,
1.82E-05,23,26,30,,,
1.76E-05,29,29,31,,,
1.83E-05,1,27,32,,,
1.88E-05,28,3,17,,,
1.85E-05,33,2,15,,,
2.42E-05,6,9,15,,,
2.16E-05,8,15,17,,,
1.76E-05,20,4,9,,,
1.75E-05,17,3,7,,,
2.00E-05,23,4,8,,,
1.11E-05,35,0,10,,,
3.01E-05,15,4,9,,,
2.68E-05,20,2,10,,,
1.83E-05,16,5,7,,,
1.75E-05,14,5,8,,,
2.53E-05,33,3,6,,,
1.78E-05,2,1,8,,,
1.80E-05,11,4,9,,,
1.76E-05,1,6,9,,,
1.75E-05,16,1,6,,,
1.04E-05,4,0,6,,,
1.76E-05,29,3,7,,,
1.74E-05,11,3,8,,,
1.76E-05,32,2,10,,,
1.76E-05,13,8,12,,,
1.00E-05,32,0,11,,,
1.76E-05,25,4,12,,,
1.92E-05,34,6,13,,,
1.77E-05,16,12,15,,,
1.78E-05,6,11,17,,,
1.75E-05,17,1,13,,,
1.76E-05,16,8,14,,,
1.75E-05,15,11,13,,,
2.33E-05,29,5,12,,,
1.79E-05,9,2,14,,,
1.75E-05,15,6,14,,,
1.77E-05,14,4,6,,,
1.76E-05,4,1,6,,,
1.00E-05,17,0,2,,,
9.90E-06,25,0,4,,,
1.82E-05,2,2,4,,,
1.74E-05,1,2,5,,,
1.74E-05,1,4,7,,,
1.73E-05,4,1,7,,,
1.76E-05,29,8,10,,,
2.08E-05,28,6,13,,,
1.75E-05,22,1,9,,,
1.76E-05,23,4,7,,,
1.75E-05,17,6,8,,,
1.01E-05,30,0,2,,,
1.01E-05,20,0,2,,,
1.77E-05,24,1,3,,,
1.77E-05,16,2,4,,,
2.19E-05,24,0,8,,,
1.02E-05,9,0,8,,,
1.78E-05,26,4,9,,,
1.75E-05,13,4,9,,,
2.01E-05,18,4,9,,,
1.79E-05,24,3,7,,,
1.76E-05,5,1,4,,,
1.76E-05,1,1,3,,,
1.76E-05,7,2,5,,,
1.78E-05,9,5,10,,,
1.76E-05,3,10,12,,,
1.88E-05,6,3,12,,,
1.85E-05,3,11,13,,,
1.03E-05,9,0,13,,,
1.79E-05,17,2,14,,,
1.74E-05,8,3,13,,,
1.12E-05,33,0,12,,,
1.82E-05,7,11,13,,,
