cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.60E-06,3,2,3,,,1.94E-02
1.50E-06,5,3,4,,,11617
2.50E-06,3,1,2,,,
2.00E-06,23,1,2,,,
1.60E-06,6,2,3,,,
3.80E-06,21,2,3,,,
1.60E-06,26,4,5,,,
1.60E-06,34,4,5,,,
1.40E-06,13,5,6,,,
1.70E-06,7,2,3,,,
1.80E-06,6,3,4,,,
1.80E-06,23,4,5,,,
1.70E-06,3,3,4,,,
2.70E-06,30,7,8,,,
1.90E-06,8,7,8,,,
1.60E-06,25,4,5,,,
1.50E-06,9,5,6,,,
1.50E-06,20,6,7,,,
2.20E-06,28,11,12,,,
1.50E-06,14,8,9,,,
1.50E-06,10,12,13,,,
1.40E-06,10,13,14,,,
3.00E-06,26,14,15,,,
2.60E-06,2,16,17,,,
1.70E-06,6,16,17,,,
2.80E-06,12,16,17,,,
1.70E-06,33,17,18,,,
1.70E-06,5,18,19,,,
1.60E-06,22,18,19,,,
1.70E-06,5,17,18,,,
1.60E-06,27,12,13,,,
1.40E-06,35,13,14,,,
1.50E-06,14,14,15,,,
1.50E-06,8,15,16,,,
1.50E-06,1,16,17,,,
1.70E-06,18,14,15,,,
1.90E-06,26,14,15,,,
2.00E-06,4,12,13,,,
2.00E-06,20,13,14,,,
3.10E-06,3,16,17,,,
1.70E-06,6,15,16,,,
1.60E-06,27,15,16,,,
2.40E-06,5,18,19,,,
2.40E-06,27,19,20,,,
2.30E-06,4,19,20,,,
2.00E-06,33,19,20,,,
1.60E-06,35,19,20,,,
4.20E-06,34,20,21,,,
2.40E-06,20,21,22,,,
1.80E-06,35,22,23,,,
2.40E-06,26,27,28,,,
2.20E-06,23,23,24,,,
2.30E-06,31,23,24,,,
1.80E-06,14,24,25,,,
2.40E-06,20,26,27,,,
1.70E-06,13,27,28,,,
1.70E-06,4,24,25,,,
1.40E-06,16,25,26,,,
1.90E-06,12,27,28,,,
1.60E-06,1,28,29,,,
1.50E-06,34,29,30,,,
1.60E-06,22,23,24,,,
1.50E-06,12,25,26,,,
1.60E-06,10,21,22,,,
1.50E-06,2,23,24,,,
1.50E-06,1,26,27,,,
1.50E-06,20,25,26,,,
1.60E-06,22,26,27,,,
1.80E-06,9,28,29,,,
1.60E-06,3,29,30,,,
1.50E-06,10,30,31,,,
1.60E-06,14,28,29,,,
1.50E-06,31,28,29,,,
1.50E-06,33,29,30,,,
1.40E-06,32,30,31,,,
3.10E-06,23,30,31,,,
1.70E-06,20,31,32,,,
1.40E-06,6,32,33,,,
1.50E-06,7,33,34,,,
1.80E-06,10,35,36,,,
4.10E-06,25,36,37,,,
1.50E-06,6,35,36,,,
1.50E-06,4,31,32,,,
1.60E-06,23,31,32,,,
1.50E-06,3,28,29,,,
1.60E-06,29,29,30,,,
2.30E-06,19,30,31,,,
1.60E-06,34,26,27,,,
1.50E-06,29,26,27,,,
1.60E-06,32,25,26,,,
1.40E-06,16,26,27,,,
1.40E-06,17,27,28,,,
1.50E-06,35,30,31,,,
2.70E-06,11,32,33,,,
1.60E-06,9,32,33,,,
1.50E-06,5,31,32,,,
1.40E-06,3,32,33,,,
1.80E-06,13,31,32,,,
1.50E-06,21,32,33,,,
1.50E-06,12,33,34,,,
3.90E-06,5,35,36,,,
2.10E-06,35,38,39,,,
2.40E-06,20,39,40,,,
1.60E-06,7,36,37,,,
1.50E-06,30,39,40,,,
1.60E-06,4,46,47,,,
1.50E-06,25,46,47,,,
1.50E-06,6,48,49,,,
1.50E-06,10,49,50,,,
1.50E-06,27,50,51,,,
3.10E-06,30,52,53,,,
2.80E-06,20,53,54,,,
1.70E-06,29,55,56,,,
1.70E-06,23,54,55,,,
1.50E-06,35,56,57,,,
2.10E-06,25,54,55,,,
1.60E-06,20,55,56,,,
2.90E-06,28,52,53,,,
1.60E-06,7,50,51,,,
1.50E-06,25,48,49,,,
1.60E-06,22,49,50,,,
1.50E-06,10,51,52,,,
1.50E-06,15,52,53,,,
1.60E-06,2,47,48,,,
