cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.09E-05,33,0,3,,,1.38E-01
1.50E-06,31,0,1,,,11766
1.90E-06,8,0,1,,,
1.50E-06,23,0,1,,,
1.95E-05,11,0,3,,,
1.70E-06,11,0,1,,,
2.00E-06,18,0,1,,,
2.00E-06,33,0,1,,,
1.38E-05,21,0,4,,,
1.62E-05,1,0,2,,,
1.33E-05,13,0,3,,,
1.24E-05,26,0,3,,,
1.29E-05,4,0,4,,,
1.90E-05,20,0,3,,,
1.80E-05,18,0,5,,,
1.10E-05,31,0,6,,,
1.11E-05,13,0,8,,,
1.50E-05,1,0,9,,,
1.54E-05,25,0,11,,,
1.13E-05,35,0,12,,,
1.12E-05,18,0,10,,,
1.08E-05,20,0,12,,,
1.47E-05,14,0,14,,,
1.85E-05,15,0,15,,,
1.49E-05,15,0,16,,,
1.89E-05,4,0,18,,,
1.11E-05,17,0,18,,,
1.11E-05,9,0,16,,,
1.39E-05,11,0,20,,,
1.34E-05,20,0,21,,,
1.11E-05,23,0,18,,,
1.09E-05,1,0,18,,,
1.41E-05,5,0,13,,,
1.37E-05,22,0,14,,,
1.58E-05,27,0,14,,,
1.52E-05,10,0,15,,,
1.56E-05,26,0,16,,,
1.31E-05,18,0,14,,,
1.32E-05,28,0,15,,,
2.20E-05,15,0,18,,,
2.21E-05,31,0,19,,,
1.60E-05,10,0,19,,,
1.33E-05,9,0,20,,,
2.70E-05,33,0,23,,,
4.12E-05,12,0,24,,,
2.01E-05,14,0,25,,,
1.87E-05,23,0,26,,,
1.49E-05,16,0,24,,,
1.64E-05,8,0,25,,,
1.34E-05,8,0,26,,,
1.24E-05,32,0,27,,,
1.31E-05,28,0,26,,,
1.29E-05,8,0,27,,,
1.23E-05,23,0,28,,,
1.63E-05,27,0,29,,,
1.65E-05,8,0,29,,,
1.59E-05,35,0,30,,,
1.67E-05,12,0,31,,,
1.80E-05,31,0,32,,,
1.58E-05,18,0,32,,,
1.58E-05,27,0,31,,,
1.09E-05,21,0,27,,,
1.09E-05,8,0,25,,,
1.12E-05,30,0,28,,,
1.09E-05,32,0,29,,,
1.09E-05,3,0,30,,,
1.14E-05,20,0,29,,,
1.67E-05,20,0,30,,,
1.12E-05,7,0,31,,,
1.08E-05,32,0,32,,,
1.10E-05,30,0,27,,,
2.01E-05,11,0,23,,,
1.08E-05,31,0,26,,,
1.08E-05,6,0,26,,,
1.09E-05,15,0,27,,,
1.13E-05,32,0,26,,,
1.12E-05,20,0,27,,,
1.15E-05,12,0,30,,,
1.08E-05,28,0,30,,,
1.07E-05,19,0,29,,,
1.12E-05,20,0,29,,,
1.07E-05,1,0,30,,,
1.08E-05,3,0,32,,,
1.07E-05,27,0,31,,,
1.06E-05,12,0,31,,,
1.09E-05,34,0,29,,,
2.03E-05,34,0,29,,,
1.12E-05,26,0,28,,,
1.09E-05,23,0,27,,,
1.10E-05,1,0,30,,,
1.08E-05,8,0,31,,,
1.40E-05,23,0,34,,,
1.09E-05,16,0,33,,,
1.13E-05,23,0,33,,,
1.56E-05,6,0,34,,,
2.24E-05,21,0,38,,,
1.72E-05,8,0,40,,,
1.11E-05,16,0,38,,,
1.08E-05,14,0,41,,,
1.12E-05,21,0,39,,,
1.09E-05,21,0,40,,,
