cas operacie,index prvku,dlzka zoznamu,,,
1.97E-05,1,2,,,2.54E-01
1.14E-05,0,0,,,11641
2.33E-05,0,1,,,
1.44E-05,0,1,,,
1.22E-05,0,2,,,
1.13E-05,0,0,,,
2.13E-05,0,0,,,
1.70E-05,0,0,,,
1.72E-05,0,1,,,
1.36E-05,0,4,,,
1.46E-05,0,1,,,
1.38E-05,0,3,,,
2.42E-05,1,3,,,
1.86E-05,1,4,,,
1.88E-05,1,5,,,
2.58E-05,7,13,,,
2.62E-05,9,14,,,
2.40E-05,10,16,,,
2.48E-05,3,18,,,
2.64E-05,1,19,,,
2.62E-05,2,19,,,
2.58E-05,7,18,,,
2.85E-05,4,17,,,
2.80E-05,2,16,,,
1.91E-05,1,18,,,
1.89E-05,8,16,,,
1.88E-05,9,14,,,
1.90E-05,7,16,,,
2.02E-05,11,14,,,
2.11E-05,7,13,,,
2.77E-05,8,12,,,
2.75E-05,8,14,,,
2.40E-05,11,13,,,
2.64E-05,9,13,,,
2.29E-05,5,16,,,
4.36E-05,4,16,,,
2.03E-05,11,16,,,
2.29E-05,11,19,,,
3.39E-05,22,25,,,
2.49E-05,5,27,,,
3.60E-05,20,26,,,
4.36E-05,11,24,,,
3.45E-05,9,23,,,
2.61E-05,6,24,,,
3.69E-05,4,25,,,
3.02E-05,24,31,,,
2.77E-05,7,29,,,
1.89E-05,7,29,,,
1.93E-05,22,26,,,
1.88E-05,24,26,,,
1.92E-05,12,24,,,
2.02E-05,19,29,,,
1.88E-05,17,27,,,
1.88E-05,17,25,,,
1.91E-05,8,23,,,
3.22E-05,19,25,,,
2.34E-05,8,24,,,
1.89E-05,18,23,,,
1.89E-05,17,21,,,
1.88E-05,22,26,,,
1.88E-05,3,28,,,
1.90E-05,12,28,,,
1.91E-05,9,29,,,
1.89E-05,2,29,,,
2.63E-05,10,31,,,
1.11E-05,0,30,,,
1.88E-05,25,28,,,
2.08E-05,17,35,,,
1.90E-05,23,35,,,
1.87E-05,25,32,,,
1.93E-05,17,31,,,
1.89E-05,12,29,,,
1.93E-05,7,28,,,
3.72E-05,11,30,,,
1.88E-05,1,26,,,
1.91E-05,24,26,,,
1.90E-05,23,30,,,
1.97E-05,21,33,,,
1.93E-05,13,32,,,
1.91E-05,6,33,,,
2.12E-05,12,38,,,
2.34E-05,34,37,,,
1.95E-05,13,40,,,
1.94E-05,16,36,,,
1.91E-05,10,46,,,
2.00E-05,25,54,,,
1.86E-05,54,56,,,
2.53E-05,36,56,,,
1.94E-05,16,57,,,
3.12E-05,13,54,,,
1.99E-05,22,55,,,
1.90E-05,51,53,,,
2.16E-05,2,52,,,
1.95E-05,34,51,,,
1.94E-05,32,50,,,
1.90E-05,43,50,,,
1.88E-05,47,49,,,
2.02E-05,11,49,,,
3.05E-05,36,48,,,
1.92E-05,31,47,,,
1.96E-05,16,46,,,
1.93E-05,37,47,,,
2.05E-05,26,51,,,
1.93E-05,32,47,,,
1.97E-05,21,49,,,
1.88E-05,4,51,,,
1.91E-05,45,51,,,
1.90E-05,36,46,,,
1.91E-05,39,50,,,
1.89E-05,39,49,,,
3.48E-05,7,51,,,
