cas operacie,index prvku,dlzka zoznamu,,,
1.13E-05,2,2,,,1.45E-01
1.13E-05,1,1,,,11714
1.13E-05,3,3,,,
1.12E-05,2,2,,,
1.13E-05,1,1,,,
1.12E-05,0,0,,,
1.11E-05,0,0,,,
1.13E-05,0,0,,,
1.14E-05,0,0,,,
8.16E-05,2,2,,,
1.56E-05,2,2,,,
1.33E-05,3,3,,,
1.33E-05,5,5,,,
1.32E-05,4,4,,,
1.65E-05,2,2,,,
1.39E-05,3,3,,,
1.37E-05,2,2,,,
1.36E-05,7,7,,,
1.59E-05,6,6,,,
1.14E-05,5,5,,,
1.13E-05,10,10,,,
1.12E-05,9,9,,,
1.13E-05,9,9,,,
1.13E-05,8,8,,,
1.56E-05,14,14,,,
1.19E-05,17,17,,,
1.39E-05,20,20,,,
1.64E-05,17,17,,,
1.47E-05,15,15,,,
1.14E-05,17,17,,,
1.14E-05,17,17,,,
1.12E-05,15,15,,,
1.12E-05,14,14,,,
1.16E-05,13,13,,,
1.49E-05,14,14,,,
2.77E-05,16,16,,,
2.39E-05,14,14,,,
1.34E-05,13,13,,,
1.39E-05,15,15,,,
1.15E-05,14,14,,,
1.16E-05,15,15,,,
3.19E-05,16,16,,,
2.52E-05,17,17,,,
2.38E-05,18,18,,,
1.65E-05,18,18,,,
1.36E-05,19,19,,,
1.50E-05,24,24,,,
1.54E-05,22,22,,,
1.55E-05,25,25,,,
1.70E-05,22,22,,,
1.37E-05,26,26,,,
1.33E-05,27,27,,,
4.05E-05,26,26,,,
1.74E-05,28,28,,,
2.63E-05,31,31,,,
2.25E-05,30,30,,,
2.49E-05,29,29,,,
1.16E-05,28,28,,,
1.14E-05,26,26,,,
1.14E-05,25,25,,,
1.15E-05,24,24,,,
1.12E-05,28,28,,,
1.30E-05,27,27,,,
1.13E-05,28,28,,,
1.13E-05,29,29,,,
1.14E-05,23,23,,,
1.12E-05,26,26,,,
1.14E-05,25,25,,,
1.12E-05,25,25,,,
1.11E-05,25,25,,,
1.13E-05,26,26,,,
1.14E-05,26,26,,,
1.16E-05,30,30,,,
1.12E-05,30,30,,,
1.14E-05,28,28,,,
1.14E-05,28,28,,,
1.17E-05,30,30,,,
1.18E-05,30,30,,,
1.14E-05,30,30,,,
1.10E-05,29,29,,,
1.12E-05,29,29,,,
1.13E-05,28,28,,,
1.18E-05,29,29,,,
1.21E-05,29,29,,,
1.14E-05,27,27,,,
1.13E-05,26,26,,,
1.15E-05,26,26,,,
1.16E-05,33,33,,,
1.11E-05,30,30,,,
1.12E-05,30,30,,,
1.13E-05,32,32,,,
1.13E-05,37,37,,,
1.41E-05,40,40,,,
1.14E-05,38,38,,,
1.12E-05,38,38,,,
1.50E-05,43,43,,,
1.11E-05,55,55,,,
1.15E-05,53,53,,,
1.24E-05,51,51,,,
1.79E-05,56,56,,,
1.19E-05,56,56,,,
1.12E-05,54,54,,,
1.13E-05,52,52,,,
1.12E-05,47,47,,,
1.12E-05,48,48,,,
1.14E-05,52,52,,,
1.19E-05,50,50,,,
1.35E-05,47,47,,,
1.14E-05,47,47,,,
1.14E-05,49,49,,,
1.12E-05,46,46,,,
1.12E-05,45,45,,,
1.13E-05,44,44,,,
1.12E-05,44,44,,,
1.14E-05,49,49,,,
1.14E-05,45,45,,,
1.13E-05,46,46,,,
1.13E-05,44,44,,,
1.13E-05,46,46,,,
1.26E-05,47,47,,,
1.18E-05,47,47,,,
1.13E-05,46,46,,,
1.14E-05,50,50,,,
1.11E-05,49,49,,,
1.12E-05,45,45,,,
1.15E-05,46,46,,,
1.14E-05,50,50,,,
1.13E-05,50,50,,,
1.11E-05,46,46,,,
1.14E-05,47,47,,,
1.13E-05,49,49,,,
1.13E-05,54,54,,,
1.13E-05,52,52,,,
1.11E-05,54,54,,,
1.12E-05,50,50,,,
1.12E-05,48,48,,,
1.54E-05,50,50,,,
1.12E-05,49,49,,,
1.11E-05,48,48,,,
2.03E-05,46,46,,,
2.08E-05,52,52,,,
2.24E-05,50,50,,,
1.73E-05,49,49,,,
1.18E-05,52,52,,,
1.26E-05,56,56,,,
1.21E-05,57,57,,,
2.44E-05,58,58,,,
1.65E-05,54,54,,,
1.41E-05,55,55,,,
1.69E-05,57,57,,,
1.20E-05,56,56,,,
1.50E-05,57,57,,,
1.64E-05,55,55,,,
1.18E-05,59,59,,,
1.54E-05,60,60,,,
1.82E-05,56,56,,,
1.75E-05,59,59,,,
1.48E-05,59,59,,,
1.46E-05,57,57,,,
1.17E-05,58,58,,,
1.15E-05,57,57,,,
1.13E-05,57,57,,,
1.11E-05,54,54,,,
1.51E-05,54,54,,,
1.24E-05,53,53,,,
1.33E-05,53,53,,,
1.16E-05,52,52,,,
1.15E-05,49,49,,,
1.12E-05,49,49,,,
1.11E-05,49,49,,,
1.13E-05,49,49,,,
2.15E-05,49,49,,,
1.16E-05,49,49,,,
1.04E-05,54,54,,,
1.06E-05,50,50,,,
1.62E-05,49,49,,,
1.02E-05,47,47,,,
1.02E-05,46,46,,,
1.06E-05,45,45,,,
1.02E-05,43,43,,,
1.07E-05,44,44,,,
1.06E-05,42,42,,,
1.01E-05,41,41,,,
1.05E-05,40,40,,,
1.21E-05,41,41,,,
1.32E-05,40,40,,,
1.44E-05,39,39,,,
1.01E-05,37,37,,,
1.32E-05,38,38,,,
1.04E-05,39,39,,,
1.09E-05,38,38,,,
1.08E-05,35,35,,,
1.04E-05,34,34,,,
1.01E-05,33,33,,,
1.51E-05,31,31,,,
1.06E-05,30,30,,,
1.02E-05,30,30,,,
1.04E-05,29,29,,,
1.81E-05,30,30,,,
1.03E-05,29,29,,,
1.03E-05,28,28,,,
1.03E-05,26,26,,,
1.04E-05,25,25,,,
1.06E-05,22,22,,,
1.03E-05,20,20,,,
1.03E-05,20,20,,,
2.28E-05,15,15,,,
1.17E-05,16,16,,,
1.63E-05,17,17,,,
1.12E-05,16,16,,,
1.13E-05,15,15,,,
1.11E-05,15,15,,,
2.20E-05,14,14,,,
1.03E-05,14,14,,,
1.02E-05,8,8,,,
1.01E-05,6,6,,,
1.69E-05,7,7,,,
1.96E-05,9,9,,,
1.08E-05,9,9,,,
1.03E-05,7,7,,,
1.03E-05,7,7,,,
1.14E-05,5,5,,,
1.04E-05,7,7,,,
1.06E-05,8,8,,,
1.04E-05,8,8,,,
1.03E-05,8,8,,,
1.01E-05,7,7,,,
1.01E-05,5,5,,,
1.03E-05,6,6,,,
1.02E-05,5,5,,,
1.03E-05,7,7,,,
1.06E-05,11,11,,,
1.02E-05,11,11,,,
1.04E-05,16,16,,,
1.03E-05,15,15,,,
1.03E-05,12,12,,,
1.05E-05,13,13,,,
1.02E-05,12,12,,,
1.01E-05,8,8,,,
1.07E-05,6,6,,,
1.02E-05,5,5,,,
1.01E-05,3,3,,,
1.04E-05,2,2,,,
1.21E-05,4,4,,,
1.05E-05,2,2,,,
1.03E-05,4,4,,,
1.01E-05,4,4,,,
1.37E-05,11,11,,,
1.21E-05,12,12,,,
1.06E-05,12,12,,,
1.01E-05,10,10,,,
1.02E-05,8,8,,,
1.02E-05,7,7,,,
1.02E-05,4,4,,,
1.03E-05,2,2,,,
1.14E-05,3,3,,,
1.04E-05,2,2,,,
1.05E-05,1,1,,,
1.03E-05,0,0,,,
1.02E-05,1,1,,,
1.66E-05,0,0,,,
1.47E-05,9,9,,,
1.06E-05,8,8,,,
1.42E-05,8,8,,,
1.16E-05,7,7,,,
1.04E-05,7,7,,,
1.38E-05,8,8,,,
1.21E-05,7,7,,,
1.34E-05,8,8,,,
1.21E-05,8,8,,,
1.07E-05,5,5,,,
1.04E-05,2,2,,,
1.07E-05,1,1,,,
1.15E-05,11,11,,,
1.05E-05,12,12,,,
1.21E-05,11,11,,,
1.14E-05,15,15,,,
1.03E-05,17,17,,,
1.16E-05,21,21,,,
1.13E-05,20,20,,,
1.17E-05,21,21,,,
1.15E-05,23,23,,,
1.62E-05,23,23,,,
1.16E-05,26,26,,,
1.18E-05,25,25,,,
1.20E-05,23,23,,,
1.16E-05,21,21,,,
1.14E-05,18,18,,,
1.14E-05,17,17,,,
1.54E-05,18,18,,,
1.20E-05,16,16,,,
1.19E-05,14,14,,,
1.16E-05,13,13,,,
1.13E-05,12,12,,,
1.13E-05,12,12,,,
1.12E-05,11,11,,,
1.62E-05,11,11,,,
1.31E-05,10,10,,,
1.12E-05,9,9,,,
1.12E-05,10,10,,,
1.13E-05,8,8,,,
1.14E-05,8,8,,,
1.39E-05,9,9,,,
3.14E-05,6,6,,,
2.42E-05,5,5,,,
1.15E-05,0,0,,,
1.15E-05,1,1,,,
1.11E-05,1,1,,,
1.12E-05,1,1,,,
1.12E-05,1,1,,,
1.13E-05,0,0,,,
1.11E-05,0,0,,,
1.13E-05,5,5,,,
1.13E-05,8,8,,,
1.13E-05,8,8,,,
1.19E-05,4,4,,,
1.12E-05,1,1,,,
1.11E-05,0,0,,,
1.15E-05,0,0,,,
1.13E-05,6,6,,,
1.52E-05,5,5,,,
1.12E-05,2,2,,,
1.12E-05,0,0,,,
1.10E-05,1,1,,,
1.11E-05,0,0,,,
2.23E-05,0,0,,,
2.20E-05,0,0,,,
1.61E-05,0,0,,,
1.14E-05,1,1,,,
2.72E-05,0,0,,,
1.41E-05,0,0,,,
3.96E-05,0,0,,,
1.11E-05,0,0,,,
1.13E-05,0,0,,,
1.46E-05,6,6,,,
1.16E-05,11,11,,,
1.12E-05,10,10,,,
1.17E-05,10,10,,,
1.62E-05,10,10,,,
1.15E-05,5,5,,,
1.11E-05,2,2,,,
1.14E-05,1,1,,,
1.15E-05,4,4,,,
1.12E-05,5,5,,,
1.13E-05,12,12,,,
1.11E-05,11,11,,,
1.11E-05,10,10,,,
1.14E-05,10,10,,,
1.11E-05,9,9,,,
1.14E-05,9,9,,,
1.15E-05,11,11,,,
1.15E-05,10,10,,,
1.11E-05,9,9,,,
1.13E-05,10,10,,,
1.13E-05,10,10,,,
1.11E-05,9,9,,,
1.14E-05,13,13,,,
1.16E-05,16,16,,,
1.13E-05,17,17,,,
1.14E-05,16,16,,,
1.13E-05,15,15,,,
1.65E-05,14,14,,,
1.14E-05,13,13,,,
1.13E-05,12,12,,,
1.14E-05,11,11,,,
1.52E-05,13,13,,,
1.36E-05,13,13,,,
1.14E-05,11,11,,,
1.12E-05,10,10,,,
1.13E-05,9,9,,,
1.16E-05,8,8,,,
1.16E-05,9,9,,,
1.15E-05,14,14,,,
1.73E-05,15,15,,,
1.87E-05,14,14,,,
1.15E-05,14,14,,,
1.18E-05,18,18,,,
1.12E-05,16,16,,,
1.12E-05,16,16,,,
1.14E-05,12,12,,,
1.13E-05,9,9,,,
1.14E-05,8,8,,,
1.11E-05,5,5,,,
1.13E-05,2,2,,,
1.10E-05,1,1,,,
1.12E-05,1,1,,,
1.17E-05,1,1,,,
1.56E-05,1,1,,,
1.28E-05,0,0,,,
1.11E-05,0,0,,,
1.40E-05,0,0,,,
1.61E-05,0,0,,,
1.13E-05,1,1,,,
1.23E-05,0,0,,,
1.13E-05,4,4,,,
1.12E-05,3,3,,,
1.13E-05,5,5,,,
1.16E-05,7,7,,,
1.16E-05,6,6,,,
1.12E-05,6,6,,,
1.13E-05,4,4,,,
1.13E-05,3,3,,,
1.13E-05,1,1,,,
2.64E-05,0,0,,,
1.93E-05,0,0,,,
1.14E-05,2,2,,,
1.15E-05,1,1,,,
1.11E-05,0,0,,,
1.16E-05,1,1,,,
1.18E-05,1,1,,,
1.16E-05,2,2,,,
1.14E-05,2,2,,,
