cas operacie,index prvku,dlzka zoznamu,,,
1.09E-05,0,0,,,1.42E-01
1.14E-05,0,1,,,11645
1.13E-05,0,0,,,
2.16E-05,0,0,,,
1.34E-05,0,3,,,
0.000103,0,2,,,
1.31E-05,0,1,,,
1.37E-05,0,4,,,
1.75E-05,0,3,,,
1.82E-05,0,2,,,
1.40E-05,0,0,,,
1.39E-05,0,4,,,
1.31E-05,0,3,,,
1.69E-05,0,7,,,
1.16E-05,0,7,,,
1.66E-05,0,6,,,
1.32E-05,0,5,,,
1.43E-05,0,11,,,
1.16E-05,0,11,,,
1.13E-05,0,17,,,
1.58E-05,0,16,,,
1.33E-05,0,15,,,
1.14E-05,0,17,,,
1.11E-05,0,13,,,
1.12E-05,0,12,,,
1.14E-05,0,15,,,
1.30E-05,0,14,,,
1.36E-05,0,14,,,
1.61E-05,0,12,,,
1.91E-05,0,14,,,
2.44E-05,0,15,,,
1.88E-05,0,13,,,
1.31E-05,0,12,,,
1.88E-05,0,19,,,
2.32E-05,0,18,,,
1.42E-05,0,19,,,
1.37E-05,0,19,,,
1.36E-05,0,20,,,
1.65E-05,0,19,,,
1.77E-05,0,21,,,
1.27E-05,0,23,,,
1.43E-05,0,22,,,
1.68E-05,0,25,,,
1.63E-05,0,23,,,
1.38E-05,0,25,,,
1.62E-05,0,30,,,
1.49E-05,0,31,,,
1.16E-05,0,27,,,
1.12E-05,0,29,,,
1.13E-05,0,31,,,
1.13E-05,0,30,,,
1.15E-05,0,29,,,
1.12E-05,0,28,,,
1.12E-05,0,26,,,
1.12E-05,0,24,,,
1.13E-05,0,25,,,
1.14E-05,0,22,,,
1.11E-05,0,21,,,
1.12E-05,0,22,,,
1.11E-05,0,21,,,
1.12E-05,0,26,,,
1.13E-05,0,24,,,
1.95E-05,0,28,,,
1.13E-05,0,29,,,
1.13E-05,0,29,,,
1.11E-05,0,29,,,
1.12E-05,0,29,,,
1.12E-05,0,28,,,
1.28E-05,0,31,,,
1.11E-05,0,31,,,
1.12E-05,0,30,,,
1.43E-05,0,35,,,
1.61E-05,0,37,,,
1.31E-05,0,36,,,
1.11E-05,0,35,,,
1.13E-05,0,35,,,
1.11E-05,0,34,,,
1.12E-05,0,33,,,
1.11E-05,0,31,,,
1.14E-05,0,31,,,
1.15E-05,0,30,,,
1.13E-05,0,28,,,
1.86E-05,0,28,,,
1.16E-05,0,27,,,
1.13E-05,0,25,,,
1.15E-05,0,27,,,
1.14E-05,0,32,,,
1.28E-05,0,34,,,
1.14E-05,0,32,,,
1.13E-05,0,32,,,
1.13E-05,0,31,,,
1.12E-05,0,32,,,
1.13E-05,0,32,,,
1.13E-05,0,31,,,
1.12E-05,0,31,,,
1.52E-05,0,31,,,
1.11E-05,0,32,,,
2.46E-05,0,39,,,
1.76E-05,0,39,,,
1.14E-05,0,38,,,
1.32E-05,0,39,,,
1.13E-05,0,38,,,
1.13E-05,0,39,,,
1.13E-05,0,37,,,
1.47E-05,0,43,,,
1.15E-05,0,47,,,
1.15E-05,0,46,,,
1.14E-05,0,50,,,
1.14E-05,0,57,,,
2.71E-05,0,56,,,
1.14E-05,0,56,,,
1.16E-05,0,56,,,
1.11E-05,0,54,,,
1.12E-05,0,52,,,
1.13E-05,0,51,,,
1.16E-05,0,56,,,
1.36E-05,0,55,,,
1.16E-05,0,55,,,
1.12E-05,0,52,,,
1.16E-05,0,48,,,
1.14E-05,0,48,,,
1.13E-05,0,52,,,
1.53E-05,0,51,,,
1.16E-05,0,46,,,
1.42E-05,0,49,,,
1.11E-05,0,48,,,
1.16E-05,0,51,,,
1.13E-05,0,50,,,
1.13E-05,0,48,,,
1.13E-05,0,47,,,
1.15E-05,0,46,,,
1.19E-05,0,45,,,
1.15E-05,0,46,,,
1.16E-05,0,45,,,
1.64E-05,0,47,,,
1.19E-05,0,48,,,
1.14E-05,0,49,,,
1.11E-05,0,50,,,
1.12E-05,0,48,,,
1.11E-05,0,47,,,
1.13E-05,0,44,,,
1.57E-05,0,46,,,
1.11E-05,0,46,,,
1.11E-05,0,49,,,
1.16E-05,0,52,,,
1.77E-05,0,50,,,
1.31E-05,0,49,,,
1.73E-05,0,48,,,
1.14E-05,0,49,,,
1.12E-05,0,48,,,
1.12E-05,0,48,,,
1.15E-05,0,48,,,
1.13E-05,0,49,,,
1.11E-05,0,54,,,
1.13E-05,0,53,,,
1.13E-05,0,54,,,
1.11E-05,0,53,,,
1.12E-05,0,51,,,
1.56E-05,0,50,,,
1.15E-05,0,49,,,
1.12E-05,0,49,,,
1.15E-05,0,48,,,
1.13E-05,0,51,,,
1.35E-05,0,47,,,
1.69E-05,0,50,,,
1.17E-05,0,51,,,
1.30E-05,0,53,,,
1.19E-05,0,52,,,
1.70E-05,0,56,,,
1.45E-05,0,55,,,
1.30E-05,0,60,,,
1.63E-05,0,60,,,
1.67E-05,0,59,,,
1.59E-05,0,58,,,
1.49E-05,0,57,,,
1.50E-05,0,58,,,
1.42E-05,0,58,,,
1.48E-05,0,58,,,
1.13E-05,0,57,,,
1.13E-05,0,55,,,
1.74E-05,0,52,,,
1.12E-05,0,50,,,
1.12E-05,0,49,,,
1.44E-05,0,49,,,
1.11E-05,0,48,,,
1.01E-05,0,53,,,
1.79E-05,0,51,,,
1.04E-05,0,47,,,
1.04E-05,0,47,,,
1.05E-05,0,48,,,
1.57E-05,0,45,,,
1.18E-05,0,45,,,
1.08E-05,0,45,,,
1.00E-05,0,44,,,
1.05E-05,0,44,,,
1.06E-05,0,43,,,
1.03E-05,0,42,,,
1.05E-05,0,39,,,
1.05E-05,0,38,,,
1.71E-05,0,38,,,
1.16E-05,0,39,,,
1.55E-05,0,38,,,
1.50E-05,0,38,,,
1.04E-05,0,34,,,
1.04E-05,0,32,,,
1.02E-05,0,30,,,
1.04E-05,0,30,,,
1.03E-05,0,30,,,
1.61E-05,0,28,,,
1.19E-05,0,31,,,
1.09E-05,0,28,,,
1.03E-05,0,27,,,
1.03E-05,0,23,,,
1.06E-05,0,21,,,
1.16E-05,0,18,,,
1.90E-05,0,14,,,
1.88E-05,0,13,,,
1.18E-05,0,16,,,
1.15E-05,0,16,,,
1.12E-05,0,15,,,
1.12E-05,0,14,,,
1.60E-05,0,16,,,
1.05E-05,0,14,,,
1.01E-05,0,11,,,
1.02E-05,0,10,,,
1.03E-05,0,9,,,
1.03E-05,0,8,,,
1.03E-05,0,8,,,
1.01E-05,0,8,,,
1.01E-05,0,6,,,
1.01E-05,0,7,,,
1.95E-05,0,8,,,
1.15E-05,0,7,,,
1.11E-05,0,8,,,
1.02E-05,0,7,,,
1.73E-05,0,6,,,
1.18E-05,0,5,,,
1.69E-05,0,4,,,
1.02E-05,0,8,,,
1.03E-05,0,6,,,
1.04E-05,0,7,,,
1.05E-05,0,7,,,
1.03E-05,0,11,,,
1.03E-05,0,10,,,
1.02E-05,0,12,,,
1.01E-05,0,13,,,
1.03E-05,0,13,,,
1.02E-05,0,13,,,
1.05E-05,0,13,,,
1.01E-05,0,11,,,
1.01E-05,0,4,,,
1.02E-05,0,2,,,
1.02E-05,0,1,,,
1.12E-05,0,3,,,
1.02E-05,0,3,,,
1.04E-05,0,2,,,
1.03E-05,0,4,,,
1.02E-05,0,4,,,
1.02E-05,0,5,,,
1.49E-05,0,12,,,
1.03E-05,0,11,,,
1.03E-05,0,9,,,
1.02E-05,0,8,,,
1.59E-05,0,6,,,
1.05E-05,0,5,,,
1.03E-05,0,3,,,
1.27E-05,0,4,,,
1.12E-05,0,2,,,
1.66E-05,0,2,,,
1.04E-05,0,1,,,
1.03E-05,0,2,,,
1.02E-05,0,0,,,
1.04E-05,0,2,,,
1.48E-05,0,0,,,
1.01E-05,0,7,,,
1.02E-05,0,8,,,
1.06E-05,0,8,,,
1.04E-05,0,7,,,
2.39E-05,0,8,,,
1.03E-05,0,6,,,
1.06E-05,0,4,,,
1.41E-05,0,3,,,
1.03E-05,0,3,,,
1.03E-05,0,12,,,
1.39E-05,0,14,,,
1.38E-05,0,17,,,
1.02E-05,0,17,,,
1.04E-05,0,16,,,
1.13E-05,0,22,,,
1.12E-05,0,23,,,
1.13E-05,0,22,,,
1.15E-05,0,20,,,
1.14E-05,0,17,,,
1.14E-05,0,16,,,
1.31E-05,0,15,,,
1.12E-05,0,11,,,
1.12E-05,0,13,,,
1.16E-05,0,9,,,
1.15E-05,0,13,,,
1.12E-05,0,11,,,
1.11E-05,0,10,,,
1.12E-05,0,9,,,
1.15E-05,0,9,,,
1.12E-05,0,9,,,
1.13E-05,0,10,,,
1.50E-05,0,8,,,
1.41E-05,0,10,,,
1.28E-05,0,8,,,
1.38E-05,0,7,,,
2.24E-05,0,3,,,
2.74E-05,0,2,,,
2.20E-05,0,1,,,
2.26E-05,0,1,,,
1.15E-05,0,3,,,
1.26E-05,0,2,,,
1.10E-05,0,0,,,
1.14E-05,0,1,,,
1.42E-05,0,1,,,
1.14E-05,0,0,,,
1.13E-05,0,0,,,
1.12E-05,0,3,,,
1.12E-05,0,6,,,
1.11E-05,0,5,,,
1.11E-05,0,7,,,
1.11E-05,0,6,,,
1.14E-05,0,3,,,
1.14E-05,0,1,,,
1.10E-05,0,0,,,
1.14E-05,0,0,,,
1.12E-05,0,5,,,
1.63E-05,0,4,,,
1.12E-05,0,4,,,
1.11E-05,0,1,,,
1.13E-05,0,1,,,
1.14E-05,0,1,,,
1.13E-05,0,1,,,
1.91E-05,0,0,,,
1.15E-05,0,0,,,
1.59E-05,0,0,,,
1.14E-05,0,1,,,
1.17E-05,0,1,,,
1.13E-05,0,0,,,
1.13E-05,0,5,,,
2.12E-05,0,7,,,
1.14E-05,0,12,,,
1.13E-05,0,11,,,
1.10E-05,0,10,,,
1.10E-05,0,9,,,
1.66E-05,0,9,,,
1.16E-05,0,7,,,
1.14E-05,0,5,,,
1.11E-05,0,4,,,
1.11E-05,0,0,,,
1.16E-05,0,0,,,
1.16E-05,0,4,,,
1.21E-05,0,5,,,
1.14E-05,0,5,,,
1.13E-05,0,11,,,
1.12E-05,0,8,,,
1.12E-05,0,11,,,
1.15E-05,0,10,,,
1.23E-05,0,15,,,
1.11E-05,0,17,,,
1.14E-05,0,12,,,
1.11E-05,0,12,,,
1.14E-05,0,12,,,
1.15E-05,0,12,,,
1.11E-05,0,8,,,
1.13E-05,0,11,,,
1.14E-05,0,18,,,
1.12E-05,0,17,,,
