cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
6.00E-07,0,0,1,,,1.34E-02
7.00E-07,2,2,7,,,5000
7.00E-07,3,3,6,,,
5.00E-07,2,2,7,,,
8.00E-07,6,6,9,,,
5.00E-07,0,0,3,,,
4.00E-07,1,1,3,,,
6.00E-07,2,2,3,,,
6.00E-07,2,2,5,,,
4.00E-07,0,0,1,,,
4.00E-07,0,0,1,,,
5.00E-07,0,0,1,,,
4.00E-07,0,0,2,,,
7.00E-07,3,3,9,,,
6.00E-07,2,2,5,,,
5.00E-07,2,2,13,,,
1.70E-06,10,10,11,,,
5.00E-07,1,1,2,,,
3.00E-07,0,0,1,,,
6.00E-07,2,2,11,,,
6.00E-07,5,5,13,,,
1.30E-06,11,11,19,,,
1.00E-06,6,6,8,,,
9.00E-07,6,6,10,,,
5.00E-07,1,1,10,,,
7.00E-07,4,4,6,,,
7.00E-07,2,2,4,,,
8.00E-07,4,4,8,,,
7.00E-07,3,3,6,,,
7.00E-07,1,1,11,,,
1.50E-06,7,7,11,,,
6.00E-07,1,1,12,,,
1.50E-06,13,13,16,,,
2.00E-06,12,12,21,,,
9.00E-07,4,4,22,,,
5.00E-07,0,0,18,,,
8.00E-07,1,1,20,,,
7.00E-07,3,3,21,,,
8.00E-07,2,2,22,,,
8.00E-07,3,3,19,,,
1.20E-06,11,11,20,,,
5.00E-07,2,2,22,,,
7.00E-07,2,2,26,,,
1.50E-06,16,16,26,,,
2.30E-06,18,18,27,,,
1.20E-06,10,10,26,,,
2.00E-06,15,15,17,,,
6.00E-07,1,1,20,,,
1.20E-06,10,10,20,,,
6.00E-07,2,2,20,,,
1.30E-06,13,13,17,,,
5.00E-07,1,1,16,,,
5.00E-07,0,0,14,,,
4.00E-07,0,0,11,,,
5.00E-07,0,0,9,,,
1.20E-06,10,10,12,,,
1.10E-06,8,8,9,,,
7.00E-07,4,4,6,,,
4.00E-07,0,0,4,,,
7.00E-07,2,2,3,,,
8.00E-07,5,5,6,,,
6.00E-07,1,1,2,,,
3.00E-07,0,0,1,,,
8.00E-07,4,4,6,,,
5.00E-07,0,0,7,,,
4.00E-07,0,0,5,,,
6.00E-07,2,2,5,,,
8.00E-07,1,1,6,,,
1.00E-06,2,2,4,,,
1.20E-06,3,3,4,,,
5.00E-07,0,0,1,,,
5.00E-07,0,0,2,,,
4.00E-07,0,0,1,,,
6.00E-07,1,1,2,,,
8.00E-07,4,4,13,,,
5.00E-07,1,1,12,,,
9.00E-07,6,6,7,,,
7.00E-07,4,4,10,,,
8.00E-07,3,3,12,,,
1.00E-06,4,4,12,,,
1.70E-06,6,6,11,,,
6.00E-07,0,0,3,,,
1.50E-06,7,7,10,,,
1.20E-06,10,10,12,,,
6.00E-07,2,2,9,,,
1.10E-06,9,9,11,,,
1.50E-06,15,15,17,,,
8.00E-07,5,5,19,,,
1.00E-06,8,8,19,,,
6.00E-07,1,1,15,,,
5.00E-07,1,1,10,,,
9.00E-07,7,7,12,,,
5.00E-07,1,1,17,,,
1.50E-06,13,13,19,,,
7.00E-07,4,4,20,,,
1.30E-06,7,7,20,,,
4.10E-06,26,26,36,,,
7.00E-07,4,4,32,,,
6.00E-07,1,1,34,,,
1.90E-06,20,20,30,,,
8.00E-07,3,3,26,,,
5.00E-07,2,2,24,,,
1.70E-06,13,13,22,,,
1.00E-06,8,8,23,,,
1.20E-06,6,6,20,,,
1.20E-06,11,11,19,,,
6.00E-07,3,3,18,,,
8.00E-07,5,5,17,,,
4.00E-07,0,0,17,,,
1.00E-06,6,6,15,,,
8.00E-07,3,3,14,,,
1.50E-06,13,13,14,,,
9.00E-07,6,6,11,,,
6.00E-07,4,4,11,,,
1.00E-06,7,7,16,,,
1.00E-06,8,8,21,,,
5.00E-07,1,1,20,,,
1.60E-06,15,15,31,,,
1.60E-06,18,18,38,,,
7.00E-07,4,4,40,,,
3.60E-06,40,40,43,,,
2.60E-06,29,29,43,,,
5.00E-07,1,1,48,,,
2.00E-06,20,20,48,,,
2.30E-06,28,28,39,,,
1.80E-06,20,20,38,,,
5.00E-07,2,2,36,,,
3.60E-06,30,30,36,,,
2.80E-06,34,34,44,,,
5.00E-07,1,1,47,,,
3.00E-06,33,33,45,,,
2.70E-06,38,38,44,,,
2.40E-06,22,22,44,,,
4.00E-06,32,32,48,,,
4.30E-06,31,31,51,,,
3.10E-06,26,26,50,,,
2.60E-06,27,27,59,,,
5.90E-06,48,48,55,,,
4.10E-06,34,34,54,,,
5.90E-06,47,47,54,,,
1.30E-06,15,15,56,,,
1.00E-06,8,8,52,,,
2.30E-06,28,28,51,,,
7.00E-07,2,2,52,,,
5.00E-07,1,1,51,,,
7.00E-07,4,4,50,,,
9.00E-07,7,7,48,,,
3.20E-06,28,28,50,,,
1.00E-06,6,6,52,,,
2.00E-06,20,20,48,,,
2.20E-06,16,16,55,,,
5.00E-07,0,0,57,,,
8.00E-07,3,3,53,,,
4.80E-06,52,52,53,,,
4.50E-06,42,42,50,,,
2.40E-06,24,24,41,,,
2.00E-06,14,14,42,,,
9.00E-07,5,5,43,,,
3.40E-06,25,25,43,,,
3.10E-06,32,32,41,,,
6.00E-07,1,1,33,,,
5.00E-07,0,0,34,,,
1.00E-06,6,6,37,,,
6.60E-06,6,6,37,,,
3.20E-06,26,26,36,,,
2.30E-06,26,26,40,,,
5.00E-07,1,1,40,,,
2.10E-06,21,21,48,,,
2.70E-06,17,17,51,,,
1.20E-06,8,8,49,,,
2.50E-06,26,26,56,,,
7.00E-07,4,4,56,,,
2.40E-06,29,29,48,,,
2.40E-06,14,14,50,,,
1.30E-06,11,11,56,,,
5.80E-06,44,44,51,,,
3.30E-06,25,25,51,,,
3.20E-06,26,26,57,,,
6.00E-07,0,0,54,,,
1.50E-06,13,13,54,,,
1.80E-06,7,7,50,,,
1.10E-06,4,4,50,,,
5.60E-06,49,49,51,,,
2.50E-06,19,19,53,,,
2.90E-06,30,30,56,,,
6.60E-06,50,50,54,,,
5.10E-06,44,44,59,,,
2.30E-06,18,18,55,,,
1.70E-06,15,15,58,,,
1.00E-06,6,6,64,,,
1.80E-06,12,12,49,,,
8.00E-07,2,2,44,,,
9.00E-07,4,4,41,,,
7.00E-07,1,1,40,,,
3.00E-06,13,13,32,,,
2.80E-06,16,16,32,,,
9.00E-07,4,4,34,,,
2.70E-06,17,17,37,,,
3.20E-06,18,18,37,,,
1.00E-06,4,4,41,,,
1.50E-06,7,7,38,,,
8.00E-07,3,3,39,,,
2.20E-06,14,14,39,,,
1.60E-06,13,13,41,,,
8.00E-07,5,5,41,,,
5.00E-07,0,0,42,,,
2.00E-06,17,17,37,,,
2.60E-06,18,18,39,,,
9.00E-07,4,4,44,,,
3.60E-06,21,21,48,,,
3.40E-06,30,30,47,,,
2.20E-06,22,22,47,,,
1.90E-06,19,19,37,,,
3.00E-06,24,24,33,,,
1.50E-06,12,12,44,,,
3.90E-06,40,40,53,,,
1.00E-06,9,9,47,,,
6.00E-07,2,2,49,,,
4.00E-06,33,33,49,,,
2.20E-06,26,26,52,,,
1.30E-06,14,14,54,,,
2.70E-06,32,32,56,,,
2.60E-06,31,31,55,,,
7.00E-07,2,2,55,,,
1.00E-06,8,8,57,,,
4.00E-06,53,53,60,,,
5.00E-07,3,3,59,,,
2.20E-06,27,27,60,,,
1.70E-06,21,21,59,,,
1.50E-06,17,17,59,,,
1.30E-06,9,9,53,,,
2.10E-06,26,26,50,,,
2.20E-06,17,17,55,,,
5.60E-06,47,47,53,,,
7.00E-07,4,4,53,,,
5.00E-07,0,0,55,,,
4.30E-06,38,38,54,,,
2.00E-06,22,22,50,,,
4.60E-06,44,44,51,,,
1.50E-06,14,14,51,,,
1.30E-06,13,13,47,,,
3.30E-06,44,44,47,,,
1.50E-06,17,17,40,,,
8.00E-07,7,7,43,,,
1.10E-06,12,12,42,,,
1.80E-06,21,21,45,,,
1.20E-06,13,13,42,,,
2.50E-06,13,13,42,,,
1.90E-06,19,19,38,,,
9.00E-07,9,9,38,,,
8.00E-07,5,5,40,,,
1.00E-06,7,7,39,,,
1.10E-06,7,7,49,,,
1.60E-06,17,17,45,,,
1.10E-06,10,10,44,,,
2.90E-06,38,38,44,,,
2.40E-06,26,26,39,,,
6.00E-07,5,5,37,,,
1.00E-06,9,9,27,,,
1.20E-06,11,11,32,,,
4.00E-06,32,32,33,,,
4.00E-07,0,0,36,,,
2.50E-06,28,28,36,,,
9.00E-07,3,3,39,,,
2.50E-06,29,29,40,,,
2.60E-06,27,27,46,,,
1.40E-06,12,12,42,,,
1.10E-06,12,12,43,,,
1.40E-06,8,8,42,,,
1.00E-06,9,9,43,,,
2.50E-06,27,27,41,,,
1.20E-06,13,13,39,,,
2.20E-06,19,19,45,,,
1.70E-06,22,22,50,,,
1.20E-06,13,13,46,,,
1.00E-06,7,7,51,,,
1.30E-06,12,12,50,,,
2.00E-06,26,26,54,,,
5.00E-07,0,0,58,,,
5.00E-07,1,1,59,,,
4.80E-06,49,49,58,,,
