cas operacie,cislo,index prvku,dlzka zoznamu,,,
2.17E-05,92,1,4,,,5.35E-02
1.75E-05,94,1,3,,,2508
1.74E-05,93,0,1,,,
1.80E-05,94,7,9,,,
1.74E-05,92,2,12,,,
1.77E-05,93,5,9,,,
1.74E-05,93,1,3,,,
1.76E-05,91,0,1,,,
1.75E-05,94,3,7,,,
1.72E-05,92,5,10,,,
1.77E-05,91,15,20,,,
1.86E-05,93,5,7,,,
1.79E-05,92,0,4,,,
1.81E-05,93,8,11,,,
1.83E-05,95,5,8,,,
1.82E-05,94,2,8,,,
1.81E-05,92,3,8,,,
1.97E-05,92,0,4,,,
3.98E-05,91,13,21,,,
1.84E-05,92,8,26,,,
1.87E-05,94,9,18,,,
1.83E-05,93,4,17,,,
1.85E-05,93,4,10,,,
1.83E-05,95,0,6,,,
1.85E-05,92,3,5,,,
1.83E-05,93,4,9,,,
4.17E-05,94,0,1,,,
1.83E-05,95,0,2,,,
2.32E-05,91,1,3,,,
3.01E-05,95,0,5,,,
2.26E-05,92,0,2,,,
1.83E-05,91,2,11,,,
1.87E-05,93,7,11,,,
1.82E-05,95,4,10,,,
2.20E-05,92,0,10,,,
2.05E-05,94,0,17,,,
3.45E-05,95,2,17,,,
1.83E-05,91,5,11,,,
2.02E-05,92,5,16,,,
1.87E-05,92,8,17,,,
1.86E-05,92,14,20,,,
1.87E-05,92,3,16,,,
1.86E-05,95,25,27,,,
2.13E-05,95,15,32,,,
1.78E-05,95,31,34,,,
2.18E-05,94,31,34,,,
3.20E-05,92,20,31,,,
1.74E-05,91,13,21,,,
1.83E-05,94,16,21,,,
1.77E-05,92,12,17,,,
1.74E-05,93,2,32,,,
1.77E-05,91,29,34,,,
1.79E-05,92,17,33,,,
1.76E-05,92,6,36,,,
1.88E-05,93,37,46,,,
3.06E-05,93,1,47,,,
1.79E-05,94,37,44,,,
1.74E-05,95,38,41,,,
1.80E-05,93,16,41,,,
1.75E-05,91,4,41,,,
2.89E-05,93,28,39,,,
1.81E-05,95,32,38,,,
1.76E-05,95,33,38,,,
