cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
2.76E-05,17,0,4,,,5.37E-02
1.73E-05,18,0,4,,,2492
1.75E-05,45,0,6,,,
1.74E-05,33,4,6,,,
1.71E-05,41,5,7,,,
1.72E-05,6,2,4,,,
1.82E-05,6,2,5,,,
1.75E-05,5,14,20,,,
1.73E-05,91,12,17,,,
1.80E-05,7,3,9,,,
1.80E-05,25,6,8,,,
1.82E-05,14,2,6,,,
1.79E-05,33,2,4,,,
1.79E-05,33,0,4,,,
2.49E-05,15,2,11,,,
1.80E-05,32,5,8,,,
1.78E-05,32,4,7,,,
1.84E-05,41,8,10,,,
2.60E-05,27,9,22,,,
2.50E-05,15,16,21,,,
1.84E-05,37,3,27,,,
1.80E-05,12,16,26,,,
2.30E-05,17,9,26,,,
2.29E-05,92,11,22,,,
1.78E-05,28,10,17,,,
1.79E-05,9,1,14,,,
1.82E-05,20,8,17,,,
1.82E-05,12,1,19,,,
3.14E-05,26,14,18,,,
1.78E-05,12,1,16,,,
1.81E-05,12,1,16,,,
1.79E-05,6,8,15,,,
1.82E-05,33,1,11,,,
1.81E-05,41,7,11,,,
2.63E-05,18,2,4,,,
1.79E-05,1,0,2,,,
1.93E-05,39,10,15,,,
1.76E-05,3,0,12,,,
2.50E-05,6,6,8,,,
2.32E-05,26,4,9,,,
1.81E-05,16,5,9,,,
2.90E-05,34,2,12,,,
1.80E-05,29,6,10,,,
1.81E-05,18,10,12,,,
1.78E-05,8,7,12,,,
1.84E-05,30,0,17,,,
1.79E-05,4,1,10,,,
1.81E-05,92,6,17,,,
1.79E-05,6,2,17,,,
2.04E-05,6,4,15,,,
1.78E-05,17,3,20,,,
1.77E-05,29,0,19,,,
1.88E-05,6,20,23,,,
3.16E-05,23,8,23,,,
1.81E-05,3,5,31,,,
1.82E-05,12,30,37,,,
1.81E-05,13,18,36,,,
1.76E-05,2,16,32,,,
1.75E-05,24,4,33,,,
1.84E-05,14,10,32,,,
1.69E-05,41,1,18,,,
1.73E-05,24,8,20,,,
1.73E-05,2,24,34,,,
2.03E-05,23,10,34,,,
1.76E-05,22,20,36,,,
1.71E-05,26,0,37,,,
1.75E-05,10,18,48,,,
1.90E-05,22,21,44,,,
2.16E-05,14,34,38,,,
1.90E-05,1,10,39,,,
1.78E-05,22,13,36,,,
1.76E-05,22,14,38,,,
1.76E-05,22,15,41,,,
1.77E-05,22,17,47,,,
2.02E-05,38,14,42,,,
1.72E-05,17,9,45,,,
1.77E-05,93,14,39,,,
1.71E-05,41,43,45,,,
1.87E-05,4,11,50,,,
2.53E-05,33,2,51,,,
2.28E-05,41,41,46,,,
2.97E-05,12,42,47,,,
2.25E-05,7,5,48,,,
1.84E-05,9,4,55,,,
3.41E-05,2,29,54,,,
1.79E-05,44,45,51,,,
1.91E-05,29,30,52,,,
2.13E-05,95,32,45,,,
2.57E-05,22,15,50,,,
2.13E-05,22,7,35,,,
4.25E-05,37,0,34,,,
2.33E-05,17,31,34,,,
2.24E-05,41,28,33,,,
1.83E-05,44,35,38,,,
1.94E-05,15,13,40,,,
2.53E-05,43,10,42,,,
4.15E-05,15,5,53,,,
1.77E-05,42,52,55,,,
2.85E-05,6,40,54,,,
2.64E-05,93,51,55,,,
2.89E-05,21,7,57,,,
8.93E-05,93,40,57,,,
2.67E-05,93,0,38,,,
9.10E-05,21,0,35,,,
2.78E-05,25,27,33,,,
0.0001541,45,16,32,,,
2.83E-05,27,0,33,,,
2.43E-05,21,17,41,,,
3.01E-05,93,17,37,,,
1.94E-05,27,17,35,,,
2.42E-05,7,36,42,,,
2.84E-05,25,2,53,,,
1.81E-05,23,21,51,,,
2.01E-05,23,28,54,,,
2.02E-05,4,34,54,,,
2.12E-05,7,27,54,,,
1.76E-05,22,6,53,,,
1.79E-05,43,41,47,,,
2.68E-05,35,41,46,,,
1.73E-05,10,4,48,,,
1.73E-05,5,5,40,,,
1.73E-05,10,4,47,,,
1.83E-05,7,14,35,,,
