cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.75E-05,29,0,2,,,3.24E-01
2.71E-05,35,1,4,,,14923
1.93E-05,1,1,4,,,
2.46E-05,21,1,4,,,
1.65E-05,17,0,4,,,
1.77E-05,3,1,6,,,
1.76E-05,3,2,8,,,
9.90E-06,36,0,9,,,
2.11E-05,11,2,11,,,
1.84E-05,15,5,7,,,
1.00E-05,30,0,7,,,
1.02E-05,21,0,6,,,
1.79E-05,39,1,5,,,
1.80E-05,35,3,5,,,
1.79E-05,36,1,7,,,
1.82E-05,27,1,7,,,
0.0001194,2,2,7,,,
1.75E-05,23,1,7,,,
1.79E-05,39,3,8,,,
1.74E-05,29,5,7,,,
1.75E-05,18,3,7,,,
1.00E-05,8,0,9,,,
1.75E-05,33,8,10,,,
1.75E-05,38,5,10,,,
1.02E-05,14,0,5,,,
1.76E-05,23,3,6,,,
1.75E-05,1,1,3,,,
9.90E-06,10,0,2,,,
1.00E-05,38,0,3,,,
1.86E-05,40,1,3,,,
1.01E-05,17,0,5,,,
1.01E-05,39,0,5,,,
1.02E-05,23,0,2,,,
1.73E-05,9,1,3,,,
9.90E-06,21,0,6,,,
1.01E-05,1,0,2,,,
1.62E-05,12,0,2,,,
1.70E-06,32,0,1,,,
1.01E-05,20,0,6,,,
1.30E-06,8,0,1,,,
1.54E-05,24,0,2,,,
1.00E-05,13,0,3,,,
1.00E-05,20,0,4,,,
1.06E-05,8,0,2,,,
1.50E-06,8,0,1,,,
1.27E-05,10,0,2,,,
1.36E-05,11,0,4,,,
1.82E-05,3,2,6,,,
1.79E-05,30,3,8,,,
1.76E-05,24,4,9,,,
1.78E-05,38,2,10,,,
2.44E-05,16,7,9,,,
1.88E-05,29,3,6,,,
1.79E-05,3,9,11,,,
1.80E-05,18,5,12,,,
1.77E-05,27,1,8,,,
1.86E-05,24,3,9,,,
1.79E-05,14,4,10,,,
1.77E-05,38,5,13,,,
1.77E-05,7,1,3,,,
1.04E-05,43,0,2,,,
1.79E-05,5,4,8,,,
1.74E-05,26,4,7,,,
1.92E-05,44,1,8,,,
2.02E-05,31,5,10,,,
1.89E-05,12,4,10,,,
1.80E-05,45,2,10,,,
