cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
4.20E-06,19,0,1,,,2.50E-02
2.20E-06,25,0,1,,,15011
1.60E-06,33,0,1,,,
2.10E-06,13,0,1,,,
3.00E-06,34,1,2,,,
1.50E-06,37,4,5,,,
2.20E-06,28,3,4,,,
1.60E-06,45,5,6,,,
1.30E-06,10,4,5,,,
1.40E-06,3,6,7,,,
2.20E-06,5,9,10,,,
1.50E-06,30,7,8,,,
1.30E-06,35,6,7,,,
1.50E-06,22,5,6,,,
1.50E-06,9,6,7,,,
1.30E-06,11,7,8,,,
1.30E-06,27,6,7,,,
1.20E-06,38,6,7,,,
1.30E-06,23,7,8,,,
1.40E-06,38,9,10,,,
1.50E-06,29,3,4,,,
1.40E-06,32,2,3,,,
1.20E-06,17,3,4,,,
1.30E-06,1,4,5,,,
1.30E-06,17,1,2,,,
1.20E-06,21,1,2,,,
1.60E-06,12,1,2,,,
1.40E-06,13,1,2,,,
1.20E-06,32,1,2,,,
1.20E-06,26,3,4,,,
1.30E-06,41,2,3,,,
1.20E-06,33,3,4,,,
1.20E-06,20,5,6,,,
1.50E-06,41,5,6,,,
1.40E-06,32,6,7,,,
1.30E-06,9,7,8,,,
1.30E-06,18,0,1,,,
1.20E-06,42,0,1,,,
1.30E-06,10,3,4,,,
1.10E-06,44,0,1,,,
1.60E-06,22,0,1,,,
1.30E-06,38,2,3,,,
1.30E-06,28,4,5,,,
1.30E-06,31,5,6,,,
1.30E-06,14,4,5,,,
1.30E-06,18,4,5,,,
1.70E-06,14,3,4,,,
1.30E-06,14,0,1,,,
1.30E-06,22,1,2,,,
1.10E-06,43,0,1,,,
2.20E-06,3,1,2,,,
1.40E-06,1,1,2,,,
2.70E-06,36,1,2,,,
1.50E-06,12,1,2,,,
1.40E-06,16,2,3,,,
3.20E-06,6,2,3,,,
1.30E-06,27,3,4,,,
1.40E-06,25,4,5,,,
1.30E-06,22,6,7,,,
1.90E-06,35,7,8,,,
1.30E-06,20,7,8,,,
1.70E-06,39,6,7,,,
2.50E-06,16,6,7,,,
1.70E-06,5,7,8,,,
1.30E-06,7,9,10,,,
1.30E-06,8,9,10,,,
1.30E-06,24,6,7,,,
1.30E-06,6,8,9,,,
1.40E-06,17,10,11,,,
1.60E-06,16,11,12,,,
1.60E-06,20,10,11,,,
1.40E-06,23,4,5,,,
1.30E-06,44,5,6,,,
1.40E-06,12,2,3,,,
1.20E-06,27,4,5,,,
1.30E-06,12,5,6,,,
1.30E-06,3,6,7,,,
3.30E-06,31,8,9,,,
1.50E-06,15,12,13,,,
1.40E-06,44,11,12,,,
1.20E-06,34,13,14,,,
2.40E-06,35,14,15,,,
1.80E-06,13,15,16,,,
2.80E-06,8,16,17,,,
1.30E-06,23,17,18,,,
2.20E-06,42,18,19,,,
2.10E-06,10,11,12,,,
1.50E-06,26,12,13,,,
1.60E-06,8,11,12,,,
1.50E-06,6,13,14,,,
1.70E-06,10,15,16,,,
1.60E-06,36,10,11,,,
1.60E-06,7,8,9,,,
1.60E-06,25,3,4,,,
1.40E-06,2,4,5,,,
1.50E-06,41,5,6,,,
1.50E-06,44,7,8,,,
1.50E-06,22,9,10,,,
1.50E-06,20,9,10,,,
1.70E-06,2,7,8,,,
1.50E-06,36,8,9,,,
1.50E-06,34,9,10,,,
1.50E-06,18,8,9,,,
1.50E-06,32,5,6,,,
1.50E-06,19,6,7,,,
1.60E-06,1,4,5,,,
1.60E-06,40,4,5,,,
1.60E-06,6,2,3,,,
1.50E-06,8,1,2,,,
1.50E-06,36,2,3,,,
1.50E-06,3,2,3,,,
1.40E-06,9,3,4,,,
2.70E-06,12,0,1,,,
1.40E-06,35,0,1,,,
1.30E-06,23,0,1,,,
1.40E-06,27,0,1,,,
1.40E-06,41,0,1,,,
1.60E-06,27,1,2,,,
1.50E-06,37,2,3,,,
1.50E-06,12,6,7,,,
1.50E-06,24,9,10,,,
1.50E-06,18,9,10,,,
2.00E-06,18,11,12,,,
1.60E-06,17,8,9,,,
1.50E-06,24,9,10,,,
1.50E-06,34,7,8,,,
1.40E-06,19,9,10,,,
1.60E-06,12,7,8,,,
1.50E-06,30,8,9,,,
1.70E-06,22,9,10,,,
1.60E-06,15,10,11,,,
1.60E-06,26,10,11,,,
1.60E-06,17,5,6,,,
1.40E-06,18,0,1,,,
1.70E-06,5,2,3,,,
1.50E-06,3,1,2,,,
1.40E-06,33,2,3,,,
1.50E-06,19,3,4,,,
1.40E-06,41,5,6,,,
1.50E-06,35,2,3,,,
1.60E-06,1,2,3,,,
1.70E-06,4,5,6,,,
1.40E-06,8,6,7,,,
1.70E-06,33,5,6,,,
1.50E-06,15,5,6,,,
1.50E-06,14,7,8,,,
1.50E-06,25,10,11,,,
1.50E-06,5,11,12,,,
2.40E-06,12,13,14,,,
1.60E-06,7,15,16,,,
1.60E-06,4,13,14,,,
2.10E-06,2,11,12,,,
1.80E-06,20,13,14,,,
1.90E-06,12,12,13,,,
2.10E-06,12,14,15,,,
3.00E-06,44,20,21,,,
3.10E-06,14,21,22,,,
4.70E-06,33,22,23,,,
2.10E-06,4,20,21,,,
1.90E-06,30,20,21,,,
1.80E-06,29,16,17,,,
1.50E-06,10,17,18,,,
1.40E-06,7,18,19,,,
1.50E-06,34,20,21,,,
2.00E-06,17,21,22,,,
1.50E-06,30,18,19,,,
2.30E-06,32,19,20,,,
1.60E-06,11,20,21,,,
1.60E-06,42,19,20,,,
1.70E-06,28,19,20,,,
1.60E-06,25,18,19,,,
1.50E-06,22,20,21,,,
1.50E-06,6,22,23,,,
2.00E-06,1,24,25,,,
2.70E-06,7,27,28,,,
1.80E-06,17,28,29,,,
1.60E-06,11,25,26,,,
1.50E-06,5,25,26,,,
1.70E-06,25,23,24,,,
1.50E-06,27,24,25,,,
1.70E-06,28,19,20,,,
1.60E-06,13,17,18,,,
1.40E-06,35,15,16,,,
1.50E-06,32,17,18,,,
1.50E-06,20,16,17,,,
1.60E-06,38,18,19,,,
1.50E-06,6,18,19,,,
1.70E-06,35,19,20,,,
1.50E-06,35,19,20,,,
1.50E-06,2,18,19,,,
1.50E-06,26,19,20,,,
1.50E-06,43,17,18,,,
1.40E-06,20,19,20,,,
1.70E-06,40,19,20,,,
1.50E-06,5,18,19,,,
1.90E-06,7,19,20,,,
1.50E-06,28,20,21,,,
1.60E-06,2,20,21,,,
1.50E-06,32,21,22,,,
1.60E-06,30,16,17,,,
1.70E-06,26,16,17,,,
1.40E-06,20,17,18,,,
1.50E-06,24,16,17,,,
2.00E-06,34,18,19,,,
1.90E-06,23,17,18,,,
1.50E-06,37,18,19,,,
2.60E-06,33,12,13,,,
1.60E-06,4,12,13,,,
1.50E-06,45,11,12,,,
2.00E-06,37,9,10,,,
1.40E-06,26,11,12,,,
1.50E-06,15,10,11,,,
1.80E-06,7,8,9,,,
1.50E-06,20,9,10,,,
1.50E-06,2,8,9,,,
1.60E-06,29,10,11,,,
1.40E-06,1,9,10,,,
1.50E-06,24,10,11,,,
1.60E-06,18,11,12,,,
1.70E-06,22,8,9,,,
1.50E-06,36,7,8,,,
2.40E-06,33,5,6,,,
2.30E-06,26,3,4,,,
1.60E-06,8,2,3,,,
1.50E-06,24,3,4,,,
1.50E-06,18,3,4,,,
1.40E-06,33,4,5,,,
1.60E-06,43,5,6,,,
1.50E-06,2,4,5,,,
3.30E-06,19,4,5,,,
1.90E-06,31,4,5,,,
1.70E-06,28,5,6,,,
1.70E-06,11,2,3,,,
1.50E-06,24,3,4,,,
1.70E-06,34,4,5,,,
1.60E-06,6,4,5,,,
1.60E-06,44,0,1,,,
1.60E-06,21,2,3,,,
1.30E-06,2,0,1,,,
1.40E-06,25,0,1,,,
3.10E-06,33,1,2,,,
1.70E-06,1,3,4,,,
1.70E-06,39,4,5,,,
2.50E-06,22,6,7,,,
