cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
3.00E-06,32,0,1,,,1.83E-01
2.30E-06,20,0,1,,,15066
1.40E-05,23,0,3,,,
1.11E-05,17,0,3,,,
1.38E-05,7,0,4,,,
1.73E-05,14,0,5,,,
1.10E-05,22,0,5,,,
1.04E-05,17,0,7,,,
1.01E-05,25,0,8,,,
1.02E-05,21,0,7,,,
1.01E-05,20,0,7,,,
1.00E-05,9,0,6,,,
9.90E-06,29,0,7,,,
9.90E-06,16,0,7,,,
1.03E-05,38,0,8,,,
1.04E-05,20,0,5,,,
1.02E-05,13,0,6,,,
1.03E-05,25,0,8,,,
1.04E-05,7,0,8,,,
1.04E-05,10,0,9,,,
1.61E-05,25,0,8,,,
1.48E-05,45,0,8,,,
1.49E-05,14,0,9,,,
1.02E-05,34,0,6,,,
9.90E-06,20,0,7,,,
9.90E-06,36,0,7,,,
1.00E-05,17,0,8,,,
1.00E-05,2,0,8,,,
1.02E-05,35,0,9,,,
9.90E-06,44,0,10,,,
1.00E-05,24,0,2,,,
1.30E-06,25,0,1,,,
1.02E-05,36,0,2,,,
9.90E-06,33,0,3,,,
1.30E-06,45,0,1,,,
1.04E-05,23,0,2,,,
1.30E-06,39,0,1,,,
1.03E-05,5,0,3,,,
1.02E-05,18,0,3,,,
1.06E-05,45,0,6,,,
1.05E-05,26,0,7,,,
1.00E-05,22,0,7,,,
1.03E-05,32,0,7,,,
1.11E-05,1,0,5,,,
1.07E-05,13,0,5,,,
1.03E-05,45,0,5,,,
1.01E-05,33,0,2,,,
1.01E-05,42,0,4,,,
1.02E-05,26,0,5,,,
1.01E-05,1,0,2,,,
1.20E-06,2,0,1,,,
1.50E-05,12,0,2,,,
1.02E-05,13,0,2,,,
3.00E-06,25,0,1,,,
1.26E-05,24,0,2,,,
1.01E-05,43,0,3,,,
1.03E-05,21,0,4,,,
1.09E-05,1,0,4,,,
1.07E-05,33,0,5,,,
1.00E-05,31,0,5,,,
1.02E-05,38,0,4,,,
1.15E-05,34,0,3,,,
1.31E-05,9,0,3,,,
1.50E-06,5,0,1,,,
1.04E-05,8,0,3,,,
1.01E-05,29,0,3,,,
1.01E-05,14,0,4,,,
1.00E-05,20,0,5,,,
1.40E-06,13,0,1,,,
1.02E-05,28,0,2,,,
1.03E-05,36,0,5,,,
9.90E-06,9,0,11,,,
1.79E-05,2,0,7,,,
1.05E-05,16,0,9,,,
1.00E-05,38,0,9,,,
1.00E-05,4,0,10,,,
1.01E-05,34,0,10,,,
1.38E-05,18,0,9,,,
1.02E-05,21,0,11,,,
1.02E-05,27,0,11,,,
1.01E-05,22,0,11,,,
1.00E-05,34,0,11,,,
1.03E-05,31,0,12,,,
1.00E-05,34,0,6,,,
1.01E-05,23,0,3,,,
1.00E-05,31,0,4,,,
1.00E-05,24,0,9,,,
1.02E-05,37,0,10,,,
9.90E-06,25,0,10,,,
1.09E-05,1,0,10,,,
1.00E-05,12,0,11,,,
1.01E-05,38,0,14,,,
1.01E-05,17,0,14,,,
1.05E-05,1,0,20,,,
2.26E-05,38,0,18,,,
1.54E-05,37,0,18,,,
1.13E-05,18,0,15,,,
