cas operacie,index prvku,dlzka zoznamu,,,
2.41E-05,0,0,,,3.30E-01
1.73E-05,0,0,,,14950
1.95E-05,2,4,,,
2.62E-05,2,3,,,
2.37E-05,2,3,,,
1.84E-05,2,6,,,
1.79E-05,1,6,,,
1.78E-05,3,4,,,
1.78E-05,4,5,,,
6.15E-05,7,10,,,
2.27E-05,2,9,,,
1.89E-05,4,7,,,
1.82E-05,5,6,,,
1.83E-05,6,7,,,
1.83E-05,5,6,,,
1.81E-05,1,6,,,
1.02E-05,0,7,,,
1.77E-05,2,6,,,
1.77E-05,4,6,,,
1.03E-05,0,7,,,
1.00E-05,0,9,,,
3.05E-05,2,8,,,
1.76E-05,2,3,,,
1.01E-05,0,1,,,
1.05E-05,0,2,,,
1.04E-05,0,1,,,
1.03E-05,0,0,,,
1.78E-05,1,6,,,
1.98E-05,3,4,,,
1.03E-05,0,2,,,
1.01E-05,0,0,,,
1.77E-05,1,4,,,
1.03E-05,0,2,,,
1.03E-05,0,1,,,
1.02E-05,0,0,,,
1.03E-05,0,1,,,
1.06E-05,0,1,,,
1.84E-05,1,5,,,
1.80E-05,2,4,,,
1.79E-05,3,4,,,
1.82E-05,2,3,,,
1.02E-05,0,0,,,
2.29E-05,0,2,,,
1.79E-05,1,2,,,
1.80E-05,1,3,,,
1.04E-05,0,2,,,
1.00E-05,0,0,,,
2.10E-05,0,1,,,
1.03E-05,0,1,,,
1.45E-05,0,1,,,
1.16E-05,0,1,,,
1.44E-05,0,1,,,
1.08E-05,0,3,,,
1.82E-05,1,4,,,
1.80E-05,2,8,,,
1.77E-05,2,9,,,
1.78E-05,2,8,,,
2.37E-05,3,7,,,
6.79E-05,3,6,,,
1.80E-05,7,11,,,
1.80E-05,2,10,,,
1.79E-05,11,12,,,
2.22E-05,4,9,,,
1.05E-05,0,7,,,
1.81E-05,3,6,,,
1.79E-05,3,5,,,
1.77E-05,1,4,,,
1.77E-05,1,2,,,
1.46E-05,0,2,,,
1.05E-05,0,1,,,
1.81E-05,1,2,,,
1.79E-05,2,8,,,
1.79E-05,2,6,,,
3.23E-05,8,9,,,
1.03E-05,0,9,,,
1.94E-05,6,10,,,
2.06E-05,8,10,,,
1.79E-05,13,18,,,
1.78E-05,4,17,,,
1.79E-05,15,17,,,
2.53E-05,10,19,,,
2.38E-05,7,18,,,
2.88E-05,14,16,,,
2.18E-05,5,14,,,
1.88E-05,8,14,,,
2.74E-05,10,12,,,
1.92E-05,8,11,,,
1.89E-05,2,9,,,
1.89E-05,1,11,,,
1.96E-05,7,12,,,
1.88E-05,3,11,,,
1.92E-05,5,10,,,
1.91E-05,5,10,,,
2.89E-05,6,8,,,
2.30E-05,3,7,,,
1.11E-05,0,8,,,
1.86E-05,4,7,,,
1.86E-05,2,5,,,
1.88E-05,7,9,,,
2.12E-05,3,8,,,
2.01E-05,5,7,,,
1.88E-05,3,10,,,
1.86E-05,8,9,,,
1.85E-05,1,9,,,
1.87E-05,6,8,,,
1.85E-05,1,7,,,
1.85E-05,3,6,,,
1.86E-05,3,5,,,
1.80E-05,0,6,,,
1.40E-05,0,6,,,
1.94E-05,3,5,,,
1.12E-05,0,4,,,
2.53E-05,2,3,,,
1.91E-05,3,4,,,
1.14E-05,0,3,,,
1.12E-05,0,2,,,
1.89E-05,2,4,,,
1.86E-05,1,2,,,
1.11E-05,0,1,,,
1.12E-05,0,3,,,
1.11E-05,0,2,,,
1.86E-05,1,2,,,
1.13E-05,0,0,,,
1.88E-05,1,2,,,
1.88E-05,1,2,,,
3.18E-05,7,11,,,
2.35E-05,4,11,,,
1.92E-05,7,10,,,
1.87E-05,3,7,,,
1.93E-05,3,9,,,
1.88E-05,2,8,,,
1.88E-05,4,8,,,
1.13E-05,0,9,,,
1.89E-05,7,11,,,
1.88E-05,8,10,,,
1.87E-05,3,6,,,
1.13E-05,0,5,,,
1.90E-05,2,6,,,
1.10E-05,0,6,,,
1.11E-05,0,3,,,
1.85E-05,1,2,,,
1.51E-05,0,2,,,
1.89E-05,1,3,,,
1.09E-05,0,1,,,
1.12E-05,0,2,,,
2.73E-05,3,12,,,
2.93E-05,4,10,,,
2.75E-05,12,17,,,
2.54E-05,2,19,,,
2.18E-05,1,21,,,
2.74E-05,9,20,,,
3.52E-05,3,23,,,
2.95E-05,7,19,,,
1.94E-05,2,16,,,
2.40E-05,6,19,,,
1.89E-05,12,17,,,
2.62E-05,3,19,,,
2.48E-05,15,21,,,
2.77E-05,2,20,,,
2.59E-05,1,20,,,
1.95E-05,9,21,,,
1.87E-05,4,20,,,
1.85E-05,17,19,,,
1.88E-05,13,18,,,
1.17E-05,0,26,,,
1.90E-05,22,27,,,
1.88E-05,3,29,,,
1.87E-05,1,28,,,
2.55E-05,13,23,,,
2.38E-05,20,25,,,
2.14E-05,3,25,,,
2.39E-05,10,23,,,
2.36E-05,4,23,,,
2.46E-05,4,21,,,
1.91E-05,7,21,,,
1.91E-05,6,17,,,
1.90E-05,6,15,,,
1.11E-05,0,13,,,
1.97E-05,10,16,,,
1.92E-05,7,17,,,
1.88E-05,13,16,,,
2.02E-05,7,18,,,
2.37E-05,1,18,,,
1.97E-05,5,19,,,
1.95E-05,12,20,,,
1.89E-05,9,18,,,
1.90E-05,12,19,,,
1.90E-05,7,17,,,
2.23E-05,5,19,,,
1.89E-05,12,17,,,
2.39E-05,7,20,,,
1.92E-05,13,21,,,
1.92E-05,11,20,,,
1.89E-05,13,17,,,
1.89E-05,12,19,,,
3.36E-05,3,18,,,
2.11E-05,5,18,,,
1.96E-05,9,16,,,
1.91E-05,9,18,,,
1.10E-05,0,12,,,
1.89E-05,8,12,,,
1.90E-05,3,11,,,
1.88E-05,5,10,,,
1.88E-05,4,8,,,
1.86E-05,4,10,,,
2.10E-05,0,10,,,
2.50E-05,4,10,,,
3.10E-05,3,8,,,
2.41E-05,4,8,,,
1.91E-05,4,8,,,
1.87E-05,1,10,,,
1.12E-05,0,9,,,
1.87E-05,2,8,,,
1.88E-05,7,9,,,
1.87E-05,4,8,,,
1.88E-05,1,10,,,
3.05E-05,3,11,,,
2.26E-05,8,10,,,
2.24E-05,2,8,,,
1.12E-05,0,6,,,
1.90E-05,3,5,,,
1.87E-05,2,6,,,
5.84E-05,2,3,,,
2.76E-05,2,3,,,
1.88E-05,4,5,,,
1.88E-05,3,5,,,
1.86E-05,4,5,,,
1.86E-05,3,4,,,
2.58E-05,3,4,,,
2.53E-05,2,3,,,
2.57E-05,1,2,,,
2.53E-05,1,4,,,
1.40E-05,0,3,,,
1.44E-05,0,2,,,
2.40E-05,3,4,,,
2.66E-05,2,5,,,
2.69E-05,2,4,,,
2.78E-05,1,3,,,
1.16E-05,0,1,,,
1.12E-05,0,0,,,
1.12E-05,0,2,,,
1.11E-05,0,0,,,
2.71E-05,1,5,,,
1.92E-05,3,5,,,
1.89E-05,4,5,,,
1.87E-05,4,7,,,
1.39E-05,0,7,,,
1.90E-05,1,6,,,
2.77E-05,3,6,,,
2.49E-05,3,5,,,
1.52E-05,0,4,,,
2.11E-05,0,4,,,
1.89E-05,0,3,,,
1.91E-05,0,2,,,
2.61E-05,1,2,,,
1.36E-05,0,1,,,
1.33E-05,0,0,,,
1.16E-05,0,1,,,
1.11E-05,0,0,,,
1.87E-05,1,2,,,
1.11E-05,0,0,,,
1.37E-05,0,0,,,
1.13E-05,0,2,,,
1.87E-05,10,12,,,
1.86E-05,2,10,,,
1.89E-05,3,6,,,
