cas operacie,index prvku,dlzka zoznamu,,,
1.28E-05,0,0,,,1.88E-01
2.57E-05,3,3,,,14919
2.22E-05,3,3,,,
1.70E-05,3,3,,,
1.04E-05,7,7,,,
1.02E-05,6,6,,,
1.07E-05,8,8,,,
1.06E-05,7,7,,,
1.05E-05,5,5,,,
1.05E-05,4,4,,,
1.06E-05,7,7,,,
1.04E-05,8,8,,,
1.04E-05,7,7,,,
1.16E-05,7,7,,,
1.07E-05,6,6,,,
1.07E-05,5,5,,,
1.03E-05,5,5,,,
1.01E-05,7,7,,,
1.01E-05,6,6,,,
1.02E-05,6,6,,,
1.04E-05,6,6,,,
1.02E-05,9,9,,,
1.82E-05,9,9,,,
1.05E-05,6,6,,,
1.08E-05,5,5,,,
1.02E-05,3,3,,,
1.05E-05,4,4,,,
1.03E-05,4,4,,,
1.02E-05,1,1,,,
1.03E-05,0,0,,,
1.52E-05,1,1,,,
1.33E-05,1,1,,,
1.02E-05,1,1,,,
1.04E-05,1,1,,,
1.03E-05,3,3,,,
1.02E-05,2,2,,,
1.05E-05,5,5,,,
1.03E-05,7,7,,,
1.56E-05,5,5,,,
1.05E-05,1,1,,,
1.04E-05,5,5,,,
1.03E-05,1,1,,,
1.09E-05,1,1,,,
1.59E-05,0,0,,,
1.21E-05,0,0,,,
1.36E-05,0,0,,,
1.08E-05,2,2,,,
1.30E-05,3,3,,,
1.04E-05,4,4,,,
1.03E-05,3,3,,,
1.04E-05,1,1,,,
1.30E-05,2,2,,,
1.03E-05,3,3,,,
1.02E-05,1,1,,,
1.02E-05,0,0,,,
1.69E-05,1,1,,,
1.05E-05,10,10,,,
1.03E-05,8,8,,,
1.35E-05,7,7,,,
1.20E-05,6,6,,,
1.03E-05,9,9,,,
1.60E-05,8,8,,,
1.33E-05,11,11,,,
1.19E-05,11,11,,,
1.07E-05,8,8,,,
1.02E-05,7,7,,,
1.32E-05,9,9,,,
1.03E-05,10,10,,,
1.00E-05,10,10,,,
1.05E-05,13,13,,,
1.03E-05,12,12,,,
1.04E-05,13,13,,,
1.35E-05,16,16,,,
1.56E-05,17,17,,,
1.16E-05,16,16,,,
1.76E-05,14,14,,,
2.38E-05,13,13,,,
1.14E-05,11,11,,,
1.80E-05,12,12,,,
1.15E-05,12,12,,,
1.12E-05,11,11,,,
1.84E-05,15,15,,,
1.88E-05,14,14,,,
1.14E-05,9,9,,,
1.12E-05,9,9,,,
1.16E-05,8,8,,,
1.31E-05,7,7,,,
1.15E-05,9,9,,,
1.16E-05,7,7,,,
1.12E-05,8,8,,,
1.12E-05,6,6,,,
1.12E-05,9,9,,,
1.11E-05,7,7,,,
1.13E-05,5,5,,,
1.13E-05,5,5,,,
1.14E-05,3,3,,,
1.86E-05,1,1,,,
1.39E-05,1,1,,,
1.78E-05,0,0,,,
1.14E-05,0,0,,,
1.16E-05,0,0,,,
1.13E-05,2,2,,,
1.13E-05,9,9,,,
1.13E-05,9,9,,,
1.11E-05,8,8,,,
1.13E-05,7,7,,,
1.12E-05,8,8,,,
1.12E-05,9,9,,,
1.47E-05,10,10,,,
1.17E-05,10,10,,,
1.12E-05,8,8,,,
1.12E-05,7,7,,,
1.11E-05,6,6,,,
1.13E-05,7,7,,,
1.11E-05,6,6,,,
1.13E-05,5,5,,,
1.13E-05,2,2,,,
1.13E-05,0,0,,,
1.64E-05,1,1,,,
1.77E-05,0,0,,,
1.22E-05,1,1,,,
1.49E-05,0,0,,,
1.14E-05,4,4,,,
1.12E-05,3,3,,,
1.13E-05,2,2,,,
1.17E-05,6,6,,,
1.18E-05,5,5,,,
1.14E-05,11,11,,,
1.51E-05,12,12,,,
1.63E-05,13,13,,,
2.09E-05,9,9,,,
1.64E-05,11,11,,,
1.55E-05,11,11,,,
1.57E-05,14,14,,,
1.45E-05,13,13,,,
1.52E-05,13,13,,,
1.48E-05,15,15,,,
1.94E-05,20,20,,,
1.53E-05,21,21,,,
1.90E-05,20,20,,,
1.62E-05,18,18,,,
1.13E-05,17,17,,,
1.13E-05,17,17,,,
1.12E-05,18,18,,,
1.18E-05,18,18,,,
1.57E-05,20,20,,,
1.16E-05,18,18,,,
1.64E-05,20,20,,,
1.15E-05,19,19,,,
1.12E-05,20,20,,,
1.11E-05,20,20,,,
1.68E-05,27,27,,,
1.31E-05,28,28,,,
1.15E-05,27,27,,,
1.14E-05,26,26,,,
1.13E-05,27,27,,,
1.14E-05,26,26,,,
1.14E-05,25,25,,,
1.13E-05,25,25,,,
1.11E-05,25,25,,,
1.13E-05,25,25,,,
1.12E-05,24,24,,,
1.56E-05,25,25,,,
1.42E-05,27,27,,,
1.36E-05,26,26,,,
1.35E-05,26,26,,,
1.38E-05,24,24,,,
1.34E-05,21,21,,,
1.22E-05,20,20,,,
1.13E-05,18,18,,,
1.17E-05,17,17,,,
1.11E-05,16,16,,,
1.13E-05,14,14,,,
1.13E-05,18,18,,,
1.70E-05,19,19,,,
1.28E-05,19,19,,,
1.11E-05,18,18,,,
1.13E-05,17,17,,,
1.43E-05,16,16,,,
1.14E-05,17,17,,,
1.26E-05,18,18,,,
1.17E-05,17,17,,,
1.15E-05,18,18,,,
1.12E-05,17,17,,,
1.11E-05,16,16,,,
1.11E-05,13,13,,,
1.39E-05,12,12,,,
1.47E-05,13,13,,,
1.14E-05,13,13,,,
1.74E-05,8,8,,,
1.12E-05,11,11,,,
1.23E-05,9,9,,,
1.13E-05,9,9,,,
1.11E-05,8,8,,,
1.23E-05,7,7,,,
1.14E-05,8,8,,,
1.41E-05,6,6,,,
2.21E-05,5,5,,,
2.01E-05,4,4,,,
1.51E-05,3,3,,,
1.15E-05,3,3,,,
1.13E-05,2,2,,,
1.16E-05,3,3,,,
1.14E-05,4,4,,,
1.12E-05,5,5,,,
1.12E-05,4,4,,,
1.53E-05,5,5,,,
1.96E-05,3,3,,,
1.47E-05,1,1,,,
1.45E-05,4,4,,,
1.44E-05,3,3,,,
1.43E-05,3,3,,,
1.41E-05,5,5,,,
1.42E-05,4,4,,,
1.45E-05,5,5,,,
1.47E-05,4,4,,,
1.11E-05,0,0,,,
1.12E-05,1,1,,,
1.11E-05,0,0,,,
1.31E-05,5,5,,,
1.19E-05,6,6,,,
1.13E-05,4,4,,,
1.14E-05,8,8,,,
1.18E-05,5,5,,,
1.61E-05,7,7,,,
1.36E-05,0,0,,,
1.65E-05,1,1,,,
1.40E-05,0,0,,,
1.19E-05,2,2,,,
1.14E-05,1,1,,,
1.11E-05,0,0,,,
1.17E-05,1,1,,,
1.22E-05,1,1,,,
1.09E-05,0,0,,,
1.12E-05,0,0,,,
1.12E-05,10,10,,,
1.62E-05,15,15,,,
2.74E-05,14,14,,,
1.14E-05,14,14,,,
1.18E-05,12,12,,,
1.13E-05,12,12,,,
1.13E-05,11,11,,,
1.11E-05,9,9,,,
1.11E-05,7,7,,,
1.12E-05,7,7,,,
1.14E-05,6,6,,,
1.41E-05,7,7,,,
1.13E-05,9,9,,,
1.13E-05,7,7,,,
1.11E-05,6,6,,,
1.11E-05,5,5,,,
1.12E-05,8,8,,,
1.13E-05,7,7,,,
2.00E-05,7,7,,,
1.13E-05,7,7,,,
1.48E-05,6,6,,,
1.64E-05,8,8,,,
1.14E-05,10,10,,,
1.13E-05,12,12,,,
1.70E-05,9,9,,,
1.15E-05,8,8,,,
1.10E-05,12,12,,,
2.44E-05,12,12,,,
1.13E-05,9,9,,,
1.13E-05,6,6,,,
1.13E-05,2,2,,,
1.12E-05,7,7,,,
1.38E-05,11,11,,,
1.11E-05,12,12,,,
1.60E-05,11,11,,,
1.15E-05,11,11,,,
1.26E-05,14,14,,,
1.34E-05,14,14,,,
2.45E-05,17,17,,,
1.13E-05,15,15,,,
1.14E-05,18,18,,,
1.12E-05,17,17,,,
1.15E-05,19,19,,,
1.16E-05,15,15,,,
1.19E-05,15,15,,,
1.13E-05,9,9,,,
1.11E-05,9,9,,,
1.13E-05,11,11,,,
1.13E-05,11,11,,,
1.14E-05,15,15,,,
2.02E-05,18,18,,,
1.14E-05,18,18,,,
1.12E-05,17,17,,,
1.13E-05,16,16,,,
1.14E-05,16,16,,,
1.24E-05,16,16,,,
1.14E-05,19,19,,,
1.13E-05,18,18,,,
1.11E-05,17,17,,,
1.04E-05,15,15,,,
1.02E-05,15,15,,,
1.36E-05,17,17,,,
1.20E-05,16,16,,,
1.12E-05,15,15,,,
1.18E-05,16,16,,,
1.28E-05,16,16,,,
1.13E-05,16,16,,,
1.15E-05,17,17,,,
1.04E-05,20,20,,,
1.01E-05,17,17,,,
1.04E-05,23,23,,,
1.12E-05,26,26,,,
1.15E-05,27,27,,,
1.02E-05,38,38,,,
1.02E-05,37,37,,,
1.03E-05,37,37,,,
1.37E-05,32,32,,,
1.05E-05,31,31,,,
1.27E-05,32,32,,,
1.03E-05,32,32,,,
1.17E-05,32,32,,,
1.16E-05,31,31,,,
1.14E-05,34,34,,,
1.13E-05,35,35,,,
1.12E-05,34,34,,,
1.14E-05,30,30,,,
1.79E-05,30,30,,,
2.12E-05,24,24,,,
1.01E-05,26,26,,,
9.26E-05,24,24,,,
1.87E-05,23,23,,,
1.41E-05,21,21,,,
1.03E-05,21,21,,,
1.01E-05,21,21,,,
1.02E-05,20,20,,,
1.48E-05,21,21,,,
1.15E-05,19,19,,,
1.13E-05,20,20,,,
1.13E-05,21,21,,,
1.60E-05,22,22,,,
1.15E-05,21,21,,,
1.17E-05,20,20,,,
1.03E-05,19,19,,,
1.02E-05,18,18,,,
1.53E-05,19,19,,,
1.11E-05,17,17,,,
1.11E-05,18,18,,,
1.43E-05,18,18,,,
1.07E-05,16,16,,,
1.02E-05,15,15,,,
1.06E-05,14,14,,,
1.05E-05,18,18,,,
1.04E-05,17,17,,,
1.07E-05,17,17,,,
1.16E-05,14,14,,,
1.03E-05,16,16,,,
1.05E-05,15,15,,,
1.26E-05,19,19,,,
1.16E-05,18,18,,,
1.04E-05,20,20,,,
1.01E-05,19,19,,,
1.03E-05,19,19,,,
1.07E-05,26,26,,,
1.04E-05,26,26,,,
1.61E-05,26,26,,,
1.25E-05,24,24,,,
1.03E-05,24,24,,,
1.05E-05,31,31,,,
1.04E-05,31,31,,,
1.00E-05,33,33,,,
1.03E-05,33,33,,,
1.20E-05,32,32,,,
1.16E-05,32,32,,,
1.05E-05,31,31,,,
1.01E-05,36,36,,,
1.13E-05,39,39,,,
2.13E-05,42,42,,,
1.47E-05,41,41,,,
1.06E-05,40,40,,,
1.02E-05,47,47,,,
1.27E-05,46,46,,,
3.50E-05,43,43,,,
1.08E-05,43,43,,,
1.03E-05,43,43,,,
1.03E-05,40,40,,,
1.37E-05,38,38,,,
1.00E-05,38,38,,,
1.03E-05,39,39,,,
1.03E-05,39,39,,,
1.06E-05,41,41,,,
1.04E-05,38,38,,,
1.03E-05,38,38,,,
1.02E-05,37,37,,,
1.81E-05,36,36,,,
1.14E-05,35,35,,,
1.07E-05,41,41,,,
1.01E-05,41,41,,,
1.59E-05,38,38,,,
1.35E-05,40,40,,,
1.76E-05,38,38,,,
1.81E-05,38,38,,,
1.32E-05,38,38,,,
1.06E-05,33,33,,,
1.16E-05,35,35,,,
1.03E-05,37,37,,,
1.03E-05,36,36,,,
1.00E-05,37,37,,,
1.01E-05,39,39,,,
1.01E-05,41,41,,,
1.26E-05,41,41,,,
1.02E-05,45,45,,,
1.02E-05,43,43,,,
1.01E-05,42,42,,,
1.02E-05,44,44,,,
1.04E-05,45,45,,,
1.11E-05,45,45,,,
1.01E-05,44,44,,,
1.02E-05,47,47,,,
1.02E-05,46,46,,,
1.02E-05,45,45,,,
1.03E-05,44,44,,,
1.03E-05,44,44,,,
1.54E-05,44,44,,,
