cas operacie,index prvku,dlzka zoznamu,,,
1.73E-05,0,1,,,1.93E-01
1.78E-05,0,0,,,15131
1.68E-05,0,0,,,
1.29E-05,0,2,,,
1.80E-05,0,4,,,
1.03E-05,0,6,,,
1.02E-05,0,5,,,
1.03E-05,0,6,,,
1.06E-05,0,6,,,
1.05E-05,0,6,,,
1.03E-05,0,5,,,
1.07E-05,0,4,,,
1.06E-05,0,4,,,
1.05E-05,0,6,,,
1.07E-05,0,8,,,
1.26E-05,0,7,,,
1.07E-05,0,6,,,
1.01E-05,0,6,,,
1.02E-05,0,7,,,
1.04E-05,0,8,,,
1.02E-05,0,9,,,
1.35E-05,0,7,,,
1.05E-05,0,4,,,
1.05E-05,0,3,,,
1.02E-05,0,2,,,
1.06E-05,0,1,,,
1.02E-05,0,5,,,
1.04E-05,0,2,,,
1.00E-05,0,0,,,
1.01E-05,0,2,,,
1.05E-05,0,1,,,
1.02E-05,0,2,,,
1.02E-05,0,2,,,
1.01E-05,0,2,,,
1.47E-05,0,5,,,
1.01E-05,0,4,,,
1.03E-05,0,6,,,
1.04E-05,0,6,,,
1.62E-05,0,6,,,
1.67E-05,0,4,,,
1.28E-05,0,4,,,
1.08E-05,0,4,,,
1.04E-05,0,3,,,
1.01E-05,0,1,,,
1.02E-05,0,0,,,
1.01E-05,0,3,,,
1.01E-05,0,3,,,
1.02E-05,0,0,,,
6.70E-05,0,1,,,
1.04E-05,0,5,,,
1.02E-05,0,4,,,
1.27E-05,0,4,,,
1.59E-05,0,3,,,
1.05E-05,0,2,,,
1.05E-05,0,1,,,
1.03E-05,0,0,,,
1.03E-05,0,0,,,
1.03E-05,0,2,,,
1.03E-05,0,4,,,
1.05E-05,0,0,,,
1.16E-05,0,2,,,
1.00E-05,0,9,,,
1.01E-05,0,8,,,
1.01E-05,0,7,,,
1.01E-05,0,6,,,
1.03E-05,0,9,,,
1.17E-05,0,5,,,
1.02E-05,0,10,,,
1.02E-05,0,9,,,
1.01E-05,0,8,,,
1.05E-05,0,7,,,
1.01E-05,0,6,,,
1.05E-05,0,10,,,
1.01E-05,0,10,,,
1.02E-05,0,10,,,
1.12E-05,0,10,,,
1.30E-05,0,10,,,
1.03E-05,0,5,,,
1.02E-05,0,4,,,
1.03E-05,0,5,,,
1.03E-05,0,3,,,
1.04E-05,0,9,,,
1.57E-05,0,9,,,
1.02E-05,0,11,,,
1.04E-05,0,14,,,
1.03E-05,0,13,,,
1.42E-05,0,15,,,
1.02E-05,0,19,,,
1.88E-05,0,17,,,
2.05E-05,0,15,,,
2.06E-05,0,16,,,
1.70E-05,0,15,,,
1.13E-05,0,15,,,
1.15E-05,0,12,,,
1.18E-05,0,10,,,
1.40E-05,0,13,,,
1.14E-05,0,8,,,
1.13E-05,0,6,,,
1.13E-05,0,4,,,
1.12E-05,0,3,,,
1.13E-05,0,10,,,
1.12E-05,0,9,,,
1.61E-05,0,9,,,
1.11E-05,0,8,,,
1.11E-05,0,7,,,
1.14E-05,0,9,,,
1.11E-05,0,7,,,
1.12E-05,0,8,,,
1.12E-05,0,4,,,
1.13E-05,0,4,,,
1.12E-05,0,3,,,
1.12E-05,0,3,,,
1.15E-05,0,2,,,
1.14E-05,0,1,,,
1.39E-05,0,0,,,
1.12E-05,0,10,,,
1.11E-05,0,8,,,
1.13E-05,0,6,,,
1.14E-05,0,9,,,
1.15E-05,0,9,,,
1.10E-05,0,7,,,
1.12E-05,0,7,,,
1.11E-05,0,8,,,
