cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
1e-07,0,0,1,
1e-07,0,0,1,
1e-07,0,0,2,
1e-07,2,2,4,
1e-07,3,3,5,
1e-07,0,0,1,
1e-07,0,0,2,
1e-07,0,0,1,
2e-07,1,1,2,
2e-07,0,0,1,
2e-07,2,2,3,
1e-07,2,2,3,
1e-07,1,1,3,
1e-07,0,0,4,
2e-07,3,3,4,
1e-07,0,0,4,
1e-07,1,1,7,
2e-07,1,1,5,
1e-07,0,0,6,
1e-07,2,2,6,
1e-07,0,0,1,
2e-07,5,5,8,
1e-07,6,6,12,
1e-07,4,4,20,
2e-07,16,16,20,
1e-07,0,0,18,
1e-07,5,5,9,
1e-07,3,3,10,
1e-07,0,0,10,
2e-07,2,2,13,
2e-07,3,3,16,
2e-07,10,10,13,
2e-07,5,5,11,
2e-07,8,8,11,
1e-07,3,3,4,
2e-07,13,13,24,
1e-07,1,1,17,
1e-07,9,9,15,
2e-07,9,9,14,
3e-07,14,14,16,
2e-07,12,12,15,
2e-07,11,11,13,
2e-07,6,6,22,
2e-07,13,13,25,
3e-07,19,19,26,
3e-07,29,29,38,
3e-07,28,28,33,
1e-07,1,1,33,
3e-07,26,26,31,
3e-07,25,25,30,
3e-07,23,23,28,
3e-07,27,27,28,
2e-07,11,11,23,
3e-07,15,15,21,
2e-07,11,11,20,
1e-07,2,2,20,
2e-07,1,1,18,
2e-07,17,17,18,
1e-07,6,6,18,
1e-07,4,4,26,
1e-07,1,1,27,
2e-07,0,0,26,
2e-07,6,6,28,
2e-07,9,9,28,
1e-07,1,1,25,
2e-07,8,8,22,
2e-07,7,7,27,
2e-07,22,22,27,
2e-07,7,7,32,
1e-07,0,0,34,
3e-07,15,15,39,
1e-07,1,1,35,
1e-07,0,0,33,
3e-07,20,20,31,
2e-07,23,23,32,
2e-07,6,6,35,
2e-07,6,6,37,
3e-07,25,25,31,
3e-07,27,27,28,
4e-07,27,27,28,
2e-07,17,17,28,
2e-07,14,14,22,
1e-07,0,0,21,
2e-07,9,9,20,
2e-07,2,2,11,
2e-07,11,11,12,
2e-07,4,4,15,
2e-07,20,20,21,
3e-07,8,8,21,
3e-07,13,13,14,
2e-07,5,5,9,
1e-07,1,1,3,
1e-07,0,0,1,
1e-07,0,0,1,
2e-07,1,1,3,
1e-07,1,1,3,
1e-07,0,0,1,
1e-07,0,0,4,
2e-07,3,3,4,
1e-07,2,2,3,
1e-07,0,0,6,
3e-07,0,0,5,
1e-07,0,0,2,
1e-07,2,2,3,
2e-07,4,4,5,
3e-07,9,9,12,
2e-07,6,6,12,
2e-07,9,9,16,
2e-07,9,9,17,
2e-07,10,10,18,
3e-07,5,5,16,
2e-07,9,9,16,
2e-07,6,6,19,
2e-07,4,4,19,
4e-07,14,14,20,
2e-07,0,0,16,
3e-07,14,14,17,
2e-07,0,0,8,
1e-07,4,4,21,
2e-07,7,7,19,
1e-07,3,3,13,
3e-07,20,20,21,
2e-07,7,7,20,
2e-07,6,6,23,
4e-07,10,10,26,
3e-07,18,18,29,
3e-07,25,25,26,
2e-07,1,1,26,
2e-07,3,3,31,
3e-07,23,23,24,
2e-07,15,15,19,
3e-07,11,11,16,
2e-07,3,3,15,
3e-07,11,11,27,
1e-07,0,0,27,
2e-07,2,2,22,
2e-07,6,6,12,
4e-07,6,6,12,
2e-07,9,9,13,
3e-07,3,3,12,
2e-07,1,1,11,
2e-07,2,2,8,
2e-07,10,10,14,
2e-07,11,11,17,
2e-07,7,7,16,
2e-07,8,8,18,
1e-07,1,1,22,
2e-07,16,16,22,
1e-07,2,2,21,
1e-07,9,9,21,
3e-07,17,17,21,
1e-07,6,6,22,
2e-07,17,17,23,
2e-07,15,15,26,
4e-07,35,35,42,
2e-07,16,16,42,
2e-07,0,0,43,
2e-07,8,8,36,
1e-07,2,2,44,
3e-07,17,17,36,
1e-07,1,1,35,
3e-07,16,16,38,
2e-07,14,14,31,
2e-07,11,11,32,
1e-07,0,0,37,
3e-07,20,20,37,
2e-07,4,4,46,
4e-07,30,30,48,
1e-07,1,1,49,
3e-07,23,23,46,
2e-07,11,11,46,
2e-07,0,0,46,
2e-07,0,0,40,
3e-07,18,18,37,
1e-07,6,6,37,
3e-07,16,16,36,
3e-07,19,19,37,
3e-07,30,30,39,
1e-07,6,6,36,
2e-07,10,10,36,
3e-07,30,30,36,
4e-07,33,33,36,
2e-07,18,18,40,
3e-07,28,28,43,
3e-07,20,20,46,
2e-07,17,17,40,
4e-07,41,41,42,
3e-07,35,35,41,
2e-07,15,15,37,
2e-07,14,14,39,
1e-07,1,1,37,
3e-07,18,18,37,
4e-07,36,36,44,
2e-07,14,14,41,
