cas operacie,cislo,index prvku,dlzka zoznamu,
4e-07,92,0,1,
1e-07,91,0,2,
1e-07,95,3,5,
1e-07,95,0,1,
1e-07,91,0,1,
2e-07,92,1,4,
2e-07,95,0,2,
1e-07,93,0,3,
1e-07,94,1,3,
1e-07,95,0,3,
1e-07,92,0,3,
2e-07,93,0,1,
1e-07,93,0,10,
2e-07,92,10,13,
2e-07,94,3,21,
3e-07,95,17,20,
2e-07,91,3,9,
2e-07,92,4,12,
2e-07,94,6,18,
1e-07,93,0,2,
1e-07,94,0,2,
2e-07,92,13,18,
2e-07,95,6,14,
2e-07,93,5,13,
2e-07,94,5,12,
2e-07,94,19,36,
2e-07,93,13,35,
3e-07,91,12,32,
2e-07,93,15,30,
3e-07,93,21,27,
2e-07,93,16,23,
3e-07,91,19,25,
2e-07,95,13,22,
1e-07,93,5,25,
3e-07,94,26,35,
1e-07,92,9,35,
2e-07,94,20,29,
2e-07,92,2,27,
2e-07,92,18,27,
2e-07,95,10,16,
1e-07,92,4,18,
1e-07,93,6,22,
2e-07,94,11,22,
2e-07,95,0,14,
2e-07,94,13,16,
1e-07,95,1,3,
2e-07,92,0,2,
1e-07,92,0,1,
1e-07,93,0,1,
1e-07,95,0,2,
1e-07,91,0,1,
1e-07,91,1,3,
2e-07,92,0,3,
2e-07,92,0,1,
1e-07,95,0,2,
1e-07,91,1,4,
2e-07,91,2,8,
2e-07,94,5,16,
8e-07,94,10,19,
2e-07,93,2,18,
2e-07,95,1,20,
1e-07,95,1,21,
2e-07,93,13,21,
1e-07,94,1,11,
2e-07,94,3,19,
2e-07,91,7,26,
4e-07,95,21,25,
2e-07,95,15,24,
2e-07,95,0,28,
2e-07,91,6,27,
4e-07,91,23,25,
2e-07,91,11,16,
2e-07,91,0,16,
3e-07,95,11,27,
3e-07,92,7,22,
2e-07,94,6,16,
2e-07,94,9,14,
2e-07,94,13,21,
1e-07,91,2,22,
2e-07,93,7,22,
2e-07,93,14,25,
2e-07,94,19,24,
3e-07,92,17,31,
2e-07,92,14,39,
3e-07,91,31,42,
4e-07,95,37,43,
3e-07,94,25,41,
2e-07,95,6,35,
1e-07,94,0,35,
3e-07,93,29,34,
1e-07,92,0,34,
1e-07,94,5,43,
2e-07,91,15,51,
2e-07,95,9,39,
3e-07,91,28,37,
3e-07,95,21,36,
3e-07,92,28,36,
2e-07,91,20,36,
2e-07,93,8,41,
3e-07,93,28,46,
2e-07,95,0,46,
3e-07,91,28,42,
4e-07,94,32,42,
3e-07,91,39,42,
4e-07,95,36,40,
2e-07,94,12,39,
3e-07,95,21,34,
3e-07,93,34,39,
1e-07,93,10,39,
2e-07,94,13,51,
4e-07,92,37,50,
4e-07,91,45,50,
3e-07,95,37,63,
4e-07,92,35,60,
2e-07,95,10,65,
4e-07,91,43,66,
4e-07,92,42,62,
3e-07,93,17,62,
5e-07,93,55,59,
5e-07,95,50,53,
4e-07,92,48,53,
5e-07,95,53,56,
4e-07,93,39,49,
4e-07,94,35,51,
3e-07,92,24,56,
4e-07,91,41,55,
3e-07,91,34,52,
1e-07,91,0,54,
3e-07,92,28,48,
4e-07,91,40,48,
1e-07,95,0,47,
2e-07,95,5,42,
4e-07,93,22,28,
2e-07,95,7,29,
2e-07,91,9,33,
2e-07,93,15,29,
3e-07,92,24,31,
4e-07,92,41,49,
2e-07,92,9,45,
3e-07,92,17,44,
2e-07,95,9,37,
3e-07,95,19,38,
3e-07,95,28,35,
1e-07,94,5,40,
4e-07,91,31,35,
2e-07,95,12,18,
3e-07,95,14,25,
2e-07,92,8,25,
2e-07,91,7,29,
2e-07,95,9,32,
2e-07,91,17,31,
2e-07,91,14,30,
2e-07,94,3,30,
2e-07,91,6,24,
3e-07,94,10,17,
2e-07,91,17,27,
2e-07,95,6,25,
2e-07,95,9,24,
1e-07,92,3,6,
1e-07,92,1,5,
2e-07,93,0,9,
1e-07,92,7,9,
2e-07,93,12,14,
2e-07,91,13,17,
2e-07,91,4,19,
1e-06,93,18,34,
2e-07,94,15,36,
2e-07,92,6,33,
2e-07,94,21,28,
2e-07,91,1,19,
2e-07,91,10,22,
2e-07,94,16,23,
2e-07,92,11,30,
2e-07,95,2,28,
2e-07,93,15,23,
3e-07,94,15,20,
2e-07,93,17,20,
2e-07,95,7,9,
2e-07,95,4,15,
2e-07,92,10,19,
2e-07,91,5,26,
1e-07,94,6,29,
2e-07,91,5,28,
2e-07,95,4,29,
1e-07,94,1,5,
1e-07,94,7,9,
2e-07,93,5,7,
1e-07,91,1,6,
1e-07,92,2,9,
1e-07,91,6,11,
1e-07,91,1,8,
2e-07,93,6,16,
2e-07,91,2,13,
