cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,1,0,2,
3e-07,41,0,2,
3e-07,9,0,1,
3e-07,26,0,1,
2e-07,12,0,1,
3e-07,10,0,2,
3e-07,35,0,1,
3e-07,16,1,3,
2e-07,43,1,3,
3e-07,24,1,3,
3e-07,39,0,3,
3e-07,20,2,4,
3e-07,21,0,5,
4e-07,29,0,6,
3e-07,5,2,5,
3e-07,16,3,6,
4e-07,30,3,5,
3e-07,33,1,5,
3e-07,29,0,3,
3e-07,33,0,2,
3e-07,10,1,4,
3e-07,3,0,5,
4e-07,18,2,5,
3e-07,13,4,6,
4e-07,35,0,8,
3e-07,15,8,11,
3e-07,17,2,9,
3e-07,36,6,10,
3e-07,35,4,9,
4e-07,20,2,4,
2e-07,32,0,1,
3e-07,6,0,1,
3e-07,12,0,1,
3e-07,4,0,2,
3e-07,41,0,1,
3e-07,40,0,2,
3e-07,26,0,1,
2e-07,28,0,1,
2e-07,29,0,2,
3e-07,26,0,1,
3e-07,9,0,1,
3e-07,18,0,1,
3e-07,19,0,3,
3e-07,45,0,1,
3e-07,45,0,2,
3e-07,33,0,2,
3e-07,43,1,3,
3e-07,41,0,3,
3e-07,38,1,3,
3e-07,18,1,4,
3e-07,5,0,4,
3e-07,16,0,1,
3e-07,9,0,2,
4e-07,2,1,4,
3e-07,28,1,5,
3e-07,38,2,6,
3e-07,43,0,5,
4e-07,29,5,7,
3e-07,31,0,8,
3e-07,34,3,6,
3e-07,12,1,8,
3e-07,13,1,4,
3e-07,28,1,6,
3e-07,7,0,2,
3e-07,24,0,2,
3e-07,24,0,3,
3e-07,26,0,1,
3e-07,17,0,1,
3e-07,11,0,2,
3e-07,35,1,3,
3e-07,33,1,3,
3e-07,18,1,3,
3e-07,42,2,4,
3e-07,34,0,1,
3e-07,8,0,2,
3e-07,2,0,3,
3e-07,5,0,4,
3e-07,10,1,4,
3e-07,34,1,4,
3e-07,4,3,6,
3e-07,1,5,9,
3e-07,2,0,9,
3e-07,12,1,13,
4e-07,20,7,13,
4e-07,28,4,13,
3e-07,35,2,14,
3e-07,7,2,15,
4e-07,42,13,15,
3e-07,5,4,17,
4e-07,36,14,19,
4e-07,41,16,19,
4e-07,35,19,21,
4e-07,6,10,19,
5e-07,39,15,21,
3e-07,11,4,20,
4e-07,18,10,21,
3e-07,9,3,21,
3e-07,41,8,18,
4e-07,27,13,16,
4e-07,40,5,9,
3e-07,21,1,10,
4e-07,34,9,11,
3e-07,18,1,11,
4e-07,7,8,12,
3e-07,22,1,12,
3e-07,15,4,13,
3e-07,19,4,13,
4e-07,19,2,9,
3e-07,30,0,11,
4e-07,6,7,17,
4e-07,33,14,17,
4e-07,20,13,19,
4e-07,23,3,20,
3e-07,22,5,20,
4e-07,39,12,18,
3e-07,2,10,19,
4e-07,35,7,13,
3e-07,24,0,14,
3e-07,3,3,9,
3e-07,42,0,9,
4e-07,40,3,12,
4e-07,14,6,12,
3e-07,10,0,3,
3e-07,45,0,1,
3e-07,16,2,4,
3e-07,12,0,1,
3e-07,20,0,1,
3e-07,22,0,2,
3e-07,5,0,4,
3e-07,13,2,5,
3e-07,9,1,10,
4e-07,12,1,10,
5e-07,19,12,14,
3e-07,16,4,15,
4e-07,30,1,10,
4e-07,40,5,11,
4e-07,42,9,18,
4e-07,4,14,18,
4e-07,2,12,18,
4e-07,35,13,18,
4e-07,41,2,19,
4e-07,3,9,19,
3e-07,10,1,21,
4e-07,9,20,22,
4e-07,23,12,21,
4e-07,23,14,16,
4e-07,6,13,17,
4e-07,22,9,16,
4e-07,15,8,15,
3e-07,43,12,15,
