cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
1.3e-06,12,0,1,
4e-07,24,1,2,
3e-07,41,1,2,
3e-07,14,1,2,
2e-07,43,1,2,
3e-07,39,0,1,
3e-07,15,1,2,
3e-07,42,0,1,
6e-07,43,2,3,
2e-07,36,0,1,
3e-07,39,1,2,
2e-07,31,0,1,
3e-07,10,0,1,
3e-07,8,1,2,
3e-07,20,1,2,
3e-07,40,6,7,
3e-07,22,5,6,
2e-07,23,5,6,
2e-07,24,1,2,
3e-07,1,2,3,
3e-07,10,0,1,
2e-07,20,1,2,
3e-07,23,3,4,
3e-07,18,2,3,
2e-07,2,1,2,
2e-07,7,2,3,
3e-07,20,5,6,
2e-07,28,2,3,
3e-07,36,3,4,
3e-07,26,4,5,
2e-07,27,5,6,
3e-07,2,8,9,
3e-07,7,9,10,
2e-07,41,9,10,
3e-07,8,0,1,
3e-07,42,0,1,
3e-07,12,1,2,
3e-07,39,0,1,
3e-07,5,0,1,
3e-07,40,0,1,
2e-07,5,0,1,
3e-07,22,0,1,
3e-07,40,0,1,
3e-07,29,1,2,
3e-07,22,1,2,
3e-07,5,1,2,
2e-07,26,1,2,
3e-07,22,2,3,
3e-07,28,3,4,
2e-07,18,2,3,
2e-07,31,0,1,
3e-07,31,1,2,
3e-07,7,3,4,
2e-07,18,1,2,
3e-07,13,0,1,
3e-07,17,2,3,
3e-07,28,3,4,
4e-07,33,3,4,
3e-07,25,4,5,
2e-07,31,5,6,
3e-07,18,5,6,
3e-07,14,7,8,
3e-07,43,6,7,
3e-07,9,6,7,
3e-07,9,5,6,
3e-07,16,3,4,
3e-07,43,4,5,
2e-07,37,5,6,
3e-07,1,5,6,
3e-07,15,4,5,
3e-07,10,2,3,
3e-07,5,0,1,
3e-07,39,1,2,
3e-07,39,2,3,
3e-07,4,0,1,
3e-07,24,3,4,
2e-07,24,2,3,
3e-07,42,4,5,
3e-07,36,4,5,
3e-07,45,5,6,
3e-07,42,5,6,
3e-07,11,6,7,
3e-07,8,9,10,
3e-07,43,10,11,
3e-07,28,9,10,
3e-07,24,13,14,
2e-07,5,17,18,
3e-07,10,16,17,
3e-07,23,18,19,
2e-07,41,18,19,
2e-07,35,20,21,
2e-07,12,21,22,
3e-07,40,18,19,
3e-07,12,19,20,
3e-07,13,21,22,
2e-07,38,17,18,
3e-07,10,17,18,
3e-07,41,19,20,
3e-07,43,13,14,
3e-07,25,14,15,
3e-07,42,13,14,
3e-07,6,8,9,
2e-07,36,9,10,
3e-07,3,8,9,
3e-07,2,12,13,
3e-07,23,7,8,
2e-07,44,8,9,
3e-07,8,8,9,
3e-07,37,12,13,
2e-07,33,14,15,
3e-07,24,18,19,
3e-07,7,19,20,
3e-07,31,18,19,
3e-07,31,17,18,
3e-07,16,18,19,
3e-07,40,19,20,
4e-07,15,14,15,
3e-07,39,9,10,
3e-07,36,10,11,
3e-07,9,12,13,
2e-07,27,11,12,
3e-07,22,7,8,
3e-07,26,8,9,
3e-07,28,1,2,
3e-07,4,2,3,
2e-07,36,1,2,
3e-07,45,1,2,
2e-07,16,0,1,
2e-07,22,1,2,
3e-07,21,2,3,
3e-07,35,1,2,
3e-07,4,5,6,
3e-07,6,5,6,
3e-07,29,7,8,
3e-07,13,8,9,
2e-07,45,9,10,
3e-07,33,10,11,
3e-07,3,12,13,
3e-07,5,9,10,
3e-07,1,10,11,
3e-07,28,11,12,
2e-07,28,10,11,
3e-07,14,12,13,
2e-07,26,13,14,
3e-07,39,14,15,
3e-07,15,14,15,
3e-07,43,16,17,
3e-07,10,18,19,
2e-07,7,18,19,
3e-07,34,19,20,
3e-07,6,20,21,
4e-07,32,21,22,
2e-07,2,22,23,
3e-07,7,23,24,
3e-07,4,15,16,
3e-07,35,14,15,
3e-07,18,15,16,
3e-07,2,16,17,
3e-07,44,12,13,
3e-07,4,15,16,
2e-07,38,13,14,
3e-07,34,10,11,
3e-07,31,10,11,
2e-07,45,11,12,
3e-07,29,12,13,
3e-07,6,12,13,
3e-07,45,13,14,
3e-07,8,15,16,
3e-07,37,17,18,
2e-07,25,20,21,
3e-07,36,22,23,
3e-07,22,21,22,
3e-07,42,23,24,
3e-07,19,24,25,
3e-07,5,27,28,
3e-07,37,25,26,
3e-07,39,27,28,
3e-07,33,30,31,
3e-07,43,32,33,
3e-07,12,33,34,
2e-07,4,37,38,
3e-07,5,36,37,
3e-07,37,37,38,
3e-07,45,39,40,
2e-07,40,32,33,
4e-07,30,33,34,
3e-07,34,30,31,
2e-07,13,32,33,
3e-07,45,31,32,
3e-07,32,32,33,
2e-07,37,32,33,
3e-07,20,30,31,
3e-07,19,28,29,
3e-07,33,28,29,
3e-07,44,29,30,
2e-07,14,30,31,
3e-07,24,24,25,
3e-07,20,19,20,
3e-07,31,20,21,
2e-07,32,18,19,
3e-07,31,19,20,
3e-07,8,17,18,
3e-07,36,20,21,
3e-07,16,21,22,
3e-07,15,20,21,
2e-07,14,21,22,
3e-07,29,24,25,
2e-07,41,27,28,
3e-07,42,26,27,
3e-07,40,26,27,
2e-07,3,25,26,
2e-07,18,28,29,
3e-07,44,25,26,
2e-07,10,24,25,
3e-07,39,23,24,
3e-07,29,21,22,
3e-07,42,22,23,
3e-07,10,23,24,
3e-07,10,25,26,
3e-07,32,26,27,
3e-07,22,26,27,
2e-07,25,27,28,
3e-07,11,30,31,
3e-07,5,34,35,
3e-07,31,34,35,
3e-07,9,34,35,
3e-07,20,33,34,
3e-07,24,34,35,
3e-07,29,34,35,
3e-07,33,34,35,
3e-07,36,36,37,
3e-07,14,36,37,
3e-07,6,39,40,
2e-07,14,40,41,
2e-07,37,38,39,
3e-07,34,38,39,
