cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
4e-07,15,0,1,
3e-07,33,0,1,
3e-07,45,0,2,
3e-07,8,0,2,
4e-07,29,0,1,
3e-07,10,0,1,
2e-07,12,0,2,
3e-07,37,0,1,
2e-07,38,0,1,
3e-07,23,0,4,
3e-07,31,0,6,
3e-07,15,0,6,
2e-07,13,0,1,
3e-07,23,0,1,
3e-07,16,0,5,
3e-07,13,0,7,
3e-07,5,0,1,
3e-07,36,0,1,
3e-07,23,0,1,
3e-07,43,0,1,
3e-07,43,0,2,
5e-07,1,0,1,
2e-07,12,0,1,
3e-07,20,0,1,
3e-07,45,0,1,
2e-07,5,0,2,
3e-07,13,0,1,
2e-07,16,0,1,
4e-07,43,0,3,
3e-07,35,0,3,
3e-07,36,0,3,
3e-07,30,0,5,
3e-07,9,0,3,
3e-07,31,0,3,
2e-07,7,0,1,
3e-07,44,0,4,
4e-07,24,0,5,
3e-07,10,0,3,
3e-07,24,0,4,
3e-07,38,0,4,
3e-07,14,0,6,
3e-07,26,0,3,
3e-07,16,0,3,
3e-07,5,0,4,
3e-07,34,0,8,
3e-07,36,0,7,
3e-07,38,0,8,
3e-07,17,0,7,
3e-07,10,0,7,
3e-07,2,0,8,
3e-07,43,0,8,
3e-07,5,0,7,
3e-07,16,0,3,
3e-07,29,0,1,
3e-07,34,0,2,
2e-07,37,0,2,
3e-07,31,0,2,
3e-07,37,0,4,
3e-07,44,0,8,
3e-07,6,0,11,
3e-07,22,0,12,
3e-07,38,0,13,
2e-07,15,0,16,
3e-07,36,0,14,
3e-07,32,0,16,
3e-07,23,0,16,
3e-07,33,0,18,
3e-07,24,0,20,
3e-07,24,0,23,
3e-07,10,0,23,
3e-07,25,0,19,
3e-07,1,0,18,
3e-07,40,0,9,
3e-07,1,0,9,
3e-07,28,0,10,
3e-07,39,0,11,
3e-07,10,0,10,
3e-07,21,0,10,
3e-07,41,0,11,
2e-07,18,0,10,
3e-07,10,0,12,
3e-07,3,0,12,
3e-07,13,0,13,
3e-07,18,0,13,
2e-07,23,0,10,
3e-07,27,0,12,
2e-07,6,0,14,
3e-07,34,0,16,
4e-07,1,0,17,
3e-07,1,0,18,
3e-07,19,0,18,
3e-07,6,0,19,
3e-07,27,0,20,
3e-07,43,0,20,
3e-07,9,0,21,
3e-07,9,0,21,
3e-07,13,0,20,
3e-07,37,0,21,
3e-07,15,0,17,
3e-07,8,0,15,
6e-07,37,0,14,
1.1e-06,21,0,15,
3e-07,2,0,13,
3e-07,19,0,8,
3e-07,32,0,9,
3e-07,33,0,10,
3e-07,28,0,12,
3e-07,43,0,11,
3e-07,39,0,10,
3e-07,41,0,3,
3e-07,10,0,1,
3e-07,38,0,1,
3e-07,33,0,3,
3e-07,1,0,5,
3e-07,29,0,6,
3e-07,26,0,7,
3e-07,11,0,10,
3e-07,42,0,12,
3e-07,20,0,10,
3e-07,27,0,11,
3e-07,30,0,12,
3e-07,32,0,13,
3e-07,5,0,9,
3e-07,29,0,11,
4e-07,21,0,12,
3e-07,21,0,13,
3e-07,25,0,14,
3e-07,21,0,15,
3e-07,21,0,16,
4e-07,22,0,20,
3e-07,14,0,21,
4e-07,41,0,20,
3e-07,4,0,15,
3e-07,8,0,16,
3e-07,31,0,14,
3e-07,34,0,15,
3e-07,43,0,15,
3e-07,14,0,15,
3e-07,36,0,15,
3e-07,9,0,13,
2e-07,35,0,12,
2e-07,27,0,11,
3e-07,3,0,20,
3.4e-06,22,0,26,
3e-07,1,0,26,
3e-07,39,0,27,
3e-07,42,0,26,
3e-07,22,0,27,
4e-07,21,0,28,
3e-07,40,0,29,
3e-07,35,0,30,
3e-07,11,0,30,
3e-07,14,0,31,
4e-07,21,0,32,
3e-07,4,0,30,
3e-07,33,0,32,
3e-07,29,0,35,
2e-07,17,0,36,
4e-07,36,0,37,
3e-07,35,0,38,
3e-07,18,0,41,
3e-07,1,0,42,
3e-07,4,0,36,
3e-07,19,0,32,
3e-07,35,0,33,
3e-07,40,0,32,
3e-07,18,0,34,
3e-07,5,0,33,
3e-07,8,0,33,
2e-07,28,0,31,
3e-07,35,0,31,
3e-07,10,0,31,
3e-07,5,0,29,
3e-07,36,0,29,
3e-07,32,0,30,
3e-07,24,0,31,
3e-07,8,0,23,
3e-07,41,0,24,
3e-07,15,0,19,
2e-07,7,0,20,
3e-07,6,0,19,
3e-07,15,0,19,
3e-07,40,0,20,
3e-07,44,0,18,
3e-07,10,0,19,
3e-07,45,0,20,
3e-07,4,0,20,
3e-07,13,0,22,
3e-07,40,0,24,
3e-07,5,0,26,
3e-07,29,0,27,
3e-07,19,0,27,
3e-07,33,0,28,
4e-07,42,0,27,
3e-07,10,0,26,
3e-07,42,0,28,
3e-07,35,0,29,
3e-07,27,0,25,
3e-07,41,0,25,
3e-07,21,0,25,
3e-07,19,0,24,
3e-07,23,0,25,
3e-07,21,0,27,
3e-07,6,0,28,
3e-07,26,0,27,
3e-07,1,0,28,
3e-07,17,0,25,
3e-07,12,0,24,
3e-07,3,0,24,
3e-07,6,0,21,
3e-07,13,0,22,
3e-07,10,0,23,
3e-07,7,0,24,
2e-07,23,0,26,
3e-07,10,0,32,
3e-07,18,0,34,
3e-07,43,0,32,
3e-07,6,0,35,
3e-07,10,0,35,
3e-07,5,0,36,
3e-07,15,0,37,
3e-07,22,0,36,
3e-07,35,0,35,
3e-07,37,0,34,
3e-07,44,0,34,
3e-07,13,0,36,
3e-07,6,0,38,
3e-07,22,0,31,
3e-07,37,0,33,
3e-07,33,0,34,
3e-07,20,0,37,
3e-07,43,0,36,
3e-07,34,0,33,
3e-07,23,0,33,
3e-07,7,0,29,
2e-07,21,0,29,
3e-07,6,0,19,
3e-07,29,0,21,
3e-07,29,0,23,
3e-07,39,0,24,
3e-07,9,0,25,
3e-07,21,0,28,
4e-07,29,0,26,
3e-07,25,0,26,
3e-07,20,0,27,
3e-07,40,0,25,
3e-07,24,0,26,
3e-07,40,0,25,
3e-07,27,0,17,
3e-07,45,0,18,
3e-07,13,0,16,
3e-07,14,0,17,
3e-07,6,0,18,
3e-07,42,0,18,
2e-07,21,0,12,
3e-07,33,0,14,
3e-07,5,0,16,
3e-07,9,0,17,
3e-07,42,0,17,
3e-07,32,0,19,
3e-07,28,0,18,
3e-07,2,0,22,
3e-07,26,0,21,
3e-07,5,0,22,
3e-07,21,0,23,
3e-07,36,0,22,
3e-07,20,0,24,
3e-07,1,0,25,
3e-07,45,0,23,
3e-07,35,0,24,
3e-07,24,0,25,
3e-07,42,0,24,
3e-07,45,0,22,
4e-07,5,0,15,
4e-07,39,0,14,
4e-07,12,0,11,
6e-07,35,0,12,
4e-07,15,0,12,
5e-07,17,0,14,
4e-07,26,0,15,
4e-07,27,0,14,
4e-07,13,0,14,
4e-07,8,0,17,
3e-07,35,0,6,
4e-07,26,0,5,
3e-07,36,0,4,
4e-07,32,0,2,
3e-07,44,0,3,
4e-07,38,0,4,
4e-07,5,0,4,
3e-07,29,0,1,
4e-07,2,0,1,
3e-07,1,0,3,
4e-07,11,0,1,
4e-07,18,0,1,
4e-07,2,0,2,
3e-07,8,0,2,
3e-07,44,0,1,
3e-07,28,0,3,
3e-07,45,0,1,
4e-07,1,0,1,
4e-07,33,0,1,
4e-07,43,0,1,
4e-07,37,0,2,
4e-07,19,0,3,
4e-07,21,0,1,
3e-07,7,0,3,
3e-07,16,0,2,
3e-07,20,0,4,
3e-07,2,0,3,
4e-07,24,0,4,
3e-07,22,0,1,
3e-07,12,0,2,
3e-07,17,0,2,
3e-07,3,0,2,
4e-07,7,0,4,
5e-07,8,0,4,
4e-07,4,0,3,
4e-07,5,0,4,
3e-07,4,0,3,
3e-07,45,0,2,
4e-07,11,0,4,
3e-07,40,0,6,
3e-07,28,0,8,
3e-07,11,0,4,
4e-07,3,0,3,
3e-07,13,0,1,
3e-07,34,0,2,
3e-07,42,0,1,
4e-07,7,0,2,
4e-07,40,0,5,
4e-07,20,0,6,
4e-07,16,0,8,
4e-07,14,0,8,
4e-07,12,0,9,
3e-07,29,0,9,
5e-07,16,0,11,
6e-07,24,0,12,
3e-07,43,0,13,
3e-07,41,0,14,
3e-07,6,0,15,
3e-07,10,0,14,
2e-07,15,0,16,
3e-07,34,0,16,
3e-07,13,0,17,
3e-07,41,0,18,
3e-07,4,0,19,
3e-07,7,0,18,
7e-07,16,0,17,
5e-07,18,0,16,
5e-07,37,0,17,
4e-07,24,0,19,
4e-07,38,0,19,
4e-07,29,0,20,
4e-07,14,0,21,
4e-07,10,0,22,
3e-07,23,0,23,
5e-07,19,0,17,
4e-07,11,0,20,
4e-07,19,0,20,
4e-07,28,0,16,
4e-07,38,0,15,
4e-07,20,0,16,
4e-07,25,0,17,
3e-07,2,0,19,
6e-07,16,0,9,
3e-07,17,0,9,
3e-07,38,0,11,
3e-07,40,0,10,
3e-07,44,0,11,
2e-07,27,0,10,
4e-07,15,0,10,
3e-07,13,0,11,
3e-07,16,0,12,
4e-07,42,0,12,
3e-07,19,0,14,
4e-07,12,0,16,
3e-07,38,0,17,
3e-07,23,0,17,
4e-07,23,0,19,
3e-07,4,0,20,
4e-07,41,0,21,
4e-07,23,0,20,
4e-07,36,0,15,
4e-07,40,0,18,
4e-07,41,0,19,
4e-07,7,0,22,
3e-07,14,0,19,
4e-07,42,0,20,
3e-07,21,0,21,
4e-07,6,0,23,
4e-07,9,0,23,
5e-07,22,0,24,
2.3e-06,21,0,26,
4e-07,33,0,29,
5e-07,32,0,30,
4e-07,44,0,26,
4e-07,26,0,27,
4e-07,22,0,27,
5e-07,41,0,28,
3e-07,43,0,25,
5e-07,36,0,27,
4e-07,10,0,25,
4e-07,33,0,20,
4e-07,11,0,23,
5e-07,8,0,22,
4e-07,43,0,24,
3e-07,12,0,25,
3e-07,22,0,22,
5e-07,17,0,29,
4e-07,35,0,31,
4e-07,27,0,29,
5e-07,44,0,25,
4e-07,37,0,17,
5e-07,16,0,20,
6e-07,13,0,16,
4e-07,28,0,16,
5e-07,10,0,19,
4e-07,28,0,20,
4e-07,3,0,24,
5e-07,44,0,23,
4e-07,45,0,25,
4e-07,43,0,27,
4e-07,43,0,26,
4e-07,33,0,26,
4e-07,1,0,28,
4e-07,44,0,27,
5e-07,26,0,26,
8e-07,33,0,27,
5e-07,27,0,28,
4e-07,11,0,31,
5e-07,26,0,32,
4e-07,23,0,33,
5e-07,22,0,28,
5e-07,7,0,26,
5e-07,29,0,27,
5e-07,37,0,23,
4e-07,34,0,21,
4e-07,7,0,22,
4e-07,7,0,14,
6e-07,39,0,16,
5e-07,35,0,18,
3e-07,30,0,19,
4e-07,36,0,19,
6e-07,11,0,13,
3e-07,39,0,14,
4e-07,6,0,14,
4e-07,19,0,13,
4e-07,10,0,13,
4e-07,26,0,13,
4e-07,8,0,14,
3e-07,42,0,10,
4e-07,22,0,12,
4e-07,20,0,12,
4e-07,15,0,14,
4e-07,39,0,14,
5e-07,23,0,13,
3e-07,21,0,14,
5e-07,23,0,15,
4e-07,9,0,15,
4e-07,36,0,14,
6e-07,41,0,11,
5e-07,17,0,11,
5e-07,37,0,11,
3e-07,36,0,14,
3e-07,18,0,15,
4e-07,15,0,17,
4e-07,20,0,18,
4e-07,17,0,19,
4e-07,37,0,18,
3e-07,11,0,19,
4e-07,18,0,20,
3e-07,20,0,15,
3e-07,6,0,17,
3e-07,36,0,16,
3e-07,8,0,17,
3e-07,10,0,18,
3e-07,31,0,19,
3e-07,28,0,20,
3e-07,11,0,21,
3e-07,2,0,22,
4e-07,32,0,22,
3e-07,15,0,23,
3e-07,30,0,24,
3e-07,10,0,23,
3e-07,31,0,23,
3e-07,18,0,24,
3e-07,42,0,24,
3e-07,15,0,25,
3e-07,11,0,22,
3e-07,35,0,21,
3e-07,24,0,23,
3e-07,26,0,19,
3e-07,24,0,20,
3e-07,1,0,22,
3e-07,42,0,21,
3e-07,44,0,23,
3e-07,13,0,25,
4e-07,7,0,27,
3e-07,42,0,27,
