cas operacie,index prvku,dlzka zoznamu,
8e-07,0,1,
3e-07,0,1,
2e-07,0,1,
3e-07,0,0,
3e-07,0,0,
2e-07,0,0,
3e-07,0,2,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
3e-07,4,5,
2e-07,1,5,
2e-07,1,4,
3e-07,1,3,
3e-07,4,5,
3e-07,3,5,
3e-07,3,10,
3e-07,1,9,
3e-07,2,8,
2e-07,3,4,
3e-07,0,0,
2e-07,0,0,
3e-07,0,1,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
2e-07,0,1,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
2e-07,0,1,
2e-07,0,0,
2e-07,0,2,
2e-07,1,2,
2e-07,1,2,
2e-07,0,2,
2e-07,0,0,
3e-07,0,2,
3e-07,0,1,
3e-07,0,0,
2e-07,0,0,
3e-07,2,3,
3e-07,0,3,
2e-07,0,4,
2e-07,0,4,
3e-07,2,3,
2e-07,1,2,
3e-07,0,2,
3e-07,2,7,
2e-07,4,6,
2e-07,0,7,
3e-07,2,6,
3e-07,2,7,
3e-07,2,5,
2e-07,1,3,
3e-07,4,5,
2e-07,1,4,
3e-07,0,3,
3e-07,1,2,
3e-07,0,0,
2e-07,1,2,
2e-07,0,0,
2e-07,0,0,
2e-07,0,2,
2e-07,3,4,
2e-07,0,3,
3e-07,7,9,
2e-07,8,12,
3e-07,12,15,
4e-07,17,18,
2e-07,0,18,
2e-07,3,22,
3e-07,2,21,
3e-07,9,20,
3e-07,17,20,
4e-07,14,20,
3e-07,10,17,
3e-07,3,17,
2e-07,8,19,
4e-07,14,18,
3e-07,11,13,
3e-07,7,14,
2e-07,5,11,
3e-07,3,10,
3e-07,7,8,
2e-07,1,9,
2e-07,5,11,
4e-07,11,12,
3e-07,8,10,
2e-07,0,7,
3e-07,13,19,
3e-07,17,18,
3e-07,0,19,
3e-07,11,18,
2e-07,5,18,
3e-07,13,20,
3e-07,10,18,
3e-07,10,17,
4e-07,13,18,
2e-07,6,17,
3e-07,1,16,
2e-07,1,15,
3e-07,2,14,
3e-07,12,13,
3e-07,6,8,
3e-07,1,11,
2e-07,0,12,
3e-07,3,11,
3e-07,6,10,
3e-07,10,11,
2e-07,4,7,
2e-07,1,4,
3e-07,0,3,
3e-07,0,2,
2e-07,0,0,
3e-07,0,0,
2e-07,0,0,
2e-07,0,5,
4e-07,10,13,
3e-07,9,12,
3e-07,6,10,
3e-07,6,9,
2e-07,4,9,
2e-07,1,8,
3e-07,6,10,
3e-07,8,13,
3e-07,3,14,
3e-07,11,17,
3e-07,8,17,
2e-07,3,22,
4e-07,19,20,
3e-07,9,20,
3e-07,15,18,
3e-07,7,17,
3e-07,6,16,
2e-07,4,15,
2e-07,2,15,
3e-07,8,15,
3e-07,4,13,
3e-07,2,12,
3e-07,5,14,
3e-07,4,14,
3e-07,7,13,
3e-07,1,10,
3e-07,6,10,
3e-07,1,12,
3e-07,2,20,
4e-07,17,22,
3e-07,10,21,
4e-07,4,26,
4e-07,21,25,
2e-07,6,25,
4e-07,18,27,
3e-07,2,26,
4e-07,28,30,
4e-07,12,29,
3e-07,12,28,
4e-07,16,29,
4e-07,12,29,
4e-07,26,36,
3e-07,10,38,
3e-07,8,40,
4e-07,32,38,
3e-07,10,37,
4e-07,22,36,
3e-07,19,35,
4e-07,22,34,
5e-07,25,31,
4e-07,31,32,
3e-07,8,31,
4e-07,25,30,
4e-07,26,32,
3e-07,22,30,
3e-07,1,30,
4e-07,29,31,
3e-07,17,30,
2e-07,11,28,
4e-07,25,28,
3e-07,5,25,
4e-07,22,24,
4e-07,22,23,
2e-07,12,22,
3e-07,17,19,
4e-07,14,17,
3e-07,4,20,
4e-07,16,19,
2e-07,1,18,
3e-07,3,26,
4e-07,4,28,
3e-07,5,26,
4e-07,22,26,
3e-07,10,25,
3e-07,21,23,
3e-07,11,27,
2e-07,7,26,
4e-07,23,25,
3e-07,9,24,
3e-07,11,23,
3e-07,3,24,
3e-07,0,23,
3e-07,7,22,
2e-07,9,23,
3e-07,10,22,
3e-07,2,23,
2e-07,0,21,
3e-07,9,22,
3e-07,0,21,
2e-07,0,26,
3e-07,4,26,
3e-07,1,31,
3e-07,17,35,
2e-07,14,35,
3e-07,5,34,
3e-07,22,33,
4e-07,21,34,
3e-07,0,40,
3e-07,20,38,
4e-07,19,40,
4e-07,26,39,
2e-07,2,35,
3e-07,1,34,
3e-07,5,32,
4e-07,29,31,
4e-07,29,32,
4e-07,24,32,
4e-07,26,29,
3e-07,10,36,
3e-07,2,36,
4e-07,19,28,
4e-07,16,28,
3e-07,13,28,
2e-07,7,27,
3e-07,12,26,
4e-07,23,26,
2e-07,2,24,
3e-07,10,23,
3e-07,2,22,
3e-07,16,18,
3e-07,0,27,
2e-07,0,26,
2e-07,0,24,
2e-07,0,25,
4e-07,16,23,
4e-07,20,23,
4e-07,19,22,
3e-07,7,17,
3e-07,9,16,
2e-07,4,16,
3e-07,9,15,
2e-07,6,16,
2e-07,1,15,
3e-07,6,14,
4e-07,11,12,
3e-07,9,12,
3e-07,9,13,
2e-07,5,15,
3e-07,0,16,
3e-07,10,21,
3e-07,20,21,
3e-07,8,23,
3e-07,10,22,
3e-07,5,24,
3e-07,16,22,
3e-07,14,21,
3e-07,7,23,
3e-07,21,22,
3e-07,2,21,
3e-07,9,18,
4e-07,9,16,
5e-07,7,14,
2e-07,1,12,
2e-07,1,14,
4e-07,7,11,
3e-07,1,10,
5e-07,7,14,
3e-07,7,14,
3e-07,9,13,
2e-07,3,9,
4e-07,2,3,
3e-07,1,3,
3e-07,1,2,
3e-07,5,6,
4e-07,5,6,
3e-07,1,5,
4e-07,2,4,
2e-07,0,3,
3e-07,0,3,
2e-07,0,1,
3e-07,0,0,
3e-07,0,1,
2e-07,0,0,
3e-07,0,1,
3e-07,0,0,
2e-07,0,0,
3e-07,0,1,
3e-07,0,0,
3e-07,0,0,
3e-07,0,1,
3e-07,1,2,
3e-07,0,0,
4e-07,1,2,
3e-07,0,2,
3e-07,0,3,
3e-07,0,1,
3e-07,0,1,
3e-07,0,0,
4e-07,1,2,
3e-07,2,3,
3e-07,1,2,
4e-07,3,4,
3e-07,0,1,
3e-07,0,0,
3e-07,0,1,
5e-07,2,3,
3e-07,1,2,
3e-07,2,3,
4e-07,2,5,
6e-07,3,6,
4e-07,3,5,
4e-07,1,3,
3e-07,2,3,
3e-07,1,3,
2e-07,0,1,
4e-07,0,3,
3e-07,0,1,
3e-07,0,1,
3e-07,0,3,
3e-07,5,7,
3e-07,3,4,
4e-07,2,3,
3e-07,2,7,
4e-07,5,8,
3e-07,5,12,
3e-07,1,11,
3e-07,4,16,
4e-07,8,16,
3e-07,3,13,
4e-07,12,15,
3e-07,1,15,
2e-07,7,15,
2e-07,0,17,
3e-07,3,16,
4e-07,5,16,
5e-07,12,16,
6e-07,9,16,
3e-07,3,15,
4e-07,12,17,
4e-07,5,18,
6e-07,19,20,
5e-07,14,19,
3e-07,10,22,
4e-07,16,19,
3e-07,4,18,
4e-07,11,17,
4e-07,5,15,
4e-07,16,18,
3e-07,3,14,
6e-07,16,17,
4e-07,7,17,
5e-07,16,18,
4e-07,15,16,
6e-07,2,15,
2e-07,5,11,
3e-07,8,10,
2e-07,4,7,
2e-07,1,10,
2e-07,2,10,
2e-07,4,9,
2e-07,1,10,
4e-07,10,11,
3e-07,0,15,
4e-07,3,16,
3e-07,10,20,
3e-07,4,15,
4e-07,4,14,
5e-07,13,20,
5e-07,5,20,
5e-07,16,22,
3e-07,1,22,
4e-07,18,19,
5e-07,11,19,
3e-07,0,20,
5e-07,17,19,
4e-07,17,18,
4e-07,12,22,
4e-07,10,22,
4e-07,2,28,
5e-07,8,26,
5e-07,25,27,
4e-07,10,24,
3e-07,5,25,
4e-07,7,27,
4e-07,10,24,
4e-07,1,24,
5e-07,7,22,
5e-07,13,20,
3e-07,0,19,
4e-07,3,19,
3e-07,0,21,
5e-07,16,27,
4e-07,5,26,
5e-07,14,24,
4e-07,19,21,
4e-07,3,28,
4e-07,13,24,
4e-07,5,22,
4e-07,6,18,
4e-07,18,19,
5e-07,14,23,
4e-07,3,24,
5e-07,19,25,
5e-07,10,26,
6e-07,17,27,
4e-07,9,26,
5e-07,26,27,
4e-07,6,26,
3e-07,7,25,
4e-07,6,21,
4e-07,13,21,
4e-07,1,22,
3e-07,8,19,
2e-07,0,16,
3e-07,5,15,
4e-07,11,14,
3e-07,8,15,
3e-07,2,13,
4e-07,12,18,
3e-07,10,19,
4e-07,3,14,
4e-07,1,14,
3e-07,5,12,
4e-07,4,12,
4e-07,0,12,
4e-07,6,11,
4e-07,8,11,
7e-07,11,12,
4e-07,8,13,
4e-07,0,12,
3e-07,0,12,
4e-07,2,13,
3e-07,0,10,
4e-07,7,10,
4e-07,9,11,
3e-07,9,13,
3e-07,4,14,
3e-07,1,13,
4e-07,12,14,
3e-07,7,13,
3e-07,10,11,
4e-07,0,13,
4e-07,11,12,
3e-07,7,11,
3e-07,4,10,
4e-07,2,10,
4e-07,11,16,
5e-07,15,16,
5e-07,13,16,
3e-07,2,20,
5e-07,2,20,
3e-07,3,15,
2e-07,0,14,
3e-07,4,15,
5e-07,17,21,
3e-07,12,15,
3e-07,4,18,
4e-07,14,19,
3e-07,13,18,
3e-07,7,21,
4e-07,15,23,
4e-07,22,23,
3e-07,15,22,
2e-07,9,23,
4e-07,16,24,
3e-07,6,23,
3e-07,4,22,
3e-07,5,21,
3e-07,16,21,
3e-07,4,20,
3e-07,5,20,
4e-07,16,22,
2e-07,6,22,
4e-07,23,25,
3e-07,15,27,
3e-07,8,29,
5e-07,27,29,
3e-07,11,31,
5e-07,33,36,
5e-07,34,38,
3e-07,3,39,
3e-07,5,42,
2e-07,1,40,
3e-07,15,39,
5e-07,32,40,
3e-07,9,39,
4e-07,14,44,
4e-07,33,43,
4e-07,30,43,
4e-07,23,41,
3e-07,5,43,
5e-07,36,44,
4e-07,31,40,
3e-07,24,36,
5e-07,35,36,
3e-07,9,34,
5e-07,39,44,
4e-07,21,43,
5e-07,41,43,
2e-07,3,39,
4e-07,19,35,
5e-07,33,35,
5e-07,35,36,
4e-07,26,35,
4e-07,26,34,
5e-07,26,35,
4e-07,16,34,
3e-07,5,33,
4e-07,20,30,
3e-07,13,30,
4e-07,15,37,
4e-07,14,36,
3e-07,15,37,
4e-07,28,43,
3e-07,2,43,
3e-07,18,46,
4e-07,34,50,
4e-07,26,49,
5e-07,42,49,
4e-07,26,48,
5e-07,42,47,
5e-07,41,44,
5e-07,31,46,
4e-07,29,42,
5e-07,34,46,
4e-07,20,44,
3e-07,9,39,
3e-07,11,40,
2e-07,5,40,
4e-07,31,37,
3e-07,15,39,
4e-07,21,38,
4e-07,30,37,
2e-07,13,35,
4e-07,28,37,
3e-07,12,39,
3e-07,0,38,
3e-07,24,37,
3e-07,17,35,
2e-07,3,35,
4e-07,17,33,
4e-07,29,35,
3e-07,7,36,
4e-07,18,36,
3e-07,8,34,
5e-07,30,33,
4e-07,24,41,
4e-07,34,43,
5e-07,36,42,
5e-07,40,46,
4e-07,33,42,
3e-07,13,39,
3e-07,26,40,
3e-07,16,38,
2e-07,4,37,
4e-07,25,36,
4e-07,34,40,
3e-07,5,42,
2e-07,4,41,
4e-07,25,40,
3e-07,20,39,
3e-07,18,40,
2e-07,7,39,
4e-07,25,41,
4e-07,25,40,
4e-07,32,40,
4e-07,26,40,
3e-07,15,38,
3e-07,0,39,
4e-07,27,37,
2e-07,1,35,
5e-07,32,39,
4e-07,14,39,
4e-07,33,38,
4e-07,19,42,
4e-07,14,43,
4e-07,35,40,
2e-07,1,39,
3e-07,6,38,
3e-07,5,38,
4e-07,32,40,
1.8e-06,20,40,
5e-07,23,37,
5e-07,3,37,
4e-07,0,36,
4e-07,18,36,
4e-07,22,51,
4e-07,21,50,
4e-07,19,50,
5e-07,32,50,
5e-07,43,48,
3e-07,20,46,
4e-07,31,47,
7e-07,25,49,
5e-07,34,49,
4e-07,32,47,
4e-07,35,49,
3e-07,20,49,
4e-07,29,49,
3e-07,9,49,
3e-07,15,48,
4e-07,27,46,
3e-07,8,45,
4e-07,26,43,
4e-07,27,42,
3e-07,19,46,
4e-07,23,44,
3e-07,13,47,
3e-07,7,47,
4e-07,32,46,
3e-07,21,55,
5e-07,48,52,
3e-07,8,55,
2e-07,5,53,
6e-07,54,57,
3e-07,7,56,
4e-07,20,59,
6e-07,57,66,
5e-07,50,63,
4e-07,19,59,
4e-07,25,57,
6e-07,55,59,
6e-07,55,57,
6e-07,52,63,
5e-07,50,62,
3e-07,11,61,
6e-07,52,61,
3e-07,11,60,
3e-07,13,64,
6e-07,66,67,
3e-07,4,68,
4e-07,17,65,
6e-07,55,64,
3e-07,2,66,
2e-07,1,65,
4e-07,21,64,
2e-07,0,63,
6e-07,44,63,
4e-07,15,64,
5e-07,43,63,
4e-07,38,62,
4e-07,26,62,
5e-07,37,61,
3e-07,11,60,
6e-07,42,57,
4e-07,13,58,
4e-07,20,56,
4e-07,20,56,
3e-07,8,55,
3e-07,13,54,
4e-07,27,53,
3e-07,6,53,
4e-07,1,52,
4e-07,19,60,
4e-07,25,60,
6e-07,47,59,
6e-07,48,58,
5e-07,23,56,
6e-07,48,56,
6e-07,46,55,
5e-07,54,55,
6e-07,54,55,
3e-07,15,53,
3e-07,8,52,
