cas operacie,index prvku,dlzka zoznamu,
2e-07,1,1,
2e-07,0,0,
3e-07,1,1,
3e-07,1,1,
2e-07,0,0,
2e-07,0,0,
2e-07,1,1,
2e-07,1,1,
2e-07,2,2,
3e-07,1,1,
2e-07,2,2,
3e-07,5,5,
3e-07,6,6,
2e-07,5,5,
2e-07,4,4,
3e-07,3,3,
2e-07,2,2,
3e-07,1,1,
2e-07,0,0,
3e-07,1,1,
2e-07,0,0,
3e-07,4,4,
2e-07,4,4,
3e-07,3,3,
3e-07,2,2,
2e-07,9,9,
3e-07,7,7,
3e-07,6,6,
2e-07,3,3,
2e-07,3,3,
2e-07,1,1,
2e-07,0,0,
3e-07,0,0,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
3e-07,1,1,
2e-07,0,0,
2e-07,0,0,
2e-07,0,0,
3e-07,1,1,
2e-07,1,1,
2e-07,1,1,
2e-07,0,0,
2e-07,1,1,
2e-07,2,2,
3e-07,2,2,
2e-07,2,2,
3e-07,4,4,
3e-07,1,1,
2e-07,0,0,
3e-07,3,3,
3e-07,3,3,
3e-07,2,2,
3e-07,5,5,
3e-07,7,7,
3e-07,7,7,
3e-07,6,6,
3e-07,5,5,
2e-07,7,7,
3e-07,7,7,
3e-07,5,5,
3e-07,5,5,
3e-07,4,4,
3e-07,2,2,
3e-07,2,2,
3e-07,1,1,
2e-07,1,1,
2e-07,1,1,
2e-07,1,1,
3e-07,1,1,
3e-07,3,3,
2e-07,2,2,
2e-07,1,1,
2e-07,0,0,
3e-07,5,5,
3e-07,8,8,
3e-07,12,12,
3e-07,13,13,
4e-07,15,15,
4e-07,13,13,
4e-07,16,16,
4e-07,18,18,
3e-07,20,20,
4e-07,18,18,
3e-07,20,20,
4e-07,18,18,
3e-07,17,17,
3e-07,17,17,
3e-07,15,15,
3e-07,13,13,
3e-07,8,8,
3e-07,9,9,
3e-07,8,8,
3e-07,8,8,
2e-07,10,10,
3e-07,10,10,
3e-07,9,9,
3e-07,9,9,
3e-07,9,9,
3e-07,11,11,
2e-07,11,11,
3e-07,12,12,
3e-07,12,12,
3e-07,12,12,
3e-07,11,11,
3e-07,9,9,
3e-07,8,8,
3e-07,8,8,
3e-07,16,16,
3e-07,18,18,
4e-07,19,19,
4e-07,17,17,
4e-07,20,20,
3e-07,19,19,
4e-07,14,14,
3e-07,13,13,
6e-07,14,14,
3e-07,12,12,
3e-07,11,11,
3e-07,8,8,
3e-07,7,7,
3e-07,9,9,
4e-07,10,10,
2e-07,7,7,
2e-07,9,9,
3e-07,3,3,
2e-07,1,1,
3e-07,2,2,
3e-07,0,0,
2e-07,0,0,
3e-07,9,9,
3e-07,9,9,
3e-07,14,14,
3e-07,12,12,
3e-07,11,11,
3e-07,10,10,
4e-07,9,9,
3e-07,11,11,
3e-07,10,10,
4e-07,17,17,
4e-07,18,18,
4e-07,20,20,
4e-07,19,19,
4e-07,21,21,
4e-07,21,21,
4e-07,20,20,
3e-07,15,15,
